Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,1.85,2.0,1.85,1.9,1069075,1007822,94.27046746018755,-31.423489153396037,94.27046746018755
2020-09-06,1.85,1.95,1.75,1.85,1309684,878959,67.11229579043494,-31.423489153395963,27.158171669752605
2020-09-13,1.85,1.95,1.75,1.8,1559656,1115897,71.54763614540643,-67.19730722609913,-44.389464475653824
2020-09-20,1.8,1.85,1.65,1.85,1743408,1328325,76.19128740948763,8.993980183388501,31.801822933833805
2020-09-27,1.9,1.9,1.6,1.7,733875,642748,87.58276273207291,-20.200274060635845,-55.7809397982391
2020-10-04,1.65,1.75,1.5,1.5,950831,791637,83.25738222670485,-103.4576562873407,-139.03832202494397
2020-10-11,1.55,1.55,1.25,1.25,1516489,1393600,91.89647930186108,-195.35413558920177,-230.93480132680503
2020-10-18,1.2,1.2,1.0,1.0,300360,300360,100.0,-295.35413558920175,-330.93480132680503
2020-10-25,0.95,0.95,0.75,0.85,19092938,10664534,55.85590860872224,-295.35413558920175,-386.7907099355273
2020-11-01,0.9,0.9,0.6,0.6,42466640,32302272,76.06505247413028,-371.41918806333206,-462.8557624096576
2020-11-08,0.55,0.65,0.5,0.5,363263949,218968749,60.278139243594474,-431.6973273069265,-523.1339016532521
2020-11-15,0.5,0.6,0.4,0.55,273850439,208440008,76.11454221550473,-393.6400561991741,-447.01935943774737
2020-11-22,0.6,0.75,0.55,0.75,168844071,117399166,69.53111548702235,-324.10894071215176,-377.488243950725
2020-11-29,0.8,0.95,0.75,0.8,202594696,131781622,65.04692600639456,-356.632403715349,-312.4413179443304
2020-12-06,0.75,0.9,0.75,0.9,114890091,57477114,50.02791232883609,-306.60449138651296,-262.41340561549436
2020-12-13,,,,,0,0,,-306.60449138651296,-262.41340561549436
2020-12-20,,,,,0,0,,-306.60449138651296,-262.41340561549436
2020-12-27,,,,,0,0,,-306.60449138651296,-262.41340561549436
2021-01-03,,,,,0,0,,-306.60449138651296,-262.41340561549436
2021-01-10,,,,,0,0,,-306.60449138651296,-262.41340561549436
2021-01-17,,,,,0,0,,-306.60449138651296,-262.41340561549436
2021-01-24,,,,,0,0,,-306.60449138651296,-262.41340561549436
2021-01-31,,,,,0,0,,-306.60449138651296,-262.41340561549436
2021-02-07,1.3,1.3,1.1,1.1,22324168,15787405,70.71889532456484,-377.3233867110778,-262.41340561549436
2021-02-14,1.1,1.15,0.95,1.0,32639309,24399635,74.75536629773627,-414.70106985994585,-337.1687719132306
2021-02-21,1.0,1.15,0.95,1.0,31461827,22773263,72.38379068068743,-450.8929652002895,-337.1687719132306
2021-02-28,1.0,1.0,0.85,0.9,29468014,19947666,67.69260391962621,-473.4571665068315,-404.8613758328568
2021-03-07,0.9,0.95,0.85,0.85,38666576,29244249,75.63185579193772,-549.0890222987692,-480.49323162479453
2021-03-14,0.85,0.95,0.85,0.9,28379782,20557953,72.4387276829681,-549.0890222987691,-408.0545039418264
2021-03-21,0.9,0.9,0.8,0.85,15818050,11446124,72.36115703263044,-549.0890222987692,-480.41566097445684
2021-03-28,0.85,0.95,0.8,0.85,23810194,17266239,72.51616261505471,-573.2610765037875,-480.41566097445684
2021-04-04,0.9,0.9,0.85,0.9,8346941,6772483,81.1373052714761,-492.12377123231147,-399.2783557029808
2021-04-11,0.9,0.9,0.8,0.85,13689999,10318239,75.37063370128807,-492.1237712323115,-474.64898940426883
2021-04-18,0.85,0.85,0.7,0.75,13513548,9999424,73.99554876335955,-516.7889541534313,-548.6445381676284
2021-04-25,0.75,0.8,0.7,0.8,12952931,8506791,65.67464151549946,-451.11431263793185,-482.96989665212897
2021-05-02,0.8,0.85,0.75,0.8,11970680,9822163,82.05183832497403,-451.11431263793173,-482.96989665212897
2021-05-09,0.8,0.9,0.8,0.8,19692316,12500020,63.47663728329365,-514.5909499212254,-482.96989665212897
2021-05-16,0.85,1.0,0.8,1.0,8371695,7107375,84.89768201063225,-429.69326791059314,-398.0722146414967
2021-05-23,1.05,1.15,1.05,1.15,21967960,12727669,57.937418859102074,-371.75584905149105,-340.13479578239463
2021-05-30,,,,,0,0,,-371.75584905149105,-340.13479578239463
2021-06-06,,,,,0,0,,-371.75584905149105,-340.13479578239463
2021-06-13,,,,,0,0,,-371.75584905149105,-340.13479578239463
2021-06-20,,,,,0,0,,-371.75584905149105,-340.13479578239463
2021-06-27,,,,,0,0,,-371.75584905149105,-340.13479578239463
2021-07-04,,,,,0,0,,-371.75584905149105,-340.13479578239463
2021-07-11,,,,,0,0,,-371.75584905149105,-340.13479578239463
2021-07-18,,,,,0,0,,-371.75584905149105,-340.13479578239463
2021-07-25,1.6,1.7,1.55,1.65,24814514,17261088,69.56045159699681,-348.5690318524922,-340.13479578239463
2021-08-01,1.65,1.8,1.6,1.7,25609442,18748444,73.2091077970383,-348.56903185249223,-266.9256879853563
2021-08-08,1.75,1.9,1.7,1.8,20338855,12302901,60.48964408271754,-348.5690318524922,-206.43604390263877
2021-08-15,1.8,1.85,1.6,1.65,22071301,12844906,58.19732149002,-383.48742474650425,-264.6333653926588
2021-08-22,1.65,1.65,1.45,1.45,2659480,2371261,89.16258065486487,-472.6500054013691,-353.79594604752367
2021-08-29,1.45,1.5,1.35,1.5,18069402,9457537,52.340066372976814,-420.3099390283923,-301.45587967454685
2021-09-05,1.55,1.6,1.35,1.4,13913222,8253228,59.31931510903801,-455.9015280938152,-360.7751947835849
2021-09-12,1.4,1.55,1.4,1.55,8478560,5105684,60.21876356362401,-395.6827645301912,-300.55643121996087
2021-09-19,1.6,1.75,1.5,1.65,26337775,18566255,70.4928757269739,-381.5841893847965,-230.06355549298695
2021-09-26,1.65,1.7,1.55,1.7,8803435,5843074,66.37266021729017,-315.21152916750634,-163.6908952756968
2021-10-03,1.75,1.95,1.7,1.95,22140191,12881038,58.1794348567273,-257.03209431077903,-105.51146041896949
2021-10-10,2.0,2.4,2.0,2.4,12513952,6674994,53.34041556176658,-203.69167874901245,-52.171044857202915
2021-10-17,2.5,2.5,2.5,2.5,327448,327448,100.0,-203.69167874901245,47.828955142797085
