Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,159.5,176.85,158.75,166.0,1163374,764619,65.72426408016683
2020-09-06,171.0,174.0,149.2,159.55,491860,312488,63.53189932094499
2020-09-13,161.55,163.0,144.5,154.85,291544,200023,68.60816892132921
2020-09-20,157.9,191.65,157.9,184.9,1332071,733946,55.09811413956163
2020-09-27,188.8,198.8,162.65,180.7,592343,293294,49.51421726938615
2020-10-04,184.4,204.5,177.35,200.45,631776,362324,57.350073443752215
2020-10-11,201.0,215.95,192.05,204.1,640779,352173,54.96013446133534
2020-10-18,206.4,208.9,189.15,195.25,382236,206640,54.060841992904905
2020-10-25,194.65,232.0,194.65,223.65,1301025,595920,45.803885398051534
2020-11-01,225.0,225.0,206.0,209.15,193369,110092,56.93363465705465
2020-11-08,210.0,235.7,201.15,226.9,1064656,582887,54.74885784704168
2020-11-15,229.85,260.0,221.15,258.95,1766122,999759,56.60758430051831
2020-11-22,260.0,269.0,250.45,257.95,604367,335502,55.512958186002884
2020-11-29,260.0,284.6,255.0,280.1,814873,509176,62.485319798299855
2020-12-06,281.9,307.4,278.05,299.9,664461,390687,58.79758179938326
2020-12-13,300.0,313.55,294.9,298.5,460933,277086,60.114159758576626
2020-12-20,300.0,349.0,299.0,329.35,995636,577867,58.03998650109076
2020-12-27,329.35,336.1,290.0,327.7,888779,573892,64.57083256917636
2021-01-03,325.6,339.9,317.15,333.5,472435,269814,57.11134865113719
2021-01-10,336.6,354.7,330.2,348.3,461054,313278,67.9482229847263
2021-01-17,354.0,355.15,333.85,342.85,461012,323403,70.15066852923569
2021-01-24,344.6,399.0,337.0,384.2,901826,534499,59.26852851880518
2021-01-31,387.0,403.0,366.75,370.95,610925,464227,75.98755984777182
2021-02-07,366.5,430.25,366.5,384.35,1359435,801381,58.94956360546845
2021-02-14,387.0,433.8,366.1,424.45,709811,387538,54.59735056233279
2021-02-21,426.4,429.9,407.0,422.1,581509,372597,64.07415878344102
2021-02-28,418.0,453.0,411.0,436.95,523140,273523,52.28485682608862
2021-03-07,440.45,453.5,431.1,441.15,344150,251778,73.15937817812001
2021-03-14,442.0,448.0,432.1,436.15,166382,117226,70.45593874337368
2021-03-21,444.0,444.0,400.05,413.15,399998,301799,75.45012725063626
2021-03-28,415.0,421.0,400.0,412.35,122610,78151,63.73949922518555
2021-04-04,421.25,437.0,412.1,434.3,51624,38757,75.07554625755462
2021-04-11,434.35,459.0,407.5,454.4,318086,225173,70.78997503819721
2021-04-18,454.4,456.7,410.15,419.55,214470,145220,67.71110178579754
2021-04-25,408.0,430.05,406.5,413.7,273535,220724,80.6931471292522
2021-05-02,415.0,448.0,410.65,421.95,157827,120296,76.22016511750206
2021-05-09,421.3,435.0,407.45,418.1,307850,203759,66.18775377618971
2021-05-16,418.0,426.35,414.0,422.7,137404,100800,73.36030974353002
2021-05-23,424.0,444.9,424.0,435.7,131640,78680,59.76906715284108
2021-05-30,439.0,488.0,439.0,465.45,1208244,600767,49.722324298734364
2021-06-06,466.1,475.8,456.15,465.1,308247,214859,69.70351698475574
2021-06-13,470.0,484.0,456.95,471.55,340503,246780,72.4751323776883
2021-06-20,470.0,616.0,469.45,598.9,4929522,2120644,43.0192623138714
2021-06-27,594.85,649.95,580.0,601.3,1586267,756463,47.688251725592224
2021-07-04,,,,,0,0,
2021-07-11,,,,,0,0,
2021-07-18,,,,,0,0,
2021-07-25,,,,,0,0,
2021-08-01,,,,,0,0,
2021-08-08,,,,,0,0,
2021-08-15,,,,,0,0,
2021-08-22,,,,,0,0,
2021-08-29,,,,,0,0,
2021-09-05,,,,,0,0,
2021-09-12,,,,,0,0,
2021-09-19,,,,,0,0,
2021-09-26,,,,,0,0,
2021-10-03,724.7,792.95,716.3,782.45,475913,348928,73.31760216678258
2021-10-10,802.0,848.0,766.1,822.1,298592,203240,68.06612367377559
2021-10-17,832.0,863.2,811.0,834.3,153881,99896,64.91769614182388
2021-10-24,,,,,0,0,
2021-10-31,825.0,850.3,751.0,764.9,139221,92725,66.60273952923768
2021-11-07,745.0,829.5,726.7,828.85,105604,76667,72.5985758115223
2021-11-14,839.0,896.0,794.85,842.35,304986,218895,71.77214691821919
2021-11-21,848.45,970.0,841.0,863.55,393477,269136,68.39942360036292
2021-11-28,863.0,891.0,791.0,851.35,194478,127095,65.3518649924413
2021-12-05,834.0,851.3,698.1,829.75,78448,39580,50.45380379359575
2021-12-12,836.45,880.0,810.0,856.8,72355,35365,48.87706447377514
2021-12-19,865.0,894.8,830.25,854.35,94828,63082,66.52254608343527
2021-12-26,831.15,868.0,799.95,833.8,177696,108245,60.91583378354043
2022-01-02,834.0,861.0,818.0,850.55,59782,34199,57.20618246294872
2022-01-09,851.0,927.0,851.0,916.3,83752,39736,47.44483713821759
