Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,SPAL,103.75,110.0,103.3,104.75,92503,51209
2020-08-27,SPAL,108.85,111.9,105.15,107.45,216149,176932
2020-08-28,SPAL,107.0,110.0,102.3,104.85,60857,43893
2020-08-31,SPAL,105.0,108.75,91.95,96.6,90903,51105
2020-09-01,SPAL,97.2,100.2,92.25,96.0,53685,36818
2020-09-02,SPAL,98.0,101.5,92.25,96.65,59855,29375
2020-09-03,SPAL,97.0,101.5,93.4,98.15,41495,20147
2020-09-04,SPAL,97.0,106.75,91.95,98.25,228429,150218
2020-09-07,SPAL,96.0,104.0,92.0,101.9,262389,195240
2020-09-08,SPAL,102.0,111.5,99.0,103.55,199097,97363
2020-09-09,SPAL,102.9,107.0,99.0,105.05,50116,26739
2020-09-10,SPAL,105.0,108.05,104.05,104.6,50863,27330
2020-09-11,SPAL,103.9,109.9,103.7,106.15,101168,67472
2020-09-14,SPAL,107.0,111.2,107.0,109.5,220747,187279
2020-09-15,SPAL,110.5,113.0,108.35,110.1,89844,77510
2020-09-16,SPAL,110.9,111.1,107.15,110.55,33437,22476
2020-09-17,SPAL,106.15,122.5,106.15,115.35,291628,133830
2020-09-18,SPAL,116.85,124.25,115.65,122.05,110532,58742
2020-09-21,SPAL,122.25,129.8,119.5,120.25,143482,92341
2020-09-22,SPAL,120.05,121.0,110.65,115.8,66310,40475
2020-09-23,SPAL,119.0,121.9,105.95,112.0,49031,26819
2020-09-24,SPAL,110.9,111.15,107.25,108.3,36717,21797
2020-09-25,SPAL,109.1,115.0,109.1,114.45,40262,24097
2020-09-28,SPAL,115.0,116.55,109.0,112.9,45934,30247
2020-09-29,SPAL,112.9,115.5,108.65,111.95,41935,27350
2020-09-30,SPAL,113.1,134.3,111.05,134.3,631894,225654
2020-10-01,SPAL,138.0,144.5,128.3,138.0,439756,149433
2020-10-05,SPAL,141.0,152.6,132.45,149.75,231347,90052
2020-10-06,SPAL,147.15,159.0,144.25,147.15,118995,62027
2020-10-07,SPAL,146.7,146.7,140.05,142.3,55956,38240
2020-10-08,SPAL,142.0,144.4,130.8,132.95,71955,48032
2020-10-09,SPAL,136.9,139.95,132.95,135.55,22646,11464
2020-10-12,SPAL,138.75,138.75,126.0,127.7,20466,13217
2020-10-13,SPAL,126.05,129.9,122.9,124.05,32178,17540
2020-10-14,SPAL,127.8,127.8,118.9,123.35,35401,20574
2020-10-15,SPAL,126.0,128.5,120.05,121.15,17758,11360
2020-10-16,SPAL,124.85,141.0,120.5,131.35,23147,15269
2020-10-19,SPAL,135.7,138.0,126.8,130.45,29722,14113
2020-10-20,SPAL,134.9,134.9,126.35,128.5,16031,9367
2020-10-21,SPAL,131.9,132.0,126.25,127.0,15350,10960
2020-10-22,SPAL,127.65,134.8,102.9,125.35,52968,25319
2020-10-23,SPAL,126.45,132.0,125.0,130.6,22741,13084
2020-10-26,SPAL,128.35,131.5,116.95,123.25,56435,29974
2020-10-27,SPAL,124.0,127.3,117.35,124.6,36419,20294
2020-10-28,SPAL,123.05,139.2,120.25,135.75,153679,94671
2020-10-29,SPAL,132.0,137.95,125.1,134.45,47106,23837
2020-10-30,SPAL,136.0,137.65,131.35,133.6,16741,12919
2020-11-02,SPAL,130.95,136.0,130.15,131.4,24184,18323
2020-11-03,SPAL,131.9,134.05,128.9,131.9,18630,11152
2020-11-04,SPAL,131.85,133.45,126.6,128.6,12100,8524
2020-11-05,SPAL,128.6,139.0,128.6,130.1,22053,10897
2020-11-06,SPAL,130.9,132.7,128.1,129.25,19334,12435
2020-11-09,SPAL,130.2,130.35,125.1,126.65,30557,18183
2020-11-10,SPAL,126.65,127.8,124.05,125.65,23616,15456
2020-11-11,SPAL,125.0,133.0,124.95,127.75,22173,13833
2020-11-12,SPAL,131.85,136.0,131.0,132.5,58078,43809
2020-11-13,SPAL,134.85,144.5,132.55,143.65,131684,82073
2020-11-14,SPAL,143.65,144.75,139.65,142.3,8717,7860
2020-11-17,SPAL,144.95,148.0,141.5,145.2,33267,25704
2020-11-18,SPAL,146.85,147.0,143.5,145.9,24581,17897
2020-11-19,SPAL,145.9,147.0,141.3,142.45,20919,14307
2020-11-20,SPAL,145.25,145.9,132.65,138.7,23028,12188
2020-11-23,SPAL,140.45,143.9,136.2,138.4,11375,7280
2020-11-24,SPAL,141.8,141.85,137.1,138.1,27819,20062
2020-11-25,SPAL,138.25,141.1,136.55,137.6,26582,21411
2020-11-26,SPAL,136.15,141.9,135.1,141.1,43671,27295
2020-11-27,SPAL,143.7,145.0,138.2,142.75,31231,26880
2020-12-01,SPAL,141.25,142.4,139.05,140.4,17073,12587
2020-12-02,SPAL,140.55,142.95,136.1,137.9,16163,10644
2020-12-03,SPAL,140.3,143.55,137.95,142.5,29564,20536
2020-12-04,SPAL,144.85,146.0,142.0,142.95,25967,16853
2020-12-07,SPAL,141.0,147.0,138.15,144.5,22603,14324
2020-12-08,SPAL,142.05,148.8,140.0,147.05,40523,26837
2020-12-09,SPAL,148.0,157.8,146.05,150.3,50694,30295
2020-12-10,SPAL,158.0,158.0,144.6,150.85,19205,12666
2020-12-11,SPAL,150.8,175.0,150.05,170.5,115384,78718
2020-12-14,SPAL,172.7,177.45,165.2,171.35,47939,25601
2020-12-15,SPAL,175.0,175.0,165.55,173.2,24089,12223
2020-12-16,SPAL,173.2,180.0,168.15,169.95,32617,18717
2020-12-17,SPAL,174.5,177.95,169.2,171.85,45601,27690
2020-12-18,SPAL,173.0,174.65,165.1,167.35,25019,15337
2020-12-21,SPAL,168.0,169.7,150.4,154.1,41110,22563
2020-12-22,SPAL,155.0,155.0,135.1,146.2,119058,66033
2020-12-23,SPAL,148.0,153.9,146.35,150.4,32725,20812
2020-12-24,SPAL,150.35,153.8,149.25,151.05,18880,9745
2020-12-28,SPAL,154.25,166.95,152.0,163.15,72936,25753
2020-12-29,SPAL,164.65,169.25,156.5,159.85,34518,17985
2020-12-30,SPAL,158.5,162.0,155.6,157.9,14018,9191
2020-12-31,SPAL,158.55,162.9,156.0,157.85,15480,9029
2021-01-01,SPAL,161.85,161.85,155.0,158.2,16336,10029
2021-01-04,SPAL,158.15,167.0,158.0,164.6,100108,54494
2021-01-05,SPAL,164.6,178.95,160.15,173.9,107778,59321
2021-01-06,SPAL,175.0,177.0,168.55,171.7,49196,28074
2021-01-07,SPAL,173.2,184.4,170.1,172.85,118822,71033
2021-01-08,SPAL,175.9,183.9,172.0,176.2,111330,64220
2021-01-11,SPAL,177.7,178.7,172.0,174.0,39331,24507
2021-01-12,SPAL,173.9,175.0,170.0,172.3,32268,21285
2021-01-13,SPAL,174.7,175.0,162.1,167.5,50722,27306
2021-01-14,SPAL,167.45,171.2,165.65,168.95,29475,11169
2021-01-15,SPAL,168.7,169.6,163.3,164.2,20081,10275
2021-01-18,SPAL,163.65,163.7,151.0,152.3,42254,24297
2021-01-19,SPAL,156.25,163.0,155.35,160.55,28612,16031
2021-01-20,SPAL,160.25,164.55,160.25,164.2,14655,10169
2021-01-21,SPAL,165.7,170.45,161.5,163.75,33615,23265
2021-01-22,SPAL,162.7,165.1,152.8,157.5,24628,15506
2021-01-25,SPAL,161.0,163.3,152.7,155.3,48023,24678
2021-01-27,SPAL,155.3,159.85,150.0,150.85,18507,9090
2021-01-28,SPAL,149.8,156.45,145.35,152.7,23736,9077
2021-01-29,SPAL,154.95,157.0,150.4,151.3,10564,5441
2021-02-01,SPAL,152.35,156.45,150.55,153.75,11253,6900
2021-02-02,SPAL,157.0,158.5,154.1,156.25,9295,6343
2021-02-03,SPAL,159.0,159.0,153.45,155.55,14108,8721
2021-02-04,SPAL,153.2,159.85,153.2,155.35,10453,6423
2021-02-05,SPAL,156.3,156.3,151.4,152.35,17360,11838
2021-02-08,SPAL,158.0,158.0,150.5,152.2,17763,9806
2021-02-09,SPAL,156.5,156.5,147.2,148.45,28625,14704
2021-02-10,SPAL,148.0,151.45,147.95,149.85,11995,7883
2021-02-11,SPAL,150.15,158.5,149.75,155.45,47592,30291
2021-02-12,SPAL,158.6,158.6,153.0,157.2,16114,10667
2021-02-15,SPAL,168.0,188.55,163.0,185.5,303344,134713
