Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,22.3,23.5,20.45,22.35,2552129,1429307,56.004496637905056
2020-09-06,22.55,22.95,20.45,21.1,986330,514649,52.17817566128983
2020-09-13,21.0,21.75,20.0,20.45,877394,501678,57.17818904619817
2020-09-20,20.7,20.7,19.05,19.15,1039500,689286,66.30937950937951
2020-09-27,19.3,19.3,16.8,18.7,640756,378897,59.13280562335741
2020-10-04,19.25,20.0,18.75,19.65,458332,251844,54.947941666739396
2020-10-11,19.85,19.9,18.65,18.8,359250,174780,48.65135699373695
2020-10-18,18.8,19.25,17.0,17.3,385968,262200,67.93309289889318
2020-10-25,17.4,18.25,17.15,17.95,304748,213643,70.10480790686076
2020-11-01,18.2,18.25,17.05,17.45,388413,192480,49.5554989148149
2020-11-08,17.6,17.8,17.0,17.7,431577,295624,68.49855298127565
2020-11-15,17.8,18.8,17.3,18.3,620478,332185,53.536950544580144
2020-11-22,18.75,20.9,18.05,20.0,1116152,739643,66.26722883621585
2020-11-29,20.1,20.5,19.15,19.75,541355,351270,64.88718123966713
2020-12-06,19.75,23.8,19.7,21.35,7441955,3006184,40.39508435619404
2020-12-13,21.55,24.85,21.05,23.15,5028809,2793785,55.55559974538703
2020-12-20,23.45,25.0,22.65,22.85,3840868,1550224,40.361293332652934
2020-12-27,23.0,24.55,18.1,23.8,2828902,1232302,43.56114138983959
2021-01-03,23.85,25.4,22.85,24.4,5955778,2222646,37.31915460918792
2021-01-10,24.6,28.65,23.8,26.8,12036226,4223122,35.08676224590665
2021-01-17,27.0,29.9,25.25,26.5,10708970,4303753,40.188300088617304
2021-01-24,26.65,27.4,24.9,25.1,1730983,921236,53.220395578697186
2021-01-31,25.45,25.8,22.05,24.3,1335053,689012,51.60933685778767
2021-02-07,24.95,26.8,23.4,26.25,2808220,1455527,51.83094629338157
2021-02-14,26.0,26.5,24.1,24.5,1640912,780660,47.57476330235868
2021-02-21,24.85,25.4,24.05,24.6,3235453,2149621,66.43956812230003
2021-02-28,24.85,29.4,23.75,27.85,12707505,3854118,30.32946278596782
