Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,SSWL,1711.0,1744.95,1627.0,1689.2,98896,31587
2021-08-24,SSWL,1705.0,1744.9,1675.0,1705.3,50242,28009
2021-08-25,SSWL,1725.0,1790.55,1721.9,1790.55,103027,63279
2021-08-26,SSWL,1840.0,1880.05,1811.15,1880.05,78371,41643
2021-08-27,SSWL,1950.0,1958.4,1804.0,1873.85,122257,65993
2021-08-30,SSWL,1921.0,1932.0,1892.1,1925.5,84279,37228
2021-08-31,SSWL,1949.0,1949.0,1885.0,1898.35,44499,28969
2021-09-01,SSWL,1913.0,1940.0,1860.0,1874.45,67566,32978
2021-09-02,SSWL,1890.0,1924.8,1882.0,1889.4,33540,21155
2021-09-03,SSWL,1915.0,1935.0,1806.55,1861.0,133801,47205
2021-09-06,SSWL,1864.85,1882.95,1798.5,1825.0,35993,22669
2021-12-06,SSWL,860.0,870.0,825.0,832.1,28777,21768
2021-12-07,SSWL,845.0,873.7,832.15,873.7,44825,35551
2021-12-08,SSWL,900.0,917.35,873.95,877.7,49242,34941
2021-12-09,SSWL,909.65,909.65,881.7,886.7,21008,14917
2021-12-10,SSWL,899.0,900.0,846.15,862.45,30222,18163
2021-12-13,SSWL,860.0,880.0,837.0,839.1,21358,13644
2021-12-14,SSWL,836.0,881.0,822.95,873.35,27556,17100
2021-12-15,SSWL,889.7,889.7,835.0,846.25,30296,16149
2021-12-16,SSWL,835.0,856.3,820.0,828.75,14437,8181
2021-12-17,SSWL,837.2,838.9,795.15,800.95,23869,15406
2021-12-20,SSWL,800.95,800.95,760.95,760.95,29624,24187
2021-12-21,SSWL,761.5,790.95,759.85,771.5,28289,21702
2021-12-22,SSWL,779.95,809.75,772.0,802.9,21677,16170
2021-12-23,SSWL,824.7,829.0,810.0,823.4,22630,12890
2021-12-24,SSWL,834.9,834.9,810.0,820.6,14854,10728
2021-12-27,SSWL,824.0,853.8,805.0,847.85,16387,11200
2021-12-28,SSWL,851.95,865.0,822.0,835.85,25649,13832
2021-12-29,SSWL,849.7,849.7,817.1,820.4,14677,9713
2021-12-30,SSWL,827.0,852.0,816.35,843.1,17647,12440
2021-12-31,SSWL,849.5,869.0,836.05,860.95,22355,14082
2022-01-03,SSWL,865.0,895.0,842.05,854.3,117082,61832
2022-01-04,SSWL,864.0,870.0,842.0,850.3,49074,37537
2022-01-05,SSWL,855.0,864.0,840.45,855.4,35014,28260
2022-01-06,SSWL,850.0,850.0,832.3,840.3,25317,16635
2022-01-07,SSWL,839.0,839.0,798.3,798.45,78178,60488
2022-01-10,SSWL,788.1,825.9,775.0,787.8,44642,25867
2022-01-11,SSWL,792.0,805.0,751.0,760.25,80096,60547
2022-01-12,SSWL,761.1,798.25,760.1,798.25,32233,24522
2022-01-13,SSWL,820.0,834.85,802.0,816.25,36720,23809
2022-01-14,SSWL,815.8,817.0,791.05,807.2,34088,20376
2022-01-17,SSWL,822.35,827.9,802.6,816.6,24716,16556
2022-01-18,SSWL,826.0,826.0,800.0,801.5,22134,15528
2022-01-19,SSWL,796.0,809.95,781.0,790.35,28176,20267
2022-01-20,SSWL,796.1,808.5,787.0,802.2,17116,10132
2022-01-21,SSWL,799.0,808.15,781.0,785.1,19955,12352
2022-01-24,SSWL,785.1,789.15,745.85,745.85,49437,82830
2022-01-25,SSWL,708.6,740.55,708.6,712.3,143741,88261
2022-01-27,SSWL,710.0,710.0,676.7,699.1,57977,38003
2022-01-28,SSWL,705.0,726.95,700.0,711.65,34298,19166
2022-01-31,SSWL,715.0,747.2,715.0,747.2,13773,11189
2022-02-01,SSWL,784.55,784.55,784.55,784.55,7715,7715
