Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-19,STRTECH,148.2,152.5,148.2,149.0,577965
2020-08-20,STRTECH,145.0,149.25,143.0,146.25,373144
2020-08-21,STRTECH,148.0,151.0,147.0,148.25,634220
2020-08-24,STRTECH,149.6,174.4,149.4,170.3,3171907
2020-08-25,STRTECH,172.8,173.8,164.0,167.35,1152066
2020-08-26,STRTECH,168.0,174.7,164.25,172.25,1004137
2020-08-27,STRTECH,170.15,170.6,164.4,165.2,611057
2020-08-28,STRTECH,166.8,168.8,159.0,159.7,607689
2020-08-31,STRTECH,160.95,167.4,148.0,149.9,955320
2020-09-01,STRTECH,147.0,159.0,143.3,155.2,394120
2020-09-02,STRTECH,155.0,157.0,152.25,154.85,235819
2020-09-03,STRTECH,153.1,155.2,151.3,152.05,194076
2020-09-04,STRTECH,146.0,150.8,146.0,146.85,306648
2020-09-07,STRTECH,146.85,159.5,145.5,156.4,618122
2020-09-08,STRTECH,157.0,161.6,148.7,150.95,667729
2020-09-09,STRTECH,148.0,151.5,144.4,148.4,312964
2020-09-10,STRTECH,150.0,153.75,148.1,150.15,189511
2020-09-11,STRTECH,150.4,151.7,147.5,149.1,153714
2020-09-14,STRTECH,152.0,157.95,152.0,154.95,481628
2020-09-15,STRTECH,155.0,160.85,155.0,157.25,329577
2020-09-16,STRTECH,164.8,167.0,162.1,163.45,771499
2020-09-17,STRTECH,162.0,163.9,160.7,161.45,228126
2020-09-18,STRTECH,162.0,164.0,155.2,156.15,504006
2020-09-21,STRTECH,156.1,158.5,148.0,149.25,303498
2020-09-22,STRTECH,149.25,149.7,140.55,145.45,253211
2020-09-23,STRTECH,146.85,150.5,142.5,145.15,167322
2020-09-24,STRTECH,143.0,144.9,140.0,140.45,287148
2020-09-25,STRTECH,142.9,145.6,139.25,143.25,399538
2020-09-28,STRTECH,145.3,149.4,144.85,148.1,200800
2020-09-29,STRTECH,150.25,157.0,147.15,148.4,855196
2020-09-30,STRTECH,149.8,153.15,147.55,150.05,266498
2020-10-01,STRTECH,151.35,154.35,150.1,153.2,428626
2020-10-05,STRTECH,153.0,157.0,152.0,155.0,296802
2020-10-06,STRTECH,156.55,157.1,151.5,153.4,245546
2020-10-07,STRTECH,158.9,158.9,153.3,154.75,320571
2020-10-08,STRTECH,155.0,155.7,151.0,152.7,273773
2020-10-09,STRTECH,152.1,153.5,148.3,148.9,398910
2020-10-12,STRTECH,148.5,149.6,143.55,144.6,202197
2020-10-13,STRTECH,144.4,147.55,142.5,145.9,154596
2020-10-14,STRTECH,144.6,152.45,143.35,151.3,300345
2020-10-15,STRTECH,152.0,152.9,145.75,146.5,320748
2020-10-16,STRTECH,146.95,152.5,146.1,150.85,370349
2020-10-19,STRTECH,152.0,153.5,149.65,152.3,225723
2020-10-20,STRTECH,151.05,152.75,149.05,149.55,268520
2020-10-21,STRTECH,150.45,153.7,148.4,151.8,321413
2020-10-22,STRTECH,152.65,159.9,151.1,158.35,889768
2020-10-23,STRTECH,160.0,161.3,154.05,156.1,396848
2020-10-26,STRTECH,156.1,157.8,151.8,152.55,301861
2020-10-27,STRTECH,153.3,156.85,149.6,153.8,260105
2020-10-28,STRTECH,153.45,156.8,150.55,151.3,181736
2020-10-29,STLTECH,150.15,151.0,147.8,148.3,124041
2020-10-30,STLTECH,149.9,150.9,146.1,147.35,141029
2020-11-02,STLTECH,146.25,148.05,143.0,144.75,328834
2020-11-03,STLTECH,146.0,148.55,143.55,144.65,189655
2020-11-04,STLTECH,143.9,146.15,142.5,144.9,153272
2020-11-05,STLTECH,146.65,147.35,144.35,144.8,321675
2020-11-06,STLTECH,145.0,147.9,144.8,147.35,201988
2020-11-09,STLTECH,148.95,149.25,145.0,148.7,260633
2020-11-10,STLTECH,148.05,149.9,145.15,148.0,190576
2020-11-11,STLTECH,148.65,150.0,146.2,149.8,445724
2020-11-12,STLTECH,149.45,151.3,144.75,146.5,605542
2020-11-13,STLTECH,146.5,147.7,145.6,146.15,260757
2020-11-14,STLTECH,146.15,148.0,146.0,146.85,84070
2020-11-17,STLTECH,146.55,146.95,144.2,145.1,492423
2020-11-18,STLTECH,145.0,149.9,144.55,147.15,583039
2020-11-19,STLTECH,145.5,154.5,145.5,150.0,472604
2020-11-20,STLTECH,151.0,152.55,147.0,149.25,279850
2020-11-23,STLTECH,150.0,153.5,148.45,152.15,404163
2020-11-24,STLTECH,152.8,154.8,151.85,154.3,473517
2020-11-25,STLTECH,155.0,155.4,151.0,153.45,351033
2020-11-26,STLTECH,153.0,155.3,151.7,153.45,171965
2020-11-27,STLTECH,154.8,163.35,153.0,162.75,1596704
2020-12-01,STLTECH,163.05,164.7,159.2,160.55,308846
2020-12-02,STLTECH,160.7,160.95,156.0,157.45,577798
2020-12-03,STLTECH,158.8,160.5,158.1,158.95,258760
2020-12-04,STLTECH,160.0,166.9,159.0,164.1,791919
2020-12-07,STLTECH,165.05,169.0,163.9,167.25,645612
2020-12-08,STLTECH,168.6,168.7,162.25,166.75,433128
2020-12-09,STLTECH,166.05,174.4,163.8,169.5,717728
2020-12-10,STLTECH,169.7,169.7,162.6,165.6,325884
2020-12-11,STLTECH,165.9,168.5,160.1,162.0,640406
2020-12-14,STLTECH,163.0,164.2,160.0,163.3,281030
2020-12-15,STLTECH,163.9,163.9,159.55,162.2,268870
2020-12-16,STLTECH,163.15,165.2,161.0,164.25,340437
