Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-10-12,SUMEETINDS,9.15,9.15,8.7,8.7,180877,166896
2021-10-13,SUMEETINDS,8.35,9.1,8.35,9.05,249970,200756
2021-10-14,SUMEETINDS,9.15,9.25,8.6,8.7,148533,123460
2021-10-18,SUMEETINDS,9.0,9.0,8.4,8.6,129445,90728
2021-10-19,SUMEETINDS,8.2,8.8,8.2,8.3,200902,139372
2021-10-20,SUMEETINDS,8.5,8.5,7.9,8.0,176653,135208
2021-10-21,SUMEETINDS,8.35,8.35,7.8,7.9,130377,82727
2021-10-22,SUMEETINDS,8.2,8.2,7.8,7.8,74269,52075
2021-10-25,SUMEETINDS,8.1,8.15,7.6,7.9,86868,66737
2021-10-26,SUMEETINDS,8.0,8.25,7.7,7.95,74223,50109
2021-10-27,SUMEETINDS,7.8,8.2,7.8,7.8,63896,44258
2021-10-28,SUMEETINDS,7.8,8.15,7.75,8.0,142963,81128
2021-10-29,SUMEETINDS,8.15,8.15,7.8,7.85,71632,47931
2021-11-01,SUMEETINDS,8.2,8.2,8.2,8.2,50701,47021
2021-11-02,SUMEETINDS,8.6,8.6,8.6,8.6,37194,37194
2021-11-03,SUMEETINDS,9.0,9.0,8.3,8.7,204817,97652
2021-11-04,SUMEETINDS,8.55,8.9,8.45,8.6,30782,27136
2021-11-08,SUMEETINDS,8.8,8.85,8.3,8.55,127474,60223
2021-11-09,SUMEETINDS,8.55,8.75,8.25,8.4,221908,149091
2021-11-10,SUMEETINDS,8.6,8.6,8.15,8.35,251334,197563
2021-11-11,SUMEETINDS,8.5,8.5,8.3,8.35,99362,86935
2021-11-12,SUMEETINDS,8.15,8.6,8.15,8.3,97583,54379
2021-11-15,SUMEETINDS,8.4,8.45,8.2,8.35,66028,51824
2021-11-16,SUMEETINDS,8.45,8.45,8.2,8.25,63232,55319
2021-11-17,SUMEETINDS,8.4,8.65,8.15,8.65,188964,157595
2021-11-18,SUMEETINDS,8.8,9.05,8.4,8.6,253486,143357
2021-11-22,SUMEETINDS,8.45,8.55,8.2,8.2,73813,55355
2021-11-23,SUMEETINDS,8.2,8.45,7.9,8.25,73091,62459
2021-11-24,SUMEETINDS,8.65,8.65,8.65,8.65,32319,32319
2021-11-25,SUMEETINDS,9.0,9.05,8.5,8.9,528342,307857
2021-11-26,SUMEETINDS,9.0,9.3,8.65,8.7,196691,126216
2021-11-29,SUMEETINDS,8.5,9.05,8.3,8.3,110438,89530
2021-11-30,SUMEETINDS,8.3,8.7,8.25,8.3,163880,121255
2021-12-01,SUMEETINDS,8.6,8.65,8.2,8.6,30667,22514
2021-12-02,SUMEETINDS,8.25,8.9,8.25,8.75,78605,44645
2021-12-03,SUMEETINDS,9.0,9.0,8.5,8.65,51355,33209
2021-12-06,SUMEETINDS,8.65,9.0,8.25,8.3,227766,165002
2021-12-07,SUMEETINDS,8.7,8.7,8.1,8.3,103088,59922
2021-12-08,SUMEETINDS,8.65,8.65,8.1,8.45,156732,131381
2021-12-09,SUMEETINDS,8.7,8.7,8.25,8.4,62796,46727
2021-12-10,SUMEETINDS,8.6,9.2,8.4,9.2,762942,530872
2021-12-13,SUMEETINDS,9.8,10.1,9.5,9.85,2183841,1315029
2021-12-14,SUMEETINDS,9.7,10.15,9.1,9.9,806624,522881
2021-12-15,SUMEETINDS,10.5,10.85,9.9,10.65,1001341,602395
2021-12-16,SUMEETINDS,10.9,11.0,10.15,10.15,442041,284179
2021-12-17,SUMEETINDS,10.35,10.35,9.65,9.65,276386,186088
2021-12-20,SUMEETINDS,9.3,9.85,9.2,9.2,94596,82011
2021-12-21,SUMEETINDS,9.0,9.45,8.85,8.95,269936,160409
2021-12-22,SUMEETINDS,9.3,9.35,8.85,9.35,83759,67007
2021-12-23,SUMEETINDS,9.5,9.8,9.45,9.7,439300,275311
2021-12-24,SUMEETINDS,9.8,9.85,9.25,9.3,249036,155129
2021-12-27,SUMEETINDS,9.6,9.6,8.9,9.4,237288,133226
2021-12-28,SUMEETINDS,9.7,9.85,9.3,9.45,419875,253797
2021-12-29,SUMEETINDS,9.6,9.8,9.35,9.5,316209,219327
2021-12-30,SUMEETINDS,9.7,9.7,9.35,9.45,250605,171641
2021-12-31,SUMEETINDS,9.5,9.6,9.1,9.5,214865,152904
2022-01-03,SUMEETINDS,9.8,9.95,9.5,9.7,1619784,1232010
2022-01-04,SUMEETINDS,9.85,10.15,9.7,10.0,866907,623616
2022-01-05,SUMEETINDS,10.05,10.5,9.6,10.5,1681234,1286882
2022-01-06,SUMEETINDS,10.75,11.0,10.2,11.0,3107465,2125937
2022-01-07,SUMEETINDS,11.5,11.55,11.15,11.2,3299369,2191317
2022-01-10,SUMEETINDS,11.4,11.75,11.25,11.4,1778355,1111595
2022-01-11,SUMEETINDS,11.4,11.4,10.85,10.85,1123810,652790
2022-01-12,SUMEETINDS,10.5,10.8,10.35,10.5,1357144,705520
2022-01-13,SUMEETINDS,10.55,10.95,10.0,10.3,689883,401537
2022-01-14,SUMEETINDS,10.5,10.8,10.3,10.8,1110242,782595
2022-01-17,SUMEETINDS,11.0,11.3,10.85,11.3,3028106,1535413
2022-01-18,SUMEETINDS,11.5,11.85,11.45,11.85,2239938,1881135
2022-01-19,SUMEETINDS,12.2,12.4,12.05,12.4,2474531,1732927
2022-01-20,SUMEETINDS,13.0,13.0,13.0,13.0,262423,242410
