Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,SUNDARMHLD,63.0,63.3,60.0,61.05,181208,132741
2020-08-27,SUNDARMHLD,60.5,62.4,60.0,60.3,188583,161643
2020-08-28,SUNDARMHLD,60.3,62.4,59.5,60.35,164326,131541
2020-08-31,SUNDARMHLD,59.6,61.15,53.75,54.15,334579,280192
2020-09-01,SUNDARMHLD,56.2,56.7,54.9,56.35,66239,57623
2020-09-02,SUNDARMHLD,56.45,59.85,56.45,58.75,68347,59792
2020-09-03,SUNDARMHLD,59.65,59.7,56.85,57.45,73163,55688
2020-09-04,SUNDARMHLD,57.0,61.5,55.1,58.8,128146,84772
2020-09-07,SUNDARMHLD,58.0,59.6,58.0,58.35,33043,21610
2020-09-08,SUNDARMHLD,58.15,58.9,56.65,56.95,42497,31768
2020-09-09,SUNDARMHLD,56.7,57.1,54.0,55.25,67956,51137
2020-09-10,SUNDARMHLD,56.95,59.1,56.0,58.65,108933,85090
2020-09-11,SUNDARMHLD,58.6,60.0,57.0,59.55,72602,61547
2020-09-14,SUNDARMHLD,61.0,62.6,59.7,62.0,354411,328046
2020-09-15,SUNDARMHLD,62.45,62.9,59.2,59.95,69797,45976
2020-09-16,SUNDARMHLD,60.7,61.05,59.25,59.4,24226,20496
2020-09-17,SUNDARMHLD,59.55,61.05,58.5,59.95,43867,31207
2020-09-18,SUNDARMHLD,60.8,60.8,58.05,59.05,52086,33549
2020-09-21,SUNDARMHLD,60.7,60.7,54.25,55.85,89096,59086
2020-09-22,SUNDARMHLD,57.9,57.9,53.0,55.2,44924,23969
2020-09-23,SUNDARMHLD,55.65,59.0,53.95,57.35,66920,44349
2020-09-24,SUNDARMHLD,58.0,61.1,56.55,58.35,493830,238693
2020-09-25,SUNDARMHLD,58.55,60.0,58.15,59.5,83044,57048
2020-09-28,SUNDARMHLD,61.9,61.9,59.7,60.15,60415,47895
2020-09-29,SUNDARMHLD,60.25,61.5,59.5,60.3,59076,37484
2020-09-30,SUNDARMHLD,60.5,63.0,60.2,61.0,117742,68108
2020-10-01,SUNDARMHLD,62.4,62.4,60.05,61.35,63648,43471
2020-10-05,SUNDARMHLD,61.9,61.9,60.3,60.5,55844,46376
2020-10-06,SUNDARMHLD,60.6,61.9,59.25,59.75,62497,45523
2020-10-07,SUNDARMHLD,59.75,60.0,59.05,59.65,22004,15922
2020-10-08,SUNDARMHLD,59.35,60.35,58.5,58.6,21261,15164
2020-10-09,SUNDARMHLD,58.0,59.6,58.0,58.85,23601,16561
2020-10-12,SUNDARMHLD,58.85,59.15,57.2,57.5,20958,13694
2020-10-13,SUNDARMHLD,57.0,58.3,57.0,57.25,16815,12361
2020-10-14,SUNDARMHLD,57.2,57.65,56.0,56.5,23613,19693
2020-10-15,SUNDARMHLD,56.5,57.1,54.8,55.1,39329,30450
2020-10-16,SUNDARMHLD,57.15,57.5,54.7,55.6,34416,22820
2020-10-19,SUNDARMHLD,57.15,57.35,55.2,56.2,41869,22350
