Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,SUNDRMFAST,757.0,779.0,743.85,763.4,68556,31555
2021-08-24,SUNDRMFAST,763.4,782.95,759.3,768.6,84691,52461
2021-08-25,SUNDRMFAST,778.4,797.0,768.6,784.35,56375,23370
2021-08-26,SUNDRMFAST,787.65,794.9,771.55,774.4,60149,25774
2021-08-27,SUNDRMFAST,781.6,785.2,763.7,775.05,156026,124748
2021-08-30,SUNDRMFAST,790.0,806.0,782.0,800.3,140078,82639
2021-08-31,SUNDRMFAST,807.0,807.9,780.2,796.35,110984,52947
2021-09-01,SUNDRMFAST,805.0,813.85,785.0,791.05,124426,49675
2021-09-02,SUNDRMFAST,790.45,800.0,785.05,787.65,35425,16668
2021-09-03,SUNDRMFAST,791.6,804.4,789.85,795.3,92225,41495
2021-09-06,SUNDRMFAST,804.0,873.0,798.65,862.85,1033473,216397
2021-09-07,SUNDRMFAST,873.0,891.4,863.0,875.55,648368,186439
2021-09-08,SUNDRMFAST,882.5,904.7,853.7,861.35,492424,126837
2021-09-09,SUNDRMFAST,861.35,901.0,851.0,896.7,264167,78680
2021-09-13,SUNDRMFAST,899.35,901.65,879.2,884.1,106674,47977
2021-09-14,SUNDRMFAST,892.0,933.8,884.15,896.4,601305,126242
2021-09-15,SUNDRMFAST,902.1,924.9,890.0,913.4,262879,71568
2021-09-16,SUNDRMFAST,918.0,941.2,913.8,937.45,433533,222795
2021-09-17,SUNDRMFAST,934.0,940.45,889.9,903.35,271780,134159
2021-09-20,SUNDRMFAST,907.0,948.9,898.8,924.7,259915,51404
2021-09-21,SUNDRMFAST,916.3,938.5,905.05,920.5,288566,124599
2021-09-22,SUNDRMFAST,928.5,959.0,915.6,922.8,156838,40175
2021-09-23,SUNDRMFAST,931.7,949.8,915.0,920.5,135076,61772
2021-09-24,SUNDRMFAST,930.3,939.9,900.25,907.5,101944,42950
2021-09-27,SUNDRMFAST,918.2,926.45,901.3,908.2,101107,47163
2021-09-28,SUNDRMFAST,916.15,930.0,907.2,915.4,372993,293570
2021-09-29,SUNDRMFAST,907.0,911.85,891.5,903.4,94603,40805
2021-09-30,SUNDRMFAST,910.0,929.95,906.7,914.85,117004,47598
2021-10-01,SUNDRMFAST,917.0,938.0,913.95,929.0,109355,35528
2021-10-04,SUNDRMFAST,944.2,945.0,916.3,922.55,62187,25847
2021-10-05,SUNDRMFAST,930.75,936.05,911.0,914.65,66085,23818
2021-10-06,SUNDRMFAST,922.6,939.95,917.25,933.5,92228,43485
2021-10-07,SUNDRMFAST,942.7,993.7,930.05,958.35,380544,144939
2021-10-08,SUNDRMFAST,943.35,964.8,935.0,945.45,172859,54440
2021-10-11,SUNDRMFAST,948.0,960.0,944.2,950.4,48578,19379
2021-10-12,SUNDRMFAST,950.0,962.35,931.25,939.65,65693,31119
2021-10-13,SUNDRMFAST,949.7,958.9,938.0,948.75,70048,33845
2021-10-14,SUNDRMFAST,955.95,956.0,936.5,939.75,45148,26711
2021-10-18,SUNDRMFAST,945.0,955.65,929.45,932.7,52898,24798
2021-10-19,SUNDRMFAST,945.0,945.0,886.25,904.2,99393,46165
2021-10-20,SUNDRMFAST,918.9,919.15,871.0,881.45,82000,34388
2021-10-21,SUNDRMFAST,883.5,895.0,825.0,832.5,130670,84685
