Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,476.6,494.5,465.45,476.65,13871102,2458758,17.725758198591578
2020-09-06,481.7,488.6,443.45,476.5,11581529,1601121,13.824780821254256
2020-09-13,480.65,501.7,457.95,486.9,15206908,1905164,12.528279910682697
2020-09-20,489.0,508.25,462.2,484.5,13760551,2881727,20.94194483927279
2020-09-27,489.95,506.9,439.3,458.0,16127414,2529565,15.684876695048565
2020-10-04,463.15,479.3,458.5,466.25,7673962,1521337,19.824661628504284
2020-10-11,464.9,476.4,456.5,460.05,9209305,1738252,18.874953104495944
2020-10-18,464.05,466.0,428.75,434.8,6239879,1200926,19.24598217369279
2020-10-25,436.0,440.35,418.9,428.4,7569392,1869949,24.704084555272075
2020-11-01,428.0,436.0,412.0,422.0,6185506,1183797,19.138240266843166
2020-11-08,422.0,448.5,407.8,435.45,14038065,2830161,20.16062042738796
2020-11-15,439.0,457.3,413.4,426.6,12204609,2011725,16.483321997451945
2020-11-22,430.0,430.0,410.35,428.85,6774594,2188750,32.3082091709112
2020-11-29,432.0,448.0,411.8,439.95,12983739,3301410,25.427267137763625
2020-12-06,442.1,461.0,429.2,443.8,24018383,7643071,31.82175502822151
2020-12-13,448.0,482.4,446.4,469.85,28975235,5303005,18.301853289541913
2020-12-20,472.1,517.5,472.0,483.9,26225767,3324573,12.676742685924115
2020-12-27,485.0,499.0,440.2,484.45,12283353,2672396,21.756241964225893
2021-01-03,486.0,494.2,475.05,478.4,8553196,1774261,20.743836572902104
2021-01-10,481.6,539.5,474.3,527.9,25116214,5587281,22.245713466209516
2021-01-17,531.65,550.65,506.8,518.2,18507956,2905362,15.69790851026445
2021-01-24,516.0,527.5,484.75,507.85,14346601,3291821,22.944953999905625
2021-01-31,512.4,517.7,474.55,477.75,8136625,2102261,25.837014732766967
2021-02-07,484.25,561.15,473.05,553.3,22584777,4969739,22.004817669884453
2021-02-14,558.0,570.4,508.3,511.85,28680918,8001622,27.898765304513613
2021-02-21,518.0,529.0,497.65,504.1,11461167,2846994,24.840350027183096
