Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,SUPPETRO,221.45,236.8,216.0,229.2,387518,227256
2020-08-27,SUPPETRO,229.2,231.8,222.1,223.85,82603,54732
2020-08-28,SUPPETRO,223.85,229.5,217.5,220.4,46738,34002
2020-08-31,SUPPETRO,226.0,227.9,206.0,211.55,113274,67901
2020-09-01,SUPPETRO,210.35,218.0,207.0,207.65,19887,13481
2020-09-02,SUPPETRO,208.7,216.35,208.7,212.65,16059,10198
2020-09-03,SUPPETRO,213.75,219.0,208.15,209.55,10593,5935
2020-09-04,SUPPETRO,209.05,221.0,206.0,210.95,29849,16121
2020-09-07,SUPPETRO,210.9,217.0,210.6,212.35,20398,14292
2020-09-08,SUPPETRO,216.8,216.8,210.0,212.05,11677,7910
2020-09-09,SUPPETRO,209.0,210.85,205.0,208.2,19431,15593
2020-09-10,SUPPETRO,209.25,214.5,197.5,203.75,19496,8406
2020-09-11,SUPPETRO,202.15,212.9,202.15,209.8,24969,16518
2020-09-14,SUPPETRO,210.6,218.0,210.6,215.65,26261,20418
2020-09-15,SUPPETRO,216.7,225.0,215.45,223.5,26208,20676
2020-09-16,SUPPETRO,224.65,234.8,224.0,232.3,72254,55142
2020-09-17,SUPPETRO,230.0,234.0,226.7,231.05,30475,22806
2020-09-18,SUPPETRO,230.25,235.0,228.3,233.8,25486,20222
2020-09-21,SUPPETRO,233.8,240.0,225.45,228.8,63680,47562
2020-09-22,SUPPETRO,229.95,236.55,224.4,230.05,37971,22862
2020-09-23,SUPPETRO,231.25,240.0,228.0,236.2,47808,36006
2020-09-24,SUPPETRO,234.0,234.0,213.95,220.45,46284,32869
2020-09-25,SUPPETRO,221.6,244.9,221.6,241.35,383782,280934
2020-09-28,SUPPETRO,245.2,263.0,245.2,260.65,197885,77682
2020-09-29,SUPPETRO,261.0,266.95,251.25,253.55,52572,28040
2020-09-30,SUPPETRO,254.85,259.45,247.4,251.2,31974,18702
2020-10-01,SUPPETRO,252.5,258.5,245.0,253.5,39217,25052
2020-10-05,SUPPETRO,255.0,260.45,246.5,251.25,79198,66725
2020-10-06,SUPPETRO,252.55,257.0,248.1,250.8,42624,34401
2020-10-07,SUPPETRO,254.4,255.0,240.05,243.4,30632,20767
2020-10-08,SUPPETRO,244.0,246.05,240.0,240.5,24054,16920
2020-10-09,SUPPETRO,240.3,251.9,239.6,246.85,53558,31590
2020-10-12,SUPPETRO,249.5,251.9,238.1,243.7,25390,18734
2020-10-13,SUPPETRO,244.2,249.9,242.0,246.45,13188,9557
2020-10-14,SUPPETRO,246.45,246.45,240.4,241.35,12117,7775
2020-10-15,SUPPETRO,240.3,247.95,240.05,241.3,14670,10415
2020-10-16,SUPPETRO,245.55,249.9,241.0,248.45,22449,15580
2020-10-19,SUPPETRO,250.0,266.95,248.35,263.65,155836,102052
2020-10-20,SUPPETRO,264.7,274.75,252.1,268.45,115373,51944
2020-10-21,SUPPETRO,270.6,271.0,259.35,263.4,28338,20121
2020-10-22,SUPPETRO,262.5,273.75,257.65,271.7,38964,24074
2020-10-23,SUPPETRO,272.95,278.55,264.2,271.25,81583,56806
2020-10-26,SUPPETRO,286.0,286.0,268.0,272.3,182580,103778
2020-10-27,SUPPETRO,273.55,282.0,268.7,273.7,111237,42902
2020-10-28,SUPPETRO,270.0,274.55,259.1,261.8,45724,30060
2020-10-29,SUPPETRO,256.55,262.95,246.8,251.25,45652,24399
2020-10-30,SUPPETRO,258.5,264.9,253.7,258.0,41823,18308
2020-11-02,SUPPETRO,259.3,261.2,241.0,255.75,24691,15225
2020-11-03,SUPPETRO,257.1,269.0,255.1,265.9,43789,27157
2020-11-04,SUPPETRO,267.25,271.5,260.0,264.65,35031,28099
2020-11-05,SUPPETRO,262.05,276.4,262.0,273.7,51732,41136
2020-11-06,SUPPETRO,274.9,274.9,267.65,270.8,37431,30257
2020-11-09,SUPPETRO,270.1,278.2,270.1,274.15,30675,21158
2020-11-10,SUPPETRO,275.55,279.0,267.95,275.05,33677,23813
2020-11-11,SUPPETRO,276.45,279.95,272.9,274.2,32687,21037
2020-11-12,SUPPETRO,271.0,280.8,271.0,279.1,34717,24132
2020-11-13,SUPPETRO,279.1,282.0,277.0,281.3,20799,15141
2020-11-14,SUPPETRO,282.5,284.0,280.0,281.7,17679,14396
2020-11-17,SUPPETRO,283.15,285.0,278.35,281.15,36860,24709
2020-11-18,SUPPETRO,282.6,291.0,281.5,287.25,78091,52094
2020-11-19,SUPPETRO,287.2,296.0,285.0,294.8,57313,37026
2020-11-20,SUPPETRO,298.0,321.1,298.0,318.9,380993,191651
2020-11-23,SUPPETRO,325.0,328.0,308.0,313.35,139000,82510
2020-11-24,SUPPETRO,314.8,325.85,308.25,323.1,89535,58540
2020-11-25,SUPPETRO,328.0,332.8,316.15,324.0,105658,70811
2020-11-26,SUPPETRO,324.0,327.55,322.15,324.35,37886,22853
2020-11-27,SUPPETRO,325.0,330.95,324.8,326.75,62281,42391
2020-12-01,SUPPETRO,327.0,327.3,315.0,320.7,90999,64272
2020-12-02,SUPPETRO,322.0,348.9,320.0,345.1,200669,108431
2020-12-03,SUPPETRO,348.7,357.15,346.2,355.65,81808,41542
2020-12-04,SUPPETRO,359.9,385.0,358.45,369.5,204133,110659
2020-12-07,SUPPETRO,372.5,396.0,372.5,392.95,109281,67724
2020-12-08,SUPPETRO,395.0,399.75,375.1,380.5,90585,60621
2020-12-09,SUPPETRO,384.5,387.1,356.9,366.5,109522,66785
2020-12-10,SUPPETRO,365.7,383.45,360.0,378.95,85388,40113
