Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,SWSOLAR,264.05,279.6,260.6,277.4,403551,183662
2020-08-27,SWSOLAR,278.8,279.25,270.65,273.1,216601,122862
2020-08-28,SWSOLAR,273.1,277.55,265.0,267.9,208602,134539
2020-08-31,SWSOLAR,269.9,269.9,244.25,252.75,306067,183230
2020-09-01,SWSOLAR,253.0,260.8,248.75,253.45,123151,77533
2020-09-02,SWSOLAR,256.5,259.8,252.0,255.7,117718,68252
2020-09-03,SWSOLAR,258.4,261.0,255.1,257.15,63495,34935
2020-09-04,SWSOLAR,251.0,285.5,250.6,268.8,682138,328802
2020-09-07,SWSOLAR,281.2,285.0,272.1,274.1,551522,308155
2020-09-08,SWSOLAR,277.9,284.5,270.75,274.0,471060,253779
2020-09-09,SWSOLAR,270.0,274.15,263.75,267.85,203164,107129
2020-09-10,SWSOLAR,269.25,278.65,269.25,272.5,225620,148311
2020-09-11,SWSOLAR,274.7,278.7,267.0,268.8,305759,203002
2020-09-14,SWSOLAR,270.0,279.0,253.0,256.6,576069,344219
2020-09-15,SWSOLAR,259.0,259.4,231.2,235.35,795384,538397
2020-09-16,SWSOLAR,225.2,244.65,216.6,236.0,883675,332430
2020-09-17,SWSOLAR,230.0,238.2,222.2,223.55,527335,281374
2020-09-18,SWSOLAR,236.0,239.0,216.95,219.9,1195102,612417
2020-09-21,SWSOLAR,221.0,223.0,205.1,208.05,499708,281332
2020-09-22,SWSOLAR,208.0,208.0,188.6,196.45,726899,330370
2020-09-23,SWSOLAR,227.2,235.7,225.5,235.7,2128017,840919
2020-09-24,SWSOLAR,227.55,257.7,222.0,233.35,1823465,449307
2020-09-25,SWSOLAR,236.9,243.8,230.45,236.5,424761,167802
2020-09-28,SWSOLAR,242.0,244.0,237.0,239.1,243829,118550
2020-09-29,SWSOLAR,241.0,242.8,226.1,230.1,335319,184880
2020-09-30,SWSOLAR,230.5,232.95,224.05,225.7,152876,69938
2020-10-01,SWSOLAR,229.3,229.95,216.0,221.35,234990,98833
2020-10-05,SWSOLAR,224.45,227.0,218.0,220.0,176587,86083
2020-10-06,SWSOLAR,222.7,234.8,217.25,222.45,567333,262052
2020-10-07,SWSOLAR,223.5,225.8,218.3,219.75,150355,69760
2020-10-08,SWSOLAR,221.85,222.8,216.1,217.2,115967,55703
2020-10-09,SWSOLAR,219.3,222.0,214.15,219.0,187361,119442
2020-10-12,SWSOLAR,221.05,221.7,212.1,213.5,104154,42551
2020-10-13,SWSOLAR,213.5,218.75,210.7,211.7,183357,101788
2020-10-14,SWSOLAR,210.1,213.65,202.1,206.95,179807,81571
2020-10-15,SWSOLAR,210.7,210.7,202.0,203.8,118146,44782
2020-10-16,SWSOLAR,208.0,209.0,203.2,206.45,73951,32610
2020-10-19,SWSOLAR,208.0,214.8,205.5,212.85,193793,56125
2020-10-20,SWSOLAR,213.6,214.8,208.25,210.0,92513,33224
2020-10-21,SWSOLAR,211.0,218.5,208.15,213.15,212707,73878
2020-10-22,SWSOLAR,213.0,226.0,211.55,223.5,293680,187173
2020-10-23,SWSOLAR,226.4,234.8,224.55,230.9,442390,221698
2020-10-26,SWSOLAR,229.15,235.0,221.75,223.95,265846,102942
2020-10-27,SWSOLAR,225.1,230.0,220.25,227.05,202886,118685
2020-10-28,SWSOLAR,227.95,229.0,221.0,223.3,60025,30871
2020-10-29,SWSOLAR,221.9,221.9,216.6,217.6,94386,54985
2020-10-30,SWSOLAR,223.0,223.0,214.8,216.85,72300,36832
2020-11-02,SWSOLAR,216.85,219.0,213.4,216.85,62951,34899
2020-11-03,SWSOLAR,219.8,220.0,213.0,214.5,73833,37208
2020-11-04,SWSOLAR,215.85,216.95,211.25,212.1,58294,28617
2020-11-05,SWSOLAR,213.5,215.95,212.15,213.7,45055,23766
2020-11-06,SWSOLAR,216.4,220.0,212.6,218.65,107084,61672
2020-11-09,SWSOLAR,222.4,222.4,216.9,217.8,64459,38446
2020-11-10,SWSOLAR,219.5,224.3,215.3,221.4,95796,50291
2020-11-11,SWSOLAR,223.7,223.7,217.3,221.45,72034,42595
2020-11-12,SWSOLAR,223.15,230.25,220.5,226.45,174235,80245
2020-11-13,SWSOLAR,216.4,219.95,215.4,217.65,224711,114681
2020-11-14,SWSOLAR,219.9,220.1,217.45,219.35,35361,26009
2020-11-17,SWSOLAR,219.85,221.35,215.1,216.0,170884,95181
2020-11-18,SWSOLAR,215.0,216.9,213.4,215.2,184847,102647
2020-11-19,SWSOLAR,215.0,216.85,214.0,215.45,141868,81887
2020-11-20,SWSOLAR,218.25,223.7,215.95,220.15,259217,163040
2020-11-23,SWSOLAR,222.8,227.35,218.05,224.4,282509,171725
2020-11-24,SWSOLAR,225.2,226.65,221.25,224.0,478433,415397
2020-11-25,SWSOLAR,225.95,227.9,220.0,220.8,199437,92876
2020-11-26,SWSOLAR,223.7,224.3,220.55,222.9,163038,116238
2020-11-27,SWSOLAR,224.0,225.05,221.0,222.45,155896,111340
2020-12-01,SWSOLAR,219.0,232.0,219.0,227.25,447047,240471
2020-12-02,SWSOLAR,231.0,254.0,230.0,246.25,1789669,939066
2020-12-03,SWSOLAR,249.2,252.9,237.65,242.3,408966,205769
2020-12-04,SWSOLAR,244.6,251.15,241.6,244.2,458794,269569
2020-12-07,SWSOLAR,245.0,290.0,240.75,285.2,2415274,1073374
2020-12-08,SWSOLAR,294.85,294.85,264.45,274.85,1163801,603549
2020-12-09,SWSOLAR,256.0,283.25,256.0,264.3,339582,212846
2020-12-10,SWSOLAR,265.0,272.3,257.05,260.25,241531,148765
2020-12-11,SWSOLAR,260.0,266.0,255.55,262.4,142128,102865
2020-12-14,SWSOLAR,267.7,268.05,258.5,261.55,105578,64379
2020-12-15,SWSOLAR,262.0,264.95,256.0,256.7,115618,91255
2020-12-16,SWSOLAR,258.0,279.25,256.5,269.25,648418,367896
2020-12-17,SWSOLAR,268.5,270.5,263.2,266.9,189818,123854
2020-12-18,SWSOLAR,266.9,268.3,251.2,254.95,356757,254490
2020-12-21,SWSOLAR,256.9,257.85,225.25,228.0,861728,601978
2020-12-22,SWSOLAR,228.0,235.5,222.0,233.5,316446,151252
2020-12-23,SWSOLAR,234.0,238.0,222.15,224.75,880528,596386
2020-12-24,SWSOLAR,227.35,228.9,220.0,224.25,670039,381281
2020-12-28,SWSOLAR,227.75,227.85,222.25,224.65,982235,790633
2020-12-29,SWSOLAR,225.0,227.35,222.5,223.15,311077,188339
2020-12-30,SWSOLAR,223.05,245.5,222.5,236.2,1482889,801834
2020-12-31,SWSOLAR,237.8,264.95,230.6,259.75,6904800,2575537
2021-01-01,SWSOLAR,263.0,274.75,254.75,260.85,2557009,796882
2021-01-04,SWSOLAR,264.4,279.75,257.25,274.55,2066623,806819
2021-01-05,SWSOLAR,272.0,283.55,267.0,275.25,1288448,496345
2021-01-06,SWSOLAR,276.75,278.7,258.85,268.05,1203369,483125
2021-01-07,SWSOLAR,271.0,281.0,264.1,268.55,992287,454994
2021-01-08,SWSOLAR,271.0,276.75,268.1,269.35,565618,325940
2021-01-11,SWSOLAR,271.45,271.9,254.2,258.3,638189,325724
2021-01-12,SWSOLAR,258.0,274.0,256.5,272.15,1050143,556299
2021-01-13,SWSOLAR,272.0,279.9,264.25,267.8,1002837,388338
2021-01-14,SWSOLAR,269.8,274.0,266.65,270.55,272918,138073
2021-01-15,SWSOLAR,270.55,270.55,258.1,262.25,368942,206725
2021-01-18,SWSOLAR,262.05,263.25,251.0,252.8,313555,170291
2021-01-19,SWSOLAR,255.7,264.65,255.7,258.65,260826,134780
2021-01-20,SWSOLAR,259.0,268.0,258.05,261.4,521560,146380
2021-01-21,SWSOLAR,264.0,266.75,244.0,246.15,739654,425887
2021-01-22,SWSOLAR,247.7,249.5,236.05,240.7,518325,247587
2021-01-25,SWSOLAR,241.2,244.7,234.05,236.75,355445,140794
2021-01-27,SWSOLAR,238.0,248.0,231.2,239.95,494588,130335
2021-01-28,SWSOLAR,239.5,243.0,236.45,239.15,266317,80492
2021-01-29,SWSOLAR,242.5,245.95,232.25,233.3,568793,235924
2021-02-01,SWSOLAR,236.0,243.05,234.25,240.45,405354,162533
2021-02-02,SWSOLAR,243.1,249.45,242.55,245.6,427030,202260
2021-02-03,SWSOLAR,247.6,259.0,244.0,251.6,567814,264915
2021-02-04,SWSOLAR,252.85,257.0,248.05,250.6,286164,107376
2021-02-05,SWSOLAR,251.8,254.9,242.75,243.85,339603,160758
2021-02-08,SWSOLAR,245.1,249.3,240.0,242.0,291603,116992
2021-02-09,SWSOLAR,243.95,244.4,235.0,235.75,297029,171652
2021-02-10,SWSOLAR,236.45,245.1,236.1,239.8,311090,105384
2021-02-11,SWSOLAR,239.9,244.0,238.0,239.15,242371,109815
2021-02-12,SWSOLAR,240.4,256.0,240.4,253.9,1320670,923615
2021-02-15,SWSOLAR,230.0,245.9,229.15,236.0,1083283,562524
2021-02-16,SWSOLAR,239.35,240.8,228.15,229.7,572959,342327
2021-02-17,SWSOLAR,230.0,235.2,230.0,231.95,360997,140347
2021-02-18,SWSOLAR,234.7,234.7,226.35,227.7,462165,283550
2021-02-19,SWSOLAR,228.05,232.0,227.0,227.65,269227,122848
2021-02-22,SWSOLAR,229.0,234.0,227.0,227.85,186660,76369
2021-02-23,SWSOLAR,229.8,233.45,227.85,229.0,262317,117185
2021-02-24,SWSOLAR,230.15,232.35,183.5,229.55,98943,56440
2021-02-25,SWSOLAR,231.8,237.5,226.8,236.05,405730,213848
2021-02-26,SWSOLAR,232.05,234.2,225.1,227.85,294578,162562
2021-03-01,SWSOLAR,230.9,243.8,227.25,241.05,865828,523863
2021-03-02,SWSOLAR,244.9,254.3,242.4,245.3,776529,426007
2021-03-03,SWSOLAR,250.0,253.75,237.05,239.15,409765,212654
2021-03-04,SWSOLAR,237.2,247.5,236.7,242.35,357732,153856
2021-03-05,SWSOLAR,240.6,247.8,239.2,244.9,461811,314243
2021-03-08,SWSOLAR,245.0,253.75,241.35,243.6,323952,151499
2021-03-09,SWSOLAR,246.4,249.5,233.4,235.65,260059,143236
2021-03-10,SWSOLAR,238.7,273.85,236.2,268.6,3437580,1169190
2021-03-12,SWSOLAR,271.4,275.95,249.0,253.4,1230170,518855
