Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-09-13,TANLA,880.0,895.0,877.0,887.6,95947,72102
2021-09-14,TANLA,886.0,886.0,865.0,869.8,77012,58877
2021-09-15,TANLA,870.0,870.0,847.75,849.1,148252,115299
2021-09-27,TANLA,826.0,850.0,826.0,838.05,87191,52676
2021-09-28,TANLA,837.0,850.0,830.2,837.3,62728,43853
2021-09-29,TANLA,825.05,842.35,825.0,830.85,51498,37513
2021-09-30,TANLA,842.0,872.35,831.8,872.35,105206,77232
2021-10-01,TANLA,915.95,915.95,915.95,915.95,68663,62206
2021-10-04,TANLA,949.3,949.3,887.6,901.35,269614,146252
2021-10-05,TANLA,916.85,916.85,861.25,871.05,148212,92979
2021-10-06,TANLA,878.5,903.25,853.4,865.8,81156,44168
2021-10-07,TANLA,870.0,909.05,868.85,909.05,108751,82972
2021-10-08,TANLA,935.0,939.0,890.6,899.1,167949,112467
2021-10-11,TANLA,900.0,915.0,889.65,897.05,106016,66098
2021-10-12,TANLA,888.0,941.9,888.0,919.3,360843,186141
2021-10-13,TANLA,918.8,940.0,902.05,918.6,136193,84150
2021-10-14,TANLA,920.0,938.5,918.0,922.45,81803,52224
2021-10-18,TANLA,929.15,960.0,918.0,951.45,227489,141931
2021-10-19,TANLA,975.0,987.95,955.0,972.6,285806,185002
2021-10-20,TANLA,979.0,1020.0,953.05,997.4,377373,217752
2021-10-21,TANLA,1008.7,1045.0,1000.0,1012.65,444653,230020
2021-10-22,TANLA,1063.25,1063.25,1063.25,1063.25,132152,131651
2021-10-25,TANLA,1116.4,1116.4,1116.4,1116.4,94987,94987
2021-10-26,TANLA,1172.2,1172.2,1172.2,1172.2,71032,70665
2021-10-27,TANLA,1230.8,1230.8,1152.1,1223.75,1605580,892198
2021-10-28,TANLA,1272.7,1284.9,1175.65,1284.9,638424,290083
2021-10-29,TANLA,1310.0,1334.0,1220.7,1220.7,633419,321000
2021-11-01,TANLA,1238.6,1253.0,1165.55,1187.25,181309,89751
2021-11-02,TANLA,1195.0,1246.6,1190.0,1236.2,527140,246302
2021-11-03,TANLA,1239.95,1240.0,1188.0,1208.95,119779,78792
2021-11-04,TANLA,1230.0,1244.0,1214.1,1230.2,69263,42644
2021-11-08,TANLA,1249.0,1265.0,1210.1,1235.4,137554,71813
2021-11-09,TANLA,1240.0,1257.0,1190.0,1196.2,95335,59873
2021-11-10,TANLA,1199.0,1202.0,1150.0,1156.65,118477,69248
2021-11-11,TANLA,1164.0,1214.45,1157.35,1214.45,222073,100482
2021-11-12,TANLA,1230.0,1275.15,1212.0,1275.15,300296,171805
2021-11-15,TANLA,1338.9,1338.9,1231.55,1262.85,659635,342533
2021-11-16,TANLA,1270.0,1325.95,1200.0,1325.95,2343821,2170469
2021-11-17,TANLA,1392.2,1392.2,1392.2,1392.2,26720,26720
2021-11-18,TANLA,1461.8,1461.8,1392.25,1461.8,839562,406234
2021-11-22,TANLA,1509.0,1533.9,1412.1,1502.55,800851,275057
2021-11-23,TANLA,1505.0,1577.65,1477.4,1577.65,745309,237356
2021-11-24,TANLA,1640.0,1640.0,1499.1,1509.5,573603,267686
2021-11-25,TANLA,1509.5,1584.95,1470.1,1582.25,456660,194839
2021-11-26,TANLA,1531.0,1578.65,1503.15,1503.15,354283,171978
2021-11-29,TANLA,1467.0,1475.75,1428.0,1428.0,275151,137256
2021-11-30,TANLA,1397.0,1499.4,1380.0,1499.25,449065,194768
2021-12-01,TANLA,1530.0,1554.0,1428.0,1463.75,437624,244066
2021-12-02,TANLA,1460.0,1489.9,1432.05,1449.05,162080,66277
2021-12-03,TANLA,1470.0,1521.5,1456.1,1521.5,291867,134928
2021-12-06,TANLA,1540.0,1597.55,1505.25,1595.5,532241,212643
2021-12-07,TANLA,1675.25,1675.25,1621.65,1675.25,457678,267414
2021-12-08,TANLA,1740.0,1759.0,1720.0,1759.0,300118,159688
2021-12-09,TANLA,1846.95,1846.95,1768.05,1846.95,593594,289812
2021-12-10,TANLA,1891.55,1939.0,1772.1,1794.05,1120885,425737
2021-12-13,TANLA,1780.0,1859.9,1728.3,1835.85,369594,144548
2021-12-14,TANLA,1854.45,1927.6,1821.3,1927.6,320364,189541
2021-12-15,TANLA,1962.0,2023.95,1911.0,1942.15,943184,378851
2021-12-16,TANLA,1959.7,1984.65,1845.05,1878.7,540282,206159
2021-12-17,TANLA,1889.7,1889.7,1784.8,1785.35,411862,206730
2021-12-20,TANLA,1740.0,1825.0,1702.65,1744.65,436686,192464
2021-12-21,TANLA,1691.0,1831.85,1691.0,1828.5,459424,175102
2021-12-22,TANLA,1849.0,1919.9,1833.1,1919.9,429905,190670
2021-12-23,TANLA,1939.0,1954.8,1880.1,1901.5,286756,147564
2021-12-24,TANLA,1918.25,1937.9,1870.0,1891.5,218937,94617
2021-12-27,TANLA,1871.0,1910.05,1797.05,1807.25,254047,126356
2021-12-28,TANLA,1829.9,1859.0,1762.4,1804.8,168892,71703
2021-12-29,TANLA,1810.0,1836.0,1754.0,1757.55,196712,125707
2021-12-30,TANLA,1761.0,1845.4,1761.0,1845.4,277753,151737
2021-12-31,TANLA,1874.0,1937.65,1827.05,1883.25,486849,249239
2022-01-03,TANLA,1900.0,1937.45,1829.0,1839.0,296134,161880
2022-01-04,TANLA,1847.0,1849.0,1787.1,1799.75,289381,200961
2022-01-05,TANLA,1820.0,1824.9,1759.0,1769.2,244072,166292
2022-01-06,TANLA,1760.0,1857.65,1747.05,1827.2,444182,173763
2022-01-07,TANLA,1841.85,1882.0,1793.0,1817.3,214968,106656
2022-01-10,TANLA,1818.0,1830.0,1780.0,1788.4,187279,117508
2022-01-11,TANLA,1801.0,1865.95,1788.4,1818.35,204324,106690
2022-01-12,TANLA,1835.0,1897.0,1830.05,1873.95,213592,125147
2022-01-13,TANLA,1890.0,1967.6,1850.0,1967.6,425614,212164
2022-01-14,TANLA,2000.0,2065.95,1972.3,2061.7,633152,281530
2022-01-17,TANLA,2075.0,2096.75,1958.65,1958.65,395427,213857
2022-01-18,TANLA,1958.0,1958.0,1863.7,1874.3,309614,157241
2022-01-19,TANLA,1875.1,1914.9,1809.0,1840.9,359630,178519
2022-01-20,TANLA,1842.0,1932.9,1842.0,1906.45,369180,155298
2022-01-21,TANLA,1919.0,1931.95,1821.0,1875.1,236365,119328
2022-01-24,TANLA,1900.0,1923.2,1781.35,1781.35,376908,204276
2022-01-25,TANLA,1702.0,1767.9,1692.3,1740.5,695556,219198
2022-01-27,TANLA,1676.0,1699.35,1653.5,1653.5,444496,207675
2022-01-28,TANLA,1650.0,1736.15,1621.2,1696.2,488035,209224
2022-01-31,TANLA,1744.9,1781.0,1728.7,1748.2,293450,165356
2022-02-01,TANLA,1767.95,1791.9,1735.0,1762.1,231365,96941
2022-02-02,TANLA,1784.7,1840.0,1770.5,1802.6,228854,98392
2022-02-03,TANLA,1814.9,1819.95,1722.65,1760.7,148324,79559
2022-02-04,TANLA,1750.0,1794.0,1726.6,1738.35,109238,48247
2022-02-07,TANLA,1769.95,1769.95,1695.15,1698.9,119841,65615
2022-02-08,TANLA,1710.95,1719.0,1606.05,1639.15,232963,112915
2022-02-09,TANLA,1661.95,1684.95,1601.0,1611.75,244264,142666
2022-02-10,TANLA,1611.75,1664.0,1595.0,1610.1,231534,122049
2022-02-11,TANLA,1598.7,1616.2,1545.55,1558.85,319838,192132
2022-02-14,TANLA,1550.0,1550.0,1431.55,1451.9,379754,218343
2022-02-15,TANLA,1461.0,1597.05,1461.0,1597.05,318410,123021
2022-02-16,TANLA,1664.75,1738.8,1655.0,1692.1,432068,166197
2022-02-17,TANLA,1692.0,1732.7,1657.0,1661.75,211589,105378
2022-02-18,TANLA,1655.0,1682.25,1625.45,1654.65,174713,88228
2022-02-21,TANLA,1600.05,1649.9,1562.15,1586.75,227508,82261
2022-02-22,TANLA,1546.0,1567.75,1500.0,1526.6,323492,118978
2022-02-23,TANLA,1558.0,1584.75,1531.3,1553.25,271007,127143
2022-02-24,TANLA,1465.0,1514.45,1406.2,1422.2,477617,270191
2022-02-25,TANLA,1494.0,1554.95,1475.85,1511.35,327247,174331
2022-02-28,TANLA,1512.0,1587.0,1481.15,1565.85,282912,112851
2022-03-02,TANLA,1580.0,1625.0,1535.0,1542.15,319864,148507
2022-03-03,TANLA,1569.6,1589.0,1540.0,1550.4,173402,72257
2022-03-04,TANLA,1533.0,1537.9,1486.3,1496.35,187497,98720
2022-03-07,TANLA,1441.0,1463.05,1407.55,1417.65,295913,156403
2022-03-08,TANLA,1429.0,1440.0,1376.2,1413.7,322347,127741
2022-03-09,TANLA,1450.0,1458.0,1415.65,1430.0,275854,140712
2022-03-10,TANLA,1475.15,1518.0,1472.25,1485.95,281654,116339
2022-03-11,TANLA,1488.0,1538.0,1470.15,1508.1,186902,72200
