Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,TATACHEM,314.5,321.9,314.05,317.3,1356639
2020-08-21,TATACHEM,321.35,321.35,314.25,315.35,679473
2020-08-24,TATACHEM,319.9,334.4,316.0,324.1,1964324
2020-08-25,TATACHEM,334.0,345.9,329.2,333.85,2183259
2020-08-26,TATACHEM,337.2,339.65,330.2,334.5,1262878
2020-08-27,TATACHEM,335.0,336.55,328.25,329.25,818347
2020-08-28,TATACHEM,332.5,336.4,326.55,327.9,1123832
2020-08-31,TATACHEM,333.0,333.0,308.75,312.5,636718
2020-09-01,TATACHEM,313.15,317.05,297.75,310.1,1005319
2020-09-02,TATACHEM,310.55,316.0,307.2,311.5,367116
2020-09-03,TATACHEM,314.0,317.9,310.25,312.85,697789
2020-09-04,TATACHEM,306.0,308.4,302.1,303.3,1028206
2020-09-07,TATACHEM,303.5,307.0,294.85,296.9,873780
2020-09-08,TATACHEM,300.0,300.0,287.15,289.3,1501083
2020-09-09,TATACHEM,287.0,289.45,281.7,287.35,519775
2020-09-10,TATACHEM,289.0,293.4,285.0,288.8,479035
2020-09-11,TATACHEM,289.2,294.8,287.8,293.05,405122
2020-09-14,TATACHEM,294.85,307.65,294.15,303.8,1286368
2020-09-15,TATACHEM,304.25,312.9,304.25,306.1,1035404
2020-09-16,TATACHEM,306.15,307.15,296.2,301.7,727548
2020-09-17,TATACHEM,300.65,302.3,295.4,298.65,479062
2020-09-18,TATACHEM,300.1,303.0,288.4,290.3,2045132
2020-09-21,TATACHEM,291.7,295.0,285.1,286.7,662348
2020-09-22,TATACHEM,287.4,290.35,273.45,279.45,517927
2020-09-23,TATACHEM,282.5,300.75,276.1,293.55,2704866
2020-09-24,TATACHEM,298.4,300.9,276.9,278.8,1206423
2020-09-25,TATACHEM,281.15,293.1,281.15,290.7,726327
2020-09-28,TATACHEM,295.25,300.65,292.55,297.4,437201
2020-09-29,TATACHEM,298.9,306.95,297.0,299.95,654031
2020-09-30,TATACHEM,301.95,302.0,296.1,299.5,567964
2020-10-01,TATACHEM,302.5,305.6,300.5,301.6,304529
2020-10-05,TATACHEM,301.6,310.6,299.2,308.05,756989
2020-10-06,TATACHEM,310.0,311.3,303.2,304.25,749352
2020-10-07,TATACHEM,305.8,305.8,298.5,300.95,373911
2020-10-08,TATACHEM,301.45,305.0,299.75,301.8,383174
2020-10-09,TATACHEM,302.95,304.85,300.0,301.55,259376
2020-10-12,TATACHEM,302.75,303.7,298.95,300.55,329012
2020-10-13,TATACHEM,299.95,308.65,299.4,307.45,1186520
2020-10-14,TATACHEM,309.0,319.4,309.0,318.05,1972964
2020-10-15,TATACHEM,319.0,323.5,312.35,318.45,3027249
2020-10-16,TATACHEM,315.8,321.0,314.8,319.65,496275
2020-10-19,TATACHEM,322.0,326.0,316.8,318.2,987785
2020-10-20,TATACHEM,315.05,323.55,314.75,321.15,1423448
