Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,117.5,119.6,112.9,115.45,5331999,2037726,38.216923896647394,-9.126429587259063,38.216923896647394
2020-09-06,116.5,116.95,105.45,112.25,3931280,1467489,37.32852913046133,-2.309915572131361,0.8883947661860674
2020-09-13,113.3,114.6,103.35,109.35,2918528,1019638,34.936721525371695,0.019199196226751702,-34.04832675918563
2020-09-20,111.5,114.4,108.75,111.85,4560797,1491793,32.70904186263936,3.2032652182534904,-1.3392848965462676
2020-09-27,111.8,112.9,97.7,101.7,3315416,1198105,36.137395729525345,-13.914448548363781,-37.47668062607161
2020-10-04,102.75,109.5,102.7,105.15,1706589,553360,32.42491308686509,-22.97435073439958,-5.051767539206523
2020-10-11,105.9,106.8,102.25,103.95,1438575,527531,36.6703856246633,-32.242689958215514,-41.72215316386982
2020-10-18,105.0,105.0,99.4,100.35,1194458,446352,37.36858056122526,-56.93264497188234,-79.09073372509508
2020-10-25,101.4,110.6,100.8,109.1,4602334,1425525,30.973957996095024,-35.440510852142936,-48.116775729000054
2020-11-01,110.35,113.4,99.7,101.6,6014705,2135494,35.50455092976297,-61.097084151752725,-83.62132665876302
2020-11-08,102.0,104.2,99.05,101.45,2751467,1153483,41.92247263005517,-63.94618423340691,-125.54379928881819
2020-11-15,103.45,103.95,100.75,103.3,2135155,1024552,47.98490039364824,-35.45514962467843,-77.55889889516996
2020-11-22,104.05,104.3,101.2,102.5,1967264,991148,50.382053450884065,-43.581287278046844,-127.94095234605402
2020-11-29,103.0,104.8,101.35,103.25,2666178,1327998,49.809052508872256,-38.52819499453795,-78.13189983718176
2020-12-06,103.8,110.4,103.2,107.3,9636605,5008030,51.96882096962572,-31.310303193201147,-26.163078867556045
2020-12-13,107.35,113.9,107.35,109.05,7759777,3024537,38.977112357739145,-50.05502134997646,12.8140334901831
2020-12-20,109.65,111.75,106.3,108.5,3596937,1564074,43.483497208875214,-58.43257585810835,-30.669463718692114
2020-12-27,108.2,109.0,98.4,104.65,3322825,1339814,40.321533634783655,-51.20513114998673,-70.99099735347576
2021-01-03,105.4,108.7,103.5,107.95,3093299,1301511,42.07517604990659,-21.267025114476265,-28.915821303569174
2021-01-10,109.0,110.0,105.65,106.3,3689422,1744353,47.27984491879758,-54.417261206966685,-76.19566622236675
2021-01-17,107.5,120.0,106.1,112.6,20510037,6355962,30.98951991164131,-56.42377688469887,-45.206146310725444
2021-01-24,112.9,118.75,108.05,116.75,12820073,3802538,29.660813943883156,-37.851117686192595,-15.545332366842288
2021-01-31,118.7,121.5,109.65,110.5,9051133,2259653,24.965415931905984,-59.23499715529353,-40.51074829874827
2021-02-07,111.2,114.9,108.5,111.3,4800106,1821361,37.94418289929431,-63.978020017705376,-2.566565399453957
2021-02-14,111.95,112.35,107.1,110.25,3930163,1534550,39.04545434883999,-56.16892914793729,-41.612019748293946
2021-02-21,110.65,112.65,104.7,105.35,5319213,2305639,43.34549114690462,-92.42647834629156,-84.95751089519857
2021-02-28,105.8,135.7,104.0,130.0,32308768,8000619,24.76299622443047,-76.56878675777614,-60.1945146707681
2021-03-07,133.0,138.8,126.4,128.45,23107608,6650700,28.78142990827956,-95.83377613186657,-88.97594457904766
2021-03-14,129.8,133.6,125.0,131.7,7979169,2406067,30.154355672877713,-79.00343808188836,-58.82158890616995
2021-03-21,132.45,132.45,112.7,117.45,8398839,1967543,23.426368811213074,-91.16142695859388,-82.24795771738303
2021-03-28,118.4,128.7,114.3,121.15,18229155,2758874,15.134404200304402,-91.89712716277532,-67.11355351707863
2021-04-04,121.0,123.9,118.85,122.85,5024848,796456,15.850350100142332,-82.63801175774174,-51.26320341693629
2021-04-11,122.85,130.5,117.5,125.6,12671022,2928474,23.111584842958997,-76.94900625793646,-28.151618573977295
2021-04-18,123.0,123.1,115.2,119.05,6980203,1519526,21.769080354826357,-77.5001222162865,-49.92069892880365
2021-04-25,115.5,126.75,114.0,125.05,9520970,1893256,19.885116747558286,-62.9177032680771,-30.035582181245367
2021-05-02,126.9,139.85,124.75,131.0,24742161,5575375,22.533904778972218,-66.79771336246966,-7.501677402273149
2021-05-09,130.85,154.7,127.4,153.1,44137049,10157830,23.014293502041788,-46.48106598520933,15.512616099768639
2021-05-16,154.25,180.9,153.15,160.4,56610885,9683946,17.10615546815776,-54.64886994748285,32.6187715679264
2021-05-23,161.8,185.85,158.5,178.5,52612818,8628223,16.399469422071252,-47.06374058041881,49.01824098999765
2021-05-30,180.0,188.6,172.25,179.85,28712651,5156814,17.96007620473637,-48.32698753059905,66.97831719473402
2021-06-06,182.0,183.7,172.05,174.35,11416063,2978310,26.088766328637114,-64.11461007282156,40.889550866096904
2021-06-13,176.4,193.4,173.0,188.6,29390752,6791628,23.108044326324144,-51.88093954712057,63.997595192421045
2021-06-20,188.5,188.5,168.0,175.15,12410527,2893570,23.315448248088096,-58.93244096849354,40.68214694433295
2021-06-27,170.05,178.95,168.65,177.8,7386236,1829316,24.766552273715597,-39.69628386269491,65.44869921804855
2021-07-04,180.95,190.6,178.5,186.4,16909295,4415881,26.115110062246828,-31.710671694900388,91.56380928029537
