Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,891.0,900.0,855.6,871.65,409539,258299,63.07067214599831
2020-09-06,875.0,920.0,851.0,907.25,848375,501262,59.084956534551345
2020-09-13,919.0,919.0,861.0,863.1,438585,321750,73.36092205615788
2020-09-20,880.0,935.0,844.9,849.25,479749,333835,69.58534567034012
2020-09-27,876.7,876.7,777.0,819.35,417697,269593,64.5427187650378
2020-10-04,822.0,884.9,821.0,838.35,316123,153159,48.449179591488125
2020-10-11,859.0,881.85,828.5,860.2,484256,338622,69.92623736205643
2020-10-18,870.0,895.0,835.0,875.65,353943,208674,58.95695069545096
2020-10-25,919.4,969.8,906.6,919.0,877397,460635,52.500179508249964
2020-11-01,926.9,989.4,875.55,933.3,585326,303647,51.87656109586795
2020-11-08,975.0,1017.0,939.05,994.8,359916,252048,70.02967359050444
2020-11-15,1014.0,1064.05,979.1,1019.8,559164,325576,58.225493772846605
2020-11-22,1006.0,1044.95,985.2,1034.65,248954,158208,63.549089390007794
2020-11-29,1034.65,1104.75,989.0,1061.55,994555,550771,55.37863667670466
2020-12-06,1062.0,1073.9,1008.0,1014.2,454943,229293,50.4003798278026
2020-12-13,1000.1,1074.0,1000.1,1036.45,456119,198190,43.45138001267213
2020-12-20,1031.15,1059.0,990.0,999.2,311022,179777,57.80202043585341
2020-12-27,1001.0,1144.95,888.3,1070.9,1001501,384520,38.394370050554116
2021-01-03,1071.0,1105.0,1045.05,1094.6,593788,242553,40.848417280241435
2021-01-10,1106.2,1120.0,1048.9,1061.25,909365,540584,59.44631693544397
2021-01-17,1074.7,1168.05,1036.0,1096.1,1841687,791378,42.97027670825716
2021-01-24,1100.0,1143.0,1026.0,1032.5,2868348,955425,33.309242811541694
2021-01-31,1044.0,1051.95,968.95,1006.0,1373775,951340,69.25005914360067
2021-02-07,995.1,1065.0,950.05,1036.85,885881,328285,37.05746031351841
2021-02-14,1057.9,1067.5,1000.0,1014.35,499126,225574,45.19379876023289
2021-02-21,1024.0,1118.9,974.7,1002.95,3076499,851537,27.67876732610672
2021-02-28,1008.9,1107.0,1001.0,1081.7,1208992,435454,36.01793891109288
2021-03-07,1095.0,1342.15,1086.0,1251.0,3053859,1279794,41.90743580499296
2021-03-14,1251.15,1367.65,1251.0,1291.75,1836063,962441,52.41873508697687
2021-03-21,1300.0,1330.0,1134.05,1175.2,18144065,9616573,53.001204526108125
2021-03-28,1180.0,1194.7,1052.0,1117.85,6379175,3647829,57.18339753965051
2021-04-04,1133.0,1137.9,1060.15,1122.9,2418541,1247140,51.56579938070101
2021-04-11,1119.0,1137.0,1080.2,1115.45,2800038,1956120,69.86048046490798
2021-04-18,1110.0,1144.0,1066.0,1108.6,2845515,1639275,57.609079551504735
2021-04-25,1090.0,1168.0,1090.0,1139.4,3198838,1908690,59.66822952584657
2021-05-02,1132.2,1189.0,1081.0,1100.2,3181490,1687931,53.054732216665776
2021-05-09,1100.2,1122.0,1060.05,1087.45,1651963,941777,57.00956982692712
2021-05-16,1100.0,1105.0,1070.2,1084.15,1038756,633112,60.94905829665485
2021-05-23,1093.95,1094.5,1051.0,1067.9,2143690,1483495,69.20286981793076
2021-05-30,1075.0,1085.0,1037.05,1049.1,1510042,759059,50.2674097806551
2021-06-06,1060.0,1154.3,1055.05,1141.0,2579934,1298563,50.333186817957355
2021-06-13,1146.0,1297.8,1141.05,1287.0,5609059,2553411,45.522983445173246
2021-06-20,1286.4,1347.9,1191.55,1254.8,2980026,1504383,50.48221055789446
2021-06-27,1246.0,1327.35,1217.0,1289.15,1716979,837297,48.765710005771766
