Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,546.5,561.4,541.25,547.05,15016906,7403188,49.29902338071504
2020-09-06,549.0,591.95,526.0,569.05,31957912,10752774,33.646672536053046
2020-09-13,570.0,572.0,529.15,548.4,20777054,8284816,39.87483499826298
2020-09-20,552.0,555.2,533.15,540.6,19871477,9161280,46.102662625430405
2020-09-27,540.6,542.3,478.0,509.8,28085263,14483936,51.57130271487933
2020-10-04,514.0,527.0,495.55,509.1,19795310,7842342,39.617171946284245
2020-10-11,513.4,513.5,470.05,471.25,19295392,8913890,46.196988379401674
2020-10-18,474.5,494.2,463.55,477.1,23718623,7229359,30.479674136226205
2020-10-25,481.9,484.25,458.95,472.8,16886133,6789977,40.21037261757917
2020-11-01,474.9,504.8,470.15,492.85,30522723,14319190,46.913212821804926
2020-11-08,494.0,510.35,488.3,504.2,27651977,11801378,42.67824322289868
2020-11-15,511.0,519.0,495.0,516.15,19621139,6487667,33.06468090359076
2020-11-22,518.0,528.0,512.25,519.05,12890922,6433729,49.9089902180775
2020-11-29,520.0,545.3,505.05,538.0,34746940,21973628,63.23903054484797
2020-12-06,554.0,566.9,525.3,563.5,16829660,7110625,42.25055645806273
2020-12-13,563.95,589.35,558.0,576.4,17160856,7067630,41.184600581695925
2020-12-20,579.8,593.4,566.5,573.55,18258240,8145380,44.612076519971254
2020-12-27,574.0,616.1,551.0,601.0,20959554,8110927,38.69799424167136
2021-01-03,607.7,611.95,587.0,601.5,12693051,4383552,34.5350538653
2021-01-10,606.95,614.3,595.4,609.55,13756032,5171017,37.59090557509607
2021-01-17,613.0,634.9,595.0,602.4,22651964,8835756,39.00657797266497
2021-01-24,601.5,612.75,577.35,584.75,24060841,8174249,33.973247236038006
2021-01-31,587.8,589.85,554.25,559.8,14041420,5600798,39.887689421725156
2021-02-07,563.0,600.0,554.35,592.5,30755309,9968914,32.413636292842966
2021-02-14,595.0,622.0,594.55,607.5,20134655,6649945,33.02736004167938
2021-02-21,608.0,645.7,607.4,616.95,25681102,8143526,31.710189072104463
2021-02-28,619.0,654.0,604.5,609.15,28246740,9766200,34.574609317747814
2021-03-07,614.9,648.0,609.2,622.65,14644571,5811206,39.68164038400305
2021-03-14,626.9,628.2,602.0,615.25,9668274,4821764,49.872024727474624
2021-03-21,617.1,618.8,577.05,600.25,15770795,7939344,50.34206582483635
2021-03-28,603.0,640.0,596.25,628.3,17572046,7744660,44.07375214018903
2021-04-04,630.85,652.95,617.55,650.15,28163886,17402585,61.79042551159311
2021-04-11,651.95,685.0,638.1,679.8,20148182,5658008,28.081977818147564
2021-04-18,675.0,677.9,647.15,671.3,13168745,4370905,33.19150761898723
2021-04-25,662.0,698.0,651.5,664.6,16192983,3802345,23.481436372779495
2021-05-02,667.0,693.0,662.05,669.5,13458341,4990002,37.077393119998966
2021-05-09,661.85,686.3,614.0,629.0,31317703,9347351,29.846860096987314
2021-05-16,627.0,649.9,621.0,645.15,15710466,4824131,30.70647936222898
2021-05-23,646.0,661.0,640.1,649.7,12064710,4675184,38.750902425338026
2021-05-30,650.0,657.7,638.5,654.95,13495831,7287955,54.00152832382089
2021-06-06,659.95,689.95,650.2,686.95,13678564,6348056,46.408789694590745
2021-06-13,690.0,718.75,687.3,715.4,15275863,5731516,37.52007988026601
2021-06-20,715.4,747.45,702.6,739.8,16251653,6193123,38.10764972646167
2021-06-27,729.0,765.0,727.85,757.6,11151132,4605047,41.29667732388066
2021-07-04,762.0,771.9,749.4,763.6,8556919,3767351,44.02695643139779
2021-07-11,770.45,772.75,751.25,765.95,7229236,2768161,38.29119702275593
