Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,TEXMOPIPES,15.5,15.5,14.7,14.8,95348,67138
2020-08-27,TEXMOPIPES,14.8,14.95,14.45,14.5,53324,40507
2020-08-28,TEXMOPIPES,14.9,15.4,13.8,14.5,190082,66652
2020-08-31,TEXMOPIPES,15.35,15.35,13.5,13.65,107122,81039
2020-09-01,TEXMOPIPES,14.85,14.85,13.5,13.85,30751,19266
2020-09-02,TEXMOPIPES,14.0,14.15,13.45,13.85,12018,8709
2020-09-03,TEXMOPIPES,13.8,14.5,13.8,14.05,30473,18890
2020-09-04,TEXMOPIPES,14.05,14.15,13.55,13.85,24825,21191
2020-09-07,TEXMOPIPES,13.85,14.35,13.65,13.7,13803,10883
2020-09-08,TEXMOPIPES,13.3,13.95,13.25,13.5,17914,12973
2020-09-09,TEXMOPIPES,13.25,13.6,13.05,13.4,16607,10530
2020-09-10,TEXMOPIPES,13.7,14.45,13.35,13.65,8132,5631
2020-09-11,TEXMOPIPES,13.65,14.05,13.65,13.8,22302,18528
2020-09-14,TEXMOPIPES,13.7,14.4,13.7,14.05,71148,52184
2020-09-15,TEXMOPIPES,14.1,14.45,13.4,13.6,85404,51899
2020-09-16,TEXMOPIPES,13.8,14.75,13.8,14.55,127533,85700
2020-09-17,TEXMOPIPES,14.8,15.0,14.5,14.7,97430,70221
2020-09-18,TEXMOPIPES,14.8,14.8,14.35,14.55,64181,57482
2020-09-21,TEXMOPIPES,14.4,14.7,13.95,14.05,35099,27591
2020-09-22,TEXMOPIPES,14.05,14.05,13.35,13.4,46367,30967
2020-09-23,TEXMOPIPES,13.8,13.85,13.1,13.3,57108,33950
2020-09-24,TEXMOPIPES,13.3,13.55,13.1,13.3,56666,47329
2020-09-25,TEXMOPIPES,13.75,14.5,13.4,14.05,104377,64285
2020-09-28,TEXMOPIPES,14.75,14.95,13.75,14.25,41848,32593
2020-09-29,TEXMOPIPES,14.45,14.65,14.15,14.3,65888,43783
2020-09-30,TEXMOPIPES,14.4,14.7,14.0,14.1,37318,23851
2020-10-01,TEXMOPIPES,15.5,15.5,15.5,15.5,108576,108576
2020-10-05,TEXMOPIPES,16.5,17.05,16.05,17.0,400519,294413
2020-10-06,TEXMOPIPES,17.35,17.55,16.1,16.3,199354,119113
2020-10-07,TEXMOPIPES,16.3,16.9,15.35,15.6,127894,79447
2020-10-08,TEXMOPIPES,15.8,16.95,13.7,15.3,172963,108781
2020-10-09,TEXMOPIPES,15.75,16.0,15.15,15.45,31416,23937
2020-10-12,TEXMOPIPES,16.1,16.1,15.45,15.65,49339,25529
2020-10-13,TEXMOPIPES,15.9,16.25,15.0,15.5,86353,29825
2020-10-14,TEXMOPIPES,15.45,15.8,15.35,15.65,30998,18171
2020-10-15,TEXMOPIPES,16.05,16.1,15.05,15.35,42747,27355
2020-10-16,TEXMOPIPES,15.7,15.7,14.4,14.65,72718,55545
2020-10-19,TEXMOPIPES,15.0,15.3,14.25,14.4,59958,44943
2020-10-20,TEXMOPIPES,14.85,14.85,14.15,14.3,56697,48879
2020-10-21,TEXMOPIPES,14.3,14.9,14.1,14.5,51478,32208
2020-10-22,TEXMOPIPES,14.6,15.75,14.5,15.35,73514,46275
2020-10-23,TEXMOPIPES,15.6,15.9,14.8,15.4,78586,42013
2020-10-26,TEXMOPIPES,15.4,18.2,15.2,16.7,695338,313026
2020-10-27,TEXMOPIPES,17.75,18.0,16.5,17.15,375481,190524
2020-10-28,TEXMOPIPES,17.35,17.8,16.3,16.8,220467,128468
2020-10-29,TEXMOPIPES,16.6,17.3,16.25,16.3,167651,102257
2020-10-30,TEXMOPIPES,16.35,16.9,16.2,16.3,77533,52127
2020-11-02,TEXMOPIPES,16.3,16.45,15.85,15.9,41748,34239
