Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,TFCILTD,40.9,41.8,40.35,40.85,786284,582317
2020-08-27,TFCILTD,40.95,44.4,40.75,42.8,1346878,925223
2020-08-28,TFCILTD,43.2,43.75,41.45,42.5,959359,752758
2020-08-31,TFCILTD,42.75,42.9,38.25,39.3,918342,731157
2020-09-01,TFCILTD,39.3,39.95,38.1,38.9,248342,181202
2020-09-02,TFCILTD,39.5,39.65,38.5,39.1,83251,46957
2020-09-03,TFCILTD,39.1,39.6,38.95,39.3,147101,86850
2020-09-04,TFCILTD,37.7,39.2,37.7,38.75,125208,76837
2020-09-07,TFCILTD,39.2,40.65,37.5,39.35,130251,76939
2020-09-08,TFCILTD,39.9,39.9,38.2,38.85,60366,39085
2020-09-09,TFCILTD,39.05,39.2,37.7,38.8,85499,48912
2020-09-10,TFCILTD,38.15,39.2,38.0,38.2,121383,82591
2020-09-11,TFCILTD,38.25,39.0,37.8,38.4,177735,101855
2020-09-14,TFCILTD,39.1,39.15,38.25,38.95,138630,96595
2020-09-15,TFCILTD,38.05,39.25,38.05,38.95,95918,71654
2020-09-16,TFCILTD,39.25,39.75,38.5,38.9,102202,63499
2020-09-17,TFCILTD,38.7,38.75,38.0,38.1,59698,41794
2020-09-18,TFCILTD,39.2,39.2,37.35,37.5,162740,141130
2020-09-21,TFCILTD,38.0,38.0,34.65,35.05,244892,208783
2020-09-22,TFCILTD,35.25,35.65,34.3,34.9,66201,46976
2020-09-23,TFCILTD,36.3,36.3,34.0,34.75,81895,57542
2020-09-24,TFCILTD,33.55,35.0,33.25,34.55,59994,37068
2020-09-25,TFCILTD,34.5,35.85,34.5,35.55,40145,21335
2020-09-28,TFCILTD,36.15,36.85,35.6,36.4,59005,37734
2020-09-29,TFCILTD,37.35,37.35,35.6,35.85,32310,18470
2020-09-30,TFCILTD,36.5,36.5,35.75,36.25,47125,27942
2020-10-01,TFCILTD,36.8,37.8,36.0,36.75,138280,70237
2020-10-05,TFCILTD,37.35,37.35,36.3,36.45,69127,48538
2020-10-06,TFCILTD,36.8,36.8,34.6,35.35,120645,95175
2020-10-07,TFCILTD,35.85,35.9,35.1,35.4,51796,34879
2020-10-08,TFCILTD,35.7,35.9,35.05,35.25,90171,59538
2020-10-09,TFCILTD,35.3,35.65,34.55,34.75,107353,83988
2020-10-12,TFCILTD,34.75,36.4,34.0,34.3,200396,87200
2020-10-13,TFCILTD,34.45,35.0,34.35,34.85,26983,18752
2020-10-14,TFCILTD,35.4,35.4,34.3,34.4,63488,31546
2020-10-15,TFCILTD,35.25,35.25,34.0,34.2,63798,42327
2020-10-16,TFCILTD,34.85,34.9,32.9,33.0,173931,141804
2020-10-19,TFCILTD,33.4,34.45,33.0,34.05,144045,47509
2020-10-20,TFCILTD,34.55,34.75,33.75,34.3,52135,34384
2020-10-21,TFCILTD,34.3,35.1,34.05,34.65,61201,45495
2020-10-22,TFCILTD,34.25,36.0,34.15,34.95,144436,119627
2020-10-23,TFCILTD,37.9,37.9,35.5,35.7,107405,56406
2020-10-26,TFCILTD,35.95,35.95,34.6,34.75,39236,23533
2020-10-27,TFCILTD,35.45,35.45,33.9,34.4,46905,26409
2020-10-28,TFCILTD,35.45,35.5,33.7,34.1,41682,23863
2020-10-29,TFCILTD,34.0,34.25,33.55,33.95,19791,14295
2020-10-30,TFCILTD,34.35,34.6,33.6,33.9,34735,19663
2020-11-02,TFCILTD,34.8,34.8,33.65,33.9,29497,15233
2020-11-03,TFCILTD,34.45,34.45,33.8,34.0,19143,10429
