Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2022-10-20,TIPSFILMS,424.0,437.5,399.9,437.5,27244,20077
2022-10-21,TIPSFILMS,494.0,525.0,482.4,522.05,322149,90593
2022-10-24,TIPSFILMS,547.0,574.25,545.0,567.1,53243,24987
2022-10-25,TIPSFILMS,594.9,623.8,586.15,623.8,80037,18641
2022-10-27,TIPSFILMS,654.7,680.0,561.45,564.1,191456,50054
2022-10-28,TIPSFILMS,562.0,580.95,507.7,507.7,91729,38442
2022-10-31,TIPSFILMS,500.0,513.45,466.3,500.45,76791,27332
2022-11-01,TIPSFILMS,485.3,550.45,485.3,550.45,25253,14670
2022-11-02,TIPSFILMS,600.0,605.45,535.0,576.8,140742,46227
2022-11-03,TIPSFILMS,563.0,577.45,540.05,549.95,44097,16177
2022-11-04,TIPSFILMS,536.0,575.0,536.0,543.2,28057,11570
2022-11-07,TIPSFILMS,550.0,569.0,500.0,513.8,34651,16609
2022-11-09,TIPSFILMS,497.05,532.7,497.05,508.0,28188,10300
2022-11-10,TIPSFILMS,510.05,518.3,485.0,490.25,14452,8364
2022-11-11,TIPSFILMS,495.4,518.0,475.0,484.05,11286,5169
2022-11-14,TIPSFILMS,532.45,532.45,522.65,532.45,24131,12937
2022-11-15,TIPSFILMS,557.8,579.0,523.95,537.7,42445,18551
2022-11-16,TIPSFILMS,537.7,537.7,506.0,513.95,11570,5700
2022-11-17,TIPSFILMS,514.0,521.95,490.0,503.05,7178,3932
2022-11-18,TIPSFILMS,495.0,520.0,491.2,497.45,6498,3377
2022-11-21,TIPSFILMS,488.0,493.0,464.6,472.1,8749,5352
2022-11-22,TIPSFILMS,453.0,469.85,430.5,433.05,25324,14540
2022-11-23,TIPSFILMS,435.15,476.35,430.55,476.35,10374,6623
2022-11-24,TIPSFILMS,499.0,518.8,480.05,495.0,44100,16748
2022-11-25,TIPSFILMS,487.9,504.85,487.9,495.75,10925,5069
2022-11-28,TIPSFILMS,481.0,543.0,481.0,522.35,28682,14721
2022-11-29,TIPSFILMS,543.5,543.5,504.0,506.7,14989,5421
2022-11-30,TIPSFILMS,518.0,523.95,501.0,504.85,19474,8622
2022-12-01,TIPSFILMS,507.4,516.0,491.05,503.75,10444,3923
2022-12-02,TIPSFILMS,503.75,513.0,495.3,498.55,3199,1631
2022-12-05,TIPSFILMS,502.55,504.05,494.0,495.75,3240,2228
2022-12-06,TIPSFILMS,477.0,493.85,477.0,482.75,3238,2052
2022-12-07,TIPSFILMS,485.2,493.65,468.8,473.95,8462,4296
2022-12-08,TIPSFILMS,478.75,488.9,463.5,466.4,7549,4663
2022-12-09,TIPSFILMS,471.5,481.9,430.7,450.9,14962,5877
2022-12-12,TIPSFILMS,457.0,495.95,451.0,495.95,23981,11462
2022-12-13,TIPSFILMS,520.0,524.9,488.65,496.05,41356,19236
2022-12-14,TIPSFILMS,494.0,496.25,476.65,487.4,10392,3547
2022-12-15,TIPSFILMS,481.0,491.0,476.7,479.6,4626,2551
2022-12-16,TIPSFILMS,478.8,489.9,467.05,479.0,2883,1568
2022-12-19,TIPSFILMS,482.95,488.0,471.1,477.55,2803,1523
2022-12-20,TIPSFILMS,476.75,486.0,467.05,471.9,2508,1328
2022-12-21,TIPSFILMS,475.2,483.05,455.0,462.45,2743,1419
2022-12-22,TIPSFILMS,471.0,474.65,423.4,430.05,14267,7037
2022-12-23,TIPSFILMS,432.25,434.95,400.0,401.6,8439,5094
2022-12-26,TIPSFILMS,401.6,441.0,401.6,438.9,10198,6468
2022-12-27,TIPSFILMS,441.1,468.45,436.6,442.05,4131,2421
2022-12-28,TIPSFILMS,442.1,449.35,430.55,441.65,4883,3033
2022-12-29,TIPSFILMS,441.65,446.2,420.0,425.6,2530,1404
2022-12-30,TIPSFILMS,428.1,467.8,428.1,458.3,8079,4593
2023-01-02,TIPSFILMS,450.5,460.6,441.0,444.8,4268,2614
2023-01-03,TIPSFILMS,447.65,460.0,436.0,449.85,2969,2112
2023-01-04,TIPSFILMS,444.5,453.8,429.1,436.5,4754,2886
