Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-09-13,TIPSINDLTD,1307.95,1322.05,1220.2,1322.05,25861,18134
2021-09-14,TIPSINDLTD,1321.0,1382.0,1311.0,1342.85,30986,20231
2021-09-15,TIPSINDLTD,1350.0,1350.0,1275.75,1281.9,26906,16028
2022-05-09,TIPSINDLTD,1685.0,1750.0,1643.05,1692.0,6429,4320
2022-05-10,TIPSINDLTD,1684.95,1718.0,1608.0,1691.15,19928,14131
2022-05-11,TIPSINDLTD,1664.5,1710.0,1608.0,1673.25,12277,8266
2022-05-12,TIPSINDLTD,1744.0,1756.9,1591.0,1627.1,13206,7303
2022-05-13,TIPSINDLTD,1630.2,1708.45,1630.2,1686.25,8677,6264
2022-05-16,TIPSINDLTD,1700.0,1737.0,1645.95,1649.45,6604,4560
2022-05-17,TIPSINDLTD,1631.0,1731.9,1620.0,1722.05,10891,8123
2022-05-18,TIPSINDLTD,1780.0,1808.15,1768.95,1808.15,28950,27660
2022-06-02,TIPSINDLTD,1597.0,1748.4,1587.0,1604.9,5085,3148
2022-06-03,TIPSINDLTD,1648.0,1648.0,1602.1,1617.9,3679,2365
2022-06-06,TIPSINDLTD,1600.0,1640.95,1524.0,1576.8,7626,5902
2022-06-07,TIPSINDLTD,1600.4,1600.4,1527.65,1554.2,2462,1325
2022-06-08,TIPSINDLTD,1577.5,1583.15,1514.4,1547.1,3278,1876
2022-06-09,TIPSINDLTD,1560.0,1560.0,1498.0,1510.5,8809,5949
2022-06-10,TIPSINDLTD,1510.9,1510.9,1455.0,1467.2,5968,4708
2022-06-13,TIPSINDLTD,1437.0,1437.0,1336.2,1390.35,7873,3725
2022-06-14,TIPSINDLTD,1417.0,1417.0,1250.1,1287.7,23786,16778
2022-06-15,TIPSINDLTD,1313.5,1363.95,1281.0,1350.85,9591,7516
2022-06-16,TIPSINDLTD,1345.0,1396.15,1279.25,1314.25,12224,8275
2022-06-17,TIPSINDLTD,1301.1,1325.0,1282.65,1317.65,8350,6231
