Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,TNPETRO,116.8,119.2,105.5,107.85,594140,272498
2021-08-24,TNPETRO,107.85,118.3,105.05,116.85,733979,314586
2021-08-25,TNPETRO,120.6,120.6,115.8,117.45,305861,158081
2021-08-26,TNPETRO,118.0,119.95,114.4,115.1,223134,126750
2021-08-27,TNPETRO,115.2,118.4,111.5,116.7,286771,143140
2021-08-30,TNPETRO,117.0,121.55,117.0,119.6,373290,219821
2021-08-31,TNPETRO,120.6,122.6,119.5,120.65,268564,155968
2021-09-01,TNPETRO,121.25,121.75,118.0,118.45,225554,154797
2021-09-02,TNPETRO,116.9,121.0,115.5,118.25,288975,126508
2021-09-03,TNPETRO,119.25,120.2,116.0,117.2,189751,111904
2021-09-06,TNPETRO,117.9,117.9,115.45,116.1,237336,149127
2021-09-07,TNPETRO,116.2,116.85,112.55,112.9,414033,255260
2021-09-08,TNPETRO,113.85,115.0,113.2,113.5,156668,85263
2021-09-09,TNPETRO,113.55,115.0,113.0,113.5,163075,104376
2021-09-13,TNPETRO,113.5,117.5,113.25,115.7,274370,164636
2021-09-14,TNPETRO,116.15,134.95,116.15,127.95,2502596,972764
2021-09-15,TNPETRO,130.5,130.5,122.75,123.3,1256862,673817
2021-09-16,TNPETRO,123.3,126.0,121.5,121.85,441206,236025
2021-09-17,TNPETRO,122.5,125.75,119.0,122.15,566220,297789
2021-09-20,TNPETRO,121.3,125.0,118.0,118.45,348963,170863
2021-09-21,TNPETRO,119.0,119.5,114.55,116.9,266714,131677
2021-09-22,TNPETRO,117.35,123.0,116.8,119.6,396870,171941
2021-09-23,TNPETRO,120.3,123.85,119.95,120.95,371906,218741
2021-09-24,TNPETRO,121.8,123.0,118.1,119.45,334771,174757
2021-09-27,TNPETRO,120.7,127.7,120.5,125.35,1410200,595473
2021-09-28,TNPETRO,125.95,133.0,125.25,131.35,2147962,908091
2021-09-29,TNPETRO,131.8,136.8,128.55,131.25,2537904,861112
2021-09-30,TNPETRO,132.0,133.8,129.2,130.2,792723,384670
2021-10-01,TNPETRO,129.6,130.5,126.6,127.8,524725,232127
2021-10-04,TNPETRO,127.25,134.9,127.25,132.5,934653,440674
2021-10-05,TNPETRO,133.0,139.0,133.0,137.75,1767246,765096
2021-10-06,TNPETRO,140.0,143.0,133.0,134.75,1384632,622163
2021-10-07,TNPETRO,137.0,139.9,134.35,134.7,595595,255721
2021-10-08,TNPETRO,136.0,136.0,129.0,131.6,759260,337797
2021-10-11,TNPETRO,132.0,136.4,131.45,134.45,683972,349711
2021-10-12,TNPETRO,135.45,135.45,131.55,132.3,377374,203533
2021-10-13,TNPETRO,133.75,133.9,131.05,132.3,460858,281730
2021-10-14,TNPETRO,133.45,134.2,131.5,132.0,341723,205381
2021-10-18,TNPETRO,132.25,134.0,129.0,129.3,455571,313097
2021-10-19,TNPETRO,130.0,130.7,124.2,125.3,411343,227738
2021-10-20,TNPETRO,124.1,124.95,119.15,122.55,402008,171488
2021-10-21,TNPETRO,123.0,124.85,120.05,122.85,246840,107097
2021-10-22,TNPETRO,123.9,124.2,118.6,121.65,340630,134192
2021-10-25,TNPETRO,125.0,132.6,121.0,128.1,871626,444939
2021-10-26,TNPETRO,125.85,128.6,124.75,126.75,365860,137674
2021-10-27,TNPETRO,127.0,131.5,126.05,127.45,371505,186932
2021-10-28,TNPETRO,126.5,128.2,121.6,123.05,280796,155383
2021-10-29,TNPETRO,124.8,126.5,121.5,122.35,303165,131504
2021-11-01,TNPETRO,122.7,125.9,121.5,124.25,235673,101554
