Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,TPLPLASTEH,303.85,310.4,287.0,293.55,39441,5590
2021-08-24,TPLPLASTEH,293.55,309.95,287.35,299.9,33604,4815
2021-08-25,TPLPLASTEH,299.9,308.75,297.1,305.0,10218,1879
2021-08-26,TPLPLASTEH,302.4,307.65,300.85,303.5,6121,2758
2021-08-27,TPLPLASTEH,303.5,306.95,299.0,301.3,11963,3604
2021-08-30,TPLPLASTEH,305.0,315.0,302.5,313.0,39975,4514
2021-08-31,TPLPLASTEH,316.85,324.0,315.0,318.1,38238,6404
2021-09-01,TPLPLASTEH,316.0,322.95,313.5,316.2,13413,2959
2021-09-02,TPLPLASTEH,317.95,320.0,306.6,314.35,8405,3053
2021-09-03,TPLPLASTEH,306.05,330.0,306.05,326.0,11383,6469
2021-09-06,TPLPLASTEH,330.9,356.0,326.0,347.3,67521,19618
2021-09-07,TPLPLASTEH,358.0,363.0,343.2,345.6,20565,11365
2021-09-08,TPLPLASTEH,351.8,353.3,330.1,339.15,17486,10204
2021-09-09,TPLPLASTEH,349.0,353.3,341.0,350.8,24314,12482
2021-09-13,TPLPLASTEH,357.0,357.0,346.85,350.8,21100,13449
2021-09-14,TPLPLASTEH,352.0,357.95,342.5,343.55,14628,10678
2021-09-15,TPLPLASTEH,346.9,349.9,336.65,338.5,21558,12523
2021-09-16,TPLPLASTEH,179.8,202.6,175.0,192.15,329411,96338
2021-09-17,TPLPLASTEH,203.45,228.7,203.0,219.05,511922,96632
2021-09-20,TPLPLASTEH,217.5,217.5,198.0,204.45,107360,40628
2021-09-21,TPLPLASTEH,200.0,204.05,192.3,201.25,60263,17619
2021-09-22,TPLPLASTEH,201.0,208.9,200.05,202.75,54299,14550
2021-09-23,TPLPLASTEH,202.2,207.0,198.05,199.75,38423,11342
2021-09-24,TPLPLASTEH,203.4,203.4,194.05,195.8,21029,13935
2021-09-27,TPLPLASTEH,204.7,206.9,193.75,194.25,12844,7288
2021-09-28,TPLPLASTEH,198.7,198.7,185.3,188.7,11156,6823
2021-09-29,TPLPLASTEH,192.9,194.8,187.1,191.3,39665,6192
2021-09-30,TPLPLASTEH,188.0,193.85,188.0,192.15,26662,4209
2021-10-01,TPLPLASTEH,188.35,193.65,188.0,190.95,7345,4355
2021-10-04,TPLPLASTEH,189.5,193.65,189.5,191.45,8744,5782
2021-10-05,TPLPLASTEH,187.0,189.0,181.55,184.0,31658,18840
2021-10-06,TPLPLASTEH,183.55,184.35,175.05,175.3,106065,84333
2021-10-07,TPLPLASTEH,175.75,180.45,175.05,178.15,33839,12435
2021-10-08,TPLPLASTEH,179.0,179.0,175.0,175.85,12073,7782
2021-10-11,TPLPLASTEH,178.75,179.85,170.85,174.3,26039,11456
2021-10-12,TPLPLASTEH,172.5,175.9,171.15,172.05,11629,7409
2021-10-13,TPLPLASTEH,173.3,178.95,172.55,175.15,35885,11743
2021-10-14,TPLPLASTEH,177.2,177.25,171.9,172.9,12904,8763
2021-10-18,TPLPLASTEH,175.1,178.35,172.55,175.75,128459,66645
2021-10-19,TPLPLASTEH,176.15,183.85,165.3,174.8,112254,52985
2021-10-20,TPLPLASTEH,171.0,177.95,169.0,171.8,14969,8278
2021-10-21,TPLPLASTEH,171.85,174.7,170.15,172.95,13851,10039
2021-10-22,TPLPLASTEH,172.95,181.05,170.55,172.65,31441,19897
2021-10-25,TPLPLASTEH,172.7,175.65,164.95,165.85,17005,9647
2021-10-26,TPLPLASTEH,165.1,172.85,165.0,166.35,47098,20348
2021-10-27,TPLPLASTEH,175.9,175.9,165.15,174.55,47315,38932
2021-10-28,TPLPLASTEH,178.05,187.5,175.1,180.25,179796,93610
2021-10-29,TPLPLASTEH,180.0,187.75,172.0,174.45,63687,20620
2021-11-01,TPLPLASTEH,175.0,179.55,172.2,173.75,14156,7373
2021-11-02,TPLPLASTEH,175.0,179.85,173.5,179.1,8860,5109
2021-11-03,TPLPLASTEH,180.0,203.8,178.55,194.4,488968,170946
2021-11-04,TPLPLASTEH,195.0,196.0,187.1,195.2,23217,14106
2021-11-08,TPLPLASTEH,196.0,201.55,191.0,193.25,32836,19965
2021-11-09,TPLPLASTEH,192.5,198.5,188.0,188.9,33908,22471
2021-11-10,TPLPLASTEH,195.0,198.45,188.6,191.25,12767,8447
2021-11-11,TPLPLASTEH,191.95,203.3,190.6,193.75,119839,42218
2021-11-12,TPLPLASTEH,195.0,196.6,188.0,189.4,17134,10547
2021-11-15,TPLPLASTEH,190.0,195.15,186.0,186.85,11951,7452
2021-11-16,TPLPLASTEH,187.0,200.2,187.0,198.6,68799,46499
2021-11-17,TPLPLASTEH,203.0,207.95,185.35,190.45,207258,49699
2021-11-18,TPLPLASTEH,192.4,192.95,186.55,188.45,23549,10081
2021-11-22,TPLPLASTEH,188.55,194.7,171.25,173.45,41368,25333
2021-11-23,TPLPLASTEH,169.0,187.5,169.0,185.4,18994,9976
2021-11-24,TPLPLASTEH,189.8,190.05,176.75,181.1,12851,7947
2021-11-25,TPLPLASTEH,178.55,185.5,178.55,182.15,9682,7553
2021-11-26,TPLPLASTEH,181.15,196.9,177.85,184.45,286144,82139
2021-11-29,TPLPLASTEH,182.5,184.0,164.85,168.8,40558,24423
2021-11-30,TPLPLASTEH,166.75,173.9,166.75,170.75,17496,9706
