Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-09-20,84.0,89.8,80.1,85.1,32133,22755,70.81504994865092,2.1901561839788735,70.81504994865092
2020-09-27,85.1,87.5,71.85,78.75,45816,30810,67.24724986904138,-5.759199231850273,3.5678000796095404
2020-10-04,77.3,81.95,77.3,80.0,30834,16382,53.12966206136084,2.8101011006272714,56.69746214097038
2020-10-11,81.0,82.0,77.6,78.1,40020,28664,71.62418790604697,-52.53586228131814,-14.92672576507659
2020-10-18,79.95,80.0,74.2,75.55,30934,18667,60.344604642141334,-84.78901303832481,-75.27133040721793
2020-10-25,76.0,77.9,72.05,74.8,43163,31850,73.79005166462017,-89.20380245415689,-149.0613820718381
2020-11-01,75.9,77.4,72.0,73.0,41039,32853,80.05312020273398,-139.60761887810054,-229.1145022745721
2020-11-08,73.0,74.8,70.75,73.25,21193,15832,74.7039116689473,-122.08447910390296,-154.4105906056248
2020-11-15,75.7,85.45,72.55,82.65,98573,81621,82.80259300214054,-75.22719779261408,-71.60799760348426
2020-11-22,82.1,82.25,76.05,78.5,55656,44246,79.49906568923386,-91.8963567274534,-151.10706329271812
2020-11-29,79.1,85.8,79.0,84.15,116607,83297,71.43396194053531,-55.128876316883584,-79.67310135218281
2020-12-06,84.2,91.8,82.3,88.15,115636,77746,67.23338752637586,-39.55903920551221,-12.439713825806948
2020-12-13,92.0,116.9,91.0,112.5,780874,395052,50.59100443861622,-6.157256352217345,38.15129061280927
2020-12-20,110.4,111.8,104.2,105.4,115405,68668,59.50175469000477,-46.868983245378445,-21.350464077195504
2020-12-27,,,,,0,0,,-46.868983245378445,-21.350464077195504
2021-01-03,,,,,0,0,,-46.868983245378445,-21.350464077195504
2021-01-10,,,,,0,0,,-46.868983245378445,-21.350464077195504
2021-01-17,,,,,0,0,,-46.868983245378445,-21.350464077195504
2021-01-24,,,,,0,0,,-46.868983245378445,-21.350464077195504
2021-01-31,,,,,0,0,,-46.868983245378445,-21.350464077195504
2021-02-07,96.65,105.05,95.1,101.2,62924,40104,63.73402835166232,-32.456765778922055,-21.350464077195504
2021-02-14,102.0,108.2,98.0,104.45,190177,125083,65.7718861902333,-15.046560610919105,44.4214221130378
2021-02-21,100.0,103.6,96.0,98.15,131648,81480,61.892318911035495,-41.920856980184396,-17.470896797997696
2021-02-28,98.65,101.0,94.75,96.75,69838,43123,61.74718634554254,-64.14984406457971,-79.21808314354024
2021-03-07,96.8,104.15,96.0,99.8,151316,99682,65.87670834544926,-68.59551149893527,-13.341374798090982
2021-03-14,98.2,104.0,97.3,97.8,81005,61219,75.57434726251466,-132.89010543868653,-88.91572206060565
2021-03-21,98.1,100.2,89.1,91.5,94688,71711,75.73398952348766,-175.87426165472002,-164.64971158409332
2021-03-28,90.0,93.3,80.7,81.3,119615,94676,79.15060820131255,-247.48671669400287,-243.80031978540586
2021-04-04,82.75,89.85,80.3,88.8,53369,34037,63.77672431561393,-197.73419353679614,-180.02359546979193
