Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,5958.7,6145.0,5801.2,5946.95,41397,21485,51.89989612773872
2020-09-06,5960.0,6233.25,5655.55,6034.2,41099,23384,56.89676147838148
2020-09-13,5950.05,6120.0,5760.0,5835.15,11768,5579,47.4082256968049
2020-09-20,5904.8,6575.0,5901.0,6305.45,50014,21498,42.983964489942814
2020-09-27,6354.95,6354.95,5701.0,6064.1,33277,13389,40.23499714517534
2020-10-04,6098.6,6298.0,5990.05,6197.05,23307,9107,39.07409791049899
2020-10-11,6220.0,6294.8,5921.0,5971.0,22720,15949,70.1980633802817
2020-10-18,6089.7,6200.1,5625.0,5683.3,22264,11841,53.18451311534316
2020-10-25,5748.0,5825.0,5350.0,5787.0,62529,41267,65.99657758799917
2020-11-01,5760.05,5878.65,5570.1,5704.7,15457,5405,34.96797567445171
2020-11-08,5710.05,6028.8,5552.8,5999.7,20842,12521,60.07580846367912
2020-11-15,6027.8,6134.0,5600.0,5819.15,33350,17002,50.980509745127435
2020-11-22,5819.0,5944.0,5653.9,5853.05,24261,10522,43.37001772391905
2020-11-29,5864.85,5887.95,5699.5,5745.8,26051,14550,55.85198264941845
2020-12-06,5798.8,5849.75,5729.0,5806.65,28352,17146,60.47545146726863
2020-12-13,5807.05,5993.6,5701.85,5757.35,35147,19393,55.17682874783054
2020-12-20,5818.8,5840.0,5651.0,5806.95,32325,20173,62.40680587780356
2020-12-27,5794.95,6047.9,5560.0,5990.15,54791,29995,54.744392327207024
2021-01-03,6030.0,6288.0,5925.0,6218.95,64857,25605,39.47916184837412
2021-01-10,6247.0,6350.0,6100.0,6190.4,36892,18146,49.18681556977123
2021-01-17,6279.8,6340.0,6069.4,6115.55,35721,19402,54.315388706923095
2021-01-24,6112.3,6192.3,5921.0,5991.45,84245,66768,79.25455516647872
2021-01-31,6069.95,6069.95,5822.25,5961.95,18417,7183,39.002009013411524
2021-02-07,5999.9,6200.0,5864.9,6064.6,187406,169621,90.50990896769581
2021-02-14,6079.9,7499.45,5851.25,7389.85,701385,131727,18.780983340105646
2021-02-21,7365.3,7445.0,7051.0,7303.05,109100,44516,40.80293308890926
2021-02-28,7250.55,7662.5,6901.0,7258.5,70668,26543,37.56014037470991
2021-03-07,7265.0,8080.0,7061.15,7342.2,114020,40551,35.5648131906683
2021-03-14,7480.0,7750.0,7415.0,7593.35,51394,23755,46.221348795579246
2021-03-21,7678.0,7688.7,7200.0,7222.1,45486,32536,71.52970144659896
2021-03-28,7225.15,7365.0,7100.15,7129.8,20079,9359,46.61088699636436
2021-04-04,7169.95,7380.0,7140.45,7282.7,16471,9813,59.577439135450184
2021-04-11,7282.0,7619.95,7115.0,7476.25,29338,19100,65.10327902379167
2021-04-18,7438.9,7647.95,7273.55,7348.7,79419,66680,83.95975774059104
2021-04-25,7320.0,7897.45,7255.35,7671.45,64981,46229,71.14233391298995
2021-05-02,7671.45,7848.85,7368.0,7401.25,31672,16083,50.77986865370043
2021-05-09,7400.0,7650.0,7350.05,7374.9,26330,14867,56.46410938093429
2021-05-16,7354.05,7405.0,7095.0,7115.15,21920,14592,66.56934306569343
2021-05-23,7130.0,7300.0,6815.0,7225.1,56166,33389,59.446996403518135
2021-05-30,7325.0,8960.0,7235.0,8609.2,824746,140435,17.027666699808183
2021-06-06,8670.0,9285.9,8460.3,8903.4,159571,34597,21.6812578726711
2021-06-13,8910.0,9125.35,8800.0,8895.3,54741,18227,33.296797647101805
2021-06-20,8890.0,8972.2,8477.0,8585.3,65921,45182,68.5396156004915
2021-06-27,8720.0,9050.0,8588.0,8803.85,73776,39125,53.03215137714162
2021-07-04,8850.6,9466.6,8850.6,9425.65,102532,41225,40.20695977841064
2021-07-11,9551.0,9589.15,8980.0,9245.75,41637,16041,38.525830391238564
2021-07-18,9000.0,9414.45,9000.0,9244.0,31204,13762,44.10332008716831
2021-07-25,9250.0,9349.0,8913.85,9241.65,19157,7906,41.26950983974526
2021-08-01,9340.0,9533.0,7911.1,8743.9,174044,34960,20.08687458343867
2021-08-08,8853.1,8865.0,8556.0,8664.6,50317,30270,60.15859451080152
2021-08-15,8725.6,9150.0,8635.8,8915.4,32879,13542,41.1873840445269
2021-08-22,8925.6,9049.95,8690.0,8956.45,26859,17666,65.77311143378384
2021-08-29,9085.0,9190.0,8775.3,8795.25,24344,14523,59.65741045021361
2021-09-05,8879.0,8949.1,8701.0,8731.1,26540,14089,53.08590806330068
2021-09-12,8731.1,9530.0,8600.0,9358.35,89480,20702,23.13589628967367
2021-09-19,9296.0,9440.0,9029.95,9168.55,35648,13256,37.18581687612208
2021-09-26,9199.0,9199.0,8865.15,8889.9,11560,5628,48.68512110726644
2021-10-03,8907.2,9008.95,8765.0,8878.4,59249,32071,54.12918361491334
2021-10-10,8950.0,9050.0,8558.3,8767.05,60186,42340,70.34858604991194
2021-10-17,8896.0,9050.0,8753.9,8805.4,20818,11793,56.648092996445385
2021-10-24,8897.0,10587.15,8805.4,9461.6,338263,109520,32.377173974097076
2021-10-31,9508.95,11619.9,9161.1,10937.05,618137,115636,18.70717979994726
2021-11-07,11040.0,11587.0,10860.35,11414.4,78258,27143,34.68399396866774
2021-11-14,11451.0,11598.0,10970.0,11199.85,74996,32287,43.05162942023575
2021-11-21,11199.85,11399.0,10811.0,10830.25,32047,16363,51.05938153337286
2021-11-28,10876.0,10878.0,9756.35,9873.15,71951,37513,52.136870926046896
2021-12-05,9865.0,10599.85,9529.55,10144.05,71260,33140,46.50575357844513
2021-12-12,10254.05,11384.4,10042.65,10992.3,153723,50162,32.63142145287303
2021-12-19,11160.3,11859.0,1000.0,1004.4,1691590,590154,34.887531848734035
2021-12-26,990.0,1010.0,942.95,947.6,657980,296432,45.051825283443264
2022-01-02,949.9,989.9,926.3,986.7,441999,194230,43.943538333797136
2022-01-09,996.9,1050.0,990.0,1018.45,165536,45859,27.70333945486178
