Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,TWL,94.0,94.65,84.5,85.15,1565562,624172
2021-08-24,TWL,85.25,94.0,85.25,93.05,1785747,552508
2021-08-25,TWL,93.0,95.0,91.1,92.45,915117,312982
2021-08-26,TWL,92.9,98.4,92.5,97.05,2442790,885342
2021-08-27,TWL,96.2,99.2,94.5,97.6,1595220,474103
2021-08-30,TWL,98.4,99.0,96.25,96.8,1224565,442324
2021-08-31,TWL,97.2,97.45,92.5,93.15,862209,347795
2021-09-01,TWL,93.6,96.7,93.0,94.6,1005976,300668
2021-09-02,TWL,94.6,97.5,94.2,95.9,839462,337309
2021-09-03,TWL,95.9,96.4,92.75,93.4,650446,313994
2021-09-06,TWL,93.9,94.35,89.65,90.85,886214,429080
2021-09-07,TWL,96.4,98.0,94.2,94.8,2575378,626889
2021-09-08,TWL,94.9,95.5,92.5,94.0,599813,218429
2021-09-09,TWL,93.3,94.05,92.65,93.1,330254,140567
2021-09-13,TWL,93.15,93.45,91.45,92.1,397619,169391
2021-09-14,TWL,92.1,94.7,92.1,93.15,512712,183728
2021-09-15,TWL,93.2,96.7,92.9,94.6,1321016,348560
2021-09-16,TWL,94.6,94.95,92.55,93.05,546395,233311
2021-09-17,TWL,93.5,94.45,90.0,92.3,848800,393163
2021-09-20,TWL,91.7,92.5,89.2,89.55,542065,251569
2021-09-21,TWL,90.0,92.45,87.2,91.35,614136,201672
2021-09-22,TWL,92.3,94.3,90.85,92.2,551864,223282
2021-09-23,TWL,92.95,96.4,92.0,95.0,1342696,646672
2021-09-24,TWL,96.05,99.15,92.7,93.6,1447912,641032
2021-09-27,TWL,93.95,96.7,93.3,95.1,576770,251115
2021-09-28,TWL,95.0,96.9,93.2,94.6,551618,233998
2021-09-29,TWL,95.0,96.3,94.0,94.65,495054,212946
2021-09-30,TWL,95.0,98.9,94.8,97.4,1352660,583613
2021-10-01,TWL,97.3,109.8,96.0,108.25,6928391,2111702
2021-10-04,TWL,109.25,109.4,105.5,106.15,1825612,755552
2021-10-05,TWL,106.15,107.1,103.25,104.2,1093398,452506
2021-10-06,TWL,104.9,106.55,98.15,99.2,1813682,630360
2021-10-07,TWL,99.95,104.4,99.9,103.05,1184416,406519
2021-10-08,TWL,103.65,103.95,100.3,101.1,681913,273117
2021-10-11,TWL,100.3,102.75,98.1,98.85,578932,305608
2021-10-12,TWL,99.0,101.7,98.05,99.3,725290,328897
2021-10-13,TWL,100.05,102.5,98.1,101.4,970593,368288
2021-10-14,TWL,102.0,102.9,100.5,101.1,495954,242348
2021-10-18,TWL,101.65,102.5,98.0,98.5,997954,585326
2021-10-19,TWL,98.9,106.95,97.5,101.3,3038736,836245
2021-10-20,TWL,101.4,101.8,96.8,97.55,1067549,472934
2021-10-21,TWL,98.0,99.0,96.5,97.45,392020,155547
2021-10-22,TWL,98.4,102.2,97.0,100.6,2001372,580499
2021-10-25,TWL,101.7,102.0,98.15,99.4,895372,465731
2021-10-26,TWL,99.8,101.45,98.0,99.3,464679,193530
2021-10-27,TWL,100.15,103.3,99.35,99.5,642379,240532
2021-10-28,TWL,99.0,99.85,97.1,97.75,384955,209511
2021-10-29,TWL,97.45,97.45,92.6,94.25,646883,274291
2021-11-01,TWL,93.05,95.55,92.7,94.25,428464,173684
2021-11-02,TWL,94.95,95.9,93.05,93.3,408251,201453
2021-11-03,TWL,93.75,96.3,93.65,94.1,383465,143485
2021-11-04,TWL,94.1,95.3,94.1,95.05,129879,80316
2021-11-08,TWL,95.65,95.65,93.45,94.05,348438,159812
2021-11-09,TWL,94.0,96.45,94.0,94.65,465485,191770
2021-11-10,TWL,94.75,96.15,94.05,94.9,244658,107159
2021-11-11,TWL,94.6,95.7,93.0,93.7,283486,122177
2021-11-12,TWL,94.35,94.75,92.6,92.9,206788,106475
2021-11-15,TWL,93.5,93.6,89.15,90.3,723789,252160
2021-11-16,TWL,90.75,95.6,89.4,94.75,671677,274472
2021-11-17,TWL,94.0,94.4,92.4,93.0,288909,156640
2021-11-18,TWL,93.0,95.6,92.1,93.05,361810,174506
2021-11-22,TWL,94.0,101.9,93.5,94.5,2853842,1011607
2021-11-23,TWL,93.05,97.5,93.05,96.45,600038,225091
2021-11-24,TWL,97.2,99.7,96.5,98.65,851067,416059
2021-11-25,TWL,98.0,98.9,95.95,97.15,339307,171191
2021-11-26,TWL,96.0,98.1,93.65,94.5,470665,206036
2021-11-29,TWL,93.0,93.5,88.0,89.1,513522,241793
2021-11-30,TWL,88.1,91.5,85.25,86.25,450760,214471
2021-12-01,TWL,86.25,88.35,86.25,86.8,268818,97079
2021-12-02,TWL,87.1,90.5,87.1,89.35,304497,114404
2021-12-03,TWL,89.8,91.2,88.6,89.15,249134,120212
2021-12-06,TWL,88.1,89.85,86.1,87.25,165730,69644
2021-12-07,TWL,88.45,92.55,88.0,90.8,335144,176186
2021-12-08,TWL,92.1,94.6,91.5,93.7,484836,230150
2021-12-09,TWL,94.65,94.65,91.05,91.35,332455,195283
2021-12-10,TWL,91.9,92.9,90.75,91.15,208898,91986
2021-12-13,TWL,91.9,92.6,90.1,90.45,391343,168276
2021-12-14,TWL,90.1,92.85,89.0,89.65,525037,217118
2021-12-15,TWL,89.95,90.3,88.85,89.15,237430,112119
2021-12-16,TWL,90.2,90.55,86.9,88.2,346852,184215
2021-12-17,TWL,87.7,89.5,85.35,88.95,455568,282637
2021-12-20,TWL,87.6,88.05,85.1,86.6,317946,196545
2021-12-21,TWL,88.6,89.1,86.2,87.95,213090,114866
2021-12-22,TWL,88.25,91.55,88.0,90.15,644944,375154
2021-12-23,TWL,91.2,92.35,90.2,91.35,323122,149259
2021-12-24,TWL,90.5,91.5,86.2,88.1,605363,277678
2021-12-27,TWL,87.1,90.15,87.1,89.55,749947,465287
2021-12-28,TWL,90.65,90.9,89.5,90.1,421393,270635
2021-12-29,TWL,90.4,93.9,90.15,92.8,1311167,744895
2021-12-30,TWL,92.9,94.1,92.5,93.55,618703,424323
2021-12-31,TWL,93.55,95.0,92.4,92.85,800761,461548
2022-01-03,TWL,94.3,98.45,94.3,95.4,906262,400721
2022-01-04,TWL,96.45,97.9,94.3,94.65,386024,166078
2022-01-05,TWL,94.95,98.65,94.5,96.35,967724,341810
2022-01-06,TWL,96.1,98.5,95.65,96.2,1535235,1284655
2022-01-07,TWL,96.45,99.5,96.3,97.05,739210,278109
2022-01-10,TWL,97.8,103.5,97.75,102.4,2719835,1533394
2022-01-11,TWL,103.0,122.85,100.6,117.65,11571673,3505084
