Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,UMESLTD,4.05,4.05,3.5,3.5,48321,34308
2021-08-24,UMESLTD,3.65,3.75,3.3,3.4,32558,23102
2021-08-25,UMESLTD,3.3,3.55,3.2,3.35,25466,17480
2021-08-26,UMESLTD,3.3,3.65,3.3,3.4,36900,19852
2021-08-27,UMESLTD,3.55,3.55,3.3,3.55,5950,5440
2021-08-30,UMESLTD,3.55,3.85,3.5,3.6,40625,20513
2021-08-31,UMESLTD,3.55,3.8,3.5,3.6,16860,11732
2021-09-01,UMESLTD,3.7,3.75,3.3,3.45,43206,22724
2021-09-02,UMESLTD,3.65,3.65,3.45,3.45,30147,16206
2021-09-03,UMESLTD,3.6,3.75,3.35,3.55,52844,37756
2021-09-06,UMESLTD,3.75,3.9,3.4,3.75,90615,63950
2021-09-07,UMESLTD,3.9,4.1,3.6,4.05,161349,99432
2021-09-08,UMESLTD,4.35,4.4,4.05,4.1,75317,45611
2021-09-09,UMESLTD,4.2,4.5,4.1,4.45,165040,116378
2021-09-13,UMESLTD,4.55,4.6,4.25,4.3,84044,54192
2021-09-14,UMESLTD,4.5,4.5,4.15,4.25,19666,14668
2021-09-15,UMESLTD,4.25,4.3,4.05,4.05,79756,58817
2021-09-16,UMESLTD,4.15,4.25,3.85,4.25,154940,125604
2021-09-17,UMESLTD,4.45,4.45,4.1,4.3,188337,138075
2021-09-20,UMESLTD,4.4,4.4,4.1,4.1,58979,41583
2021-09-21,UMESLTD,4.0,4.2,3.9,4.0,44233,23285
2021-09-22,UMESLTD,4.15,4.15,3.8,3.9,74800,59444
2021-09-23,UMESLTD,3.85,4.05,3.85,3.85,151166,100238
2021-09-24,UMESLTD,4.0,4.0,3.75,3.85,112434,97521
2021-09-27,UMESLTD,3.95,4.0,3.75,3.85,115857,87300
2021-09-28,UMESLTD,3.75,3.9,3.75,3.8,111761,90438
2021-09-29,UMESLTD,3.9,3.95,3.7,3.95,107254,82375
2021-09-30,UMESLTD,4.05,4.1,3.95,4.0,48881,32176
2021-10-01,UMESLTD,4.1,4.1,3.9,3.95,26745,19929
2021-10-04,UMESLTD,4.05,4.05,3.9,3.95,33724,24890
2021-10-05,UMESLTD,4.05,4.05,3.8,3.95,30156,23327
2021-10-06,UMESLTD,4.0,4.0,3.85,3.9,21761,16146
2021-10-07,UMESLTD,4.05,4.05,3.8,3.9,61841,50195
2021-10-08,UMESLTD,3.85,4.2,3.85,4.0,81341,64694
2021-10-11,UMESLTD,4.25,4.25,4.0,4.05,74230,59932
2021-10-12,UMESLTD,4.15,4.15,4.0,4.0,42612,35771
2021-10-13,UMESLTD,4.25,4.25,3.9,3.95,85410,65354
2021-10-14,UMESLTD,3.95,4.25,3.9,4.0,107283,74321
2021-10-18,UMESLTD,4.2,4.2,3.65,3.95,88313,64413
2021-10-19,UMESLTD,3.95,4.05,3.9,3.9,27901,23971
2021-10-20,UMESLTD,4.0,4.0,3.75,3.8,50101,33866
2021-10-21,UMESLTD,3.8,3.85,3.8,3.85,9678,6787
2021-10-22,UMESLTD,3.95,3.95,3.8,3.9,13759,9283
2021-10-25,UMESLTD,3.55,4.25,3.55,4.1,227954,162760
2021-10-26,UMESLTD,4.2,4.5,4.0,4.5,229660,166188
2021-10-27,UMESLTD,4.95,4.95,4.9,4.95,78463,66279
2021-10-28,UMESLTD,5.15,5.15,5.15,5.15,48212,48207
2021-10-29,UMESLTD,5.4,5.4,4.9,4.9,325330,223397
2021-11-01,UMESLTD,4.7,4.7,4.7,4.7,44373,44373
2021-11-02,UMESLTD,4.5,4.7,4.5,4.65,119972,104151
2021-11-03,UMESLTD,4.85,4.85,4.45,4.45,88004,69975
2022-03-16,UMESLTD,2.75,2.75,2.75,2.75,28822,28822
2022-03-17,UMESLTD,2.85,2.85,2.85,2.85,3092,3092
2022-03-21,UMESLTD,2.95,2.95,2.95,2.95,5630,5630
2022-03-22,UMESLTD,3.05,3.05,3.05,3.05,3829,3829
2022-03-23,UMESLTD,3.2,3.2,3.2,3.2,5210,5210
2022-03-24,UMESLTD,3.35,3.35,3.35,3.35,8948,8948
2022-03-25,UMESLTD,3.5,3.5,3.5,3.5,2973,2973
2022-03-28,UMESLTD,3.65,3.65,3.65,3.65,2258,2258
2022-03-29,UMESLTD,3.8,3.8,3.8,3.8,15281,13767
2022-03-30,UMESLTD,3.95,3.95,3.95,3.95,11248,11246
2022-03-31,UMESLTD,4.1,4.1,4.1,4.1,1966,1966
2022-04-01,UMESLTD,4.3,4.3,4.3,4.3,5121,5121
2022-04-04,UMESLTD,4.5,4.5,4.5,4.5,4108,4108
2022-04-05,UMESLTD,4.7,4.7,4.7,4.7,5730,5730
2022-04-06,UMESLTD,4.9,4.9,4.9,4.9,9636,9636
2022-07-11,UMESLTD,3.35,3.35,3.35,3.35,1621,1621
2022-07-12,UMESLTD,3.5,3.5,3.5,3.5,19080,19080
2022-07-13,UMESLTD,3.65,3.65,3.65,3.65,986,986
2022-07-14,UMESLTD,3.8,3.8,3.8,3.8,1424,1424
2022-07-15,UMESLTD,3.95,3.95,3.95,3.95,701,701
2022-07-18,UMESLTD,4.1,4.1,4.1,4.1,10890,10890
2022-07-19,UMESLTD,4.3,4.3,4.3,4.3,4782,4782
2022-07-20,UMESLTD,4.5,4.5,4.5,4.5,1170,1170
2022-07-21,UMESLTD,4.7,4.7,4.35,4.7,191616,140918
2022-07-22,UMESLTD,4.75,4.9,4.5,4.9,123898,78547
2022-07-25,UMESLTD,5.1,5.1,5.1,5.1,13090,13090
2022-07-26,UMESLTD,5.35,5.35,5.25,5.35,91196,73663
2022-07-27,UMESLTD,5.55,5.6,5.55,5.6,36999,36887
2022-09-13,UMESLTD,5.05,5.05,4.65,4.65,91869,70313
2022-09-14,UMESLTD,4.85,4.85,4.5,4.55,40930,39195
2022-09-15,UMESLTD,4.55,4.75,4.35,4.4,46820,38598
2022-09-16,UMESLTD,4.4,4.6,4.25,4.25,59519,48965
2022-09-19,UMESLTD,4.45,4.45,4.2,4.35,50367,49403
2022-09-20,UMESLTD,4.35,4.55,4.3,4.4,40958,40312
2022-09-21,UMESLTD,4.5,4.6,4.3,4.3,17829,15010
2022-09-22,UMESLTD,4.5,4.5,4.2,4.25,39774,38903
2022-09-23,UMESLTD,4.2,4.3,4.15,4.3,13397,11795
2022-09-26,UMESLTD,4.5,4.5,4.1,4.2,11930,9937
2022-09-27,UMESLTD,4.0,4.4,4.0,4.3,16453,12160
2022-09-28,UMESLTD,4.15,4.4,4.15,4.25,10152,8829
2022-09-29,UMESLTD,4.1,4.45,4.1,4.25,5472,4401
2022-09-30,UMESLTD,4.25,4.45,4.15,4.25,22550,20241
2022-10-03,UMESLTD,4.3,4.45,4.2,4.3,2446,2362
2022-10-04,UMESLTD,4.2,4.5,4.2,4.25,19954,11320
2022-10-06,UMESLTD,4.2,4.35,4.2,4.25,6007,4440
2022-10-07,UMESLTD,4.35,4.35,4.15,4.35,6786,5484
2022-10-10,UMESLTD,4.5,4.5,4.15,4.2,32759,19535
2022-10-11,UMESLTD,4.4,4.5,3.85,4.25,26308,8197
2022-10-12,UMESLTD,4.6,4.6,3.95,4.1,14939,10624
2022-10-13,UMESLTD,4.45,4.45,4.05,4.05,12449,6385
2022-10-14,UMESLTD,4.05,4.45,4.05,4.2,35967,13703
2022-10-17,UMESLTD,4.45,4.45,4.05,4.15,13774,8606
2022-10-18,UMESLTD,4.25,4.3,4.1,4.2,35989,31311
2022-10-19,UMESLTD,4.2,4.3,4.1,4.3,10543,7662
2022-10-20,UMESLTD,4.6,4.6,4.05,4.15,24183,19180
2022-10-21,UMESLTD,4.45,4.45,3.95,4.05,37758,26988
2022-10-24,UMESLTD,4.45,4.45,3.75,4.0,23196,14200
2022-10-25,UMESLTD,4.3,4.35,3.6,4.15,85040,25687
2022-10-27,UMESLTD,4.0,4.3,4.0,4.15,18358,12502
2022-10-28,UMESLTD,4.15,4.45,4.1,4.15,7782,2879
2022-10-31,UMESLTD,4.25,4.35,4.05,4.25,29183,21937
2022-11-01,UMESLTD,4.55,4.55,4.1,4.25,74011,53871
2022-11-02,UMESLTD,4.45,4.45,4.15,4.3,31870,26087
2022-11-03,UMESLTD,4.45,4.45,4.2,4.35,13236,8959
2022-11-04,UMESLTD,4.1,4.5,4.1,4.3,10946,9133
2022-11-07,UMESLTD,4.4,4.4,4.25,4.35,30546,28790
2022-11-09,UMESLTD,4.4,4.4,4.15,4.35,35286,24576
2022-11-10,UMESLTD,4.45,4.45,4.2,4.3,17892,17078
2022-11-11,UMESLTD,4.4,4.4,4.3,4.35,21844,18628
2022-11-14,UMESLTD,4.35,4.45,4.25,4.35,15244,11122
2022-11-15,UMESLTD,4.45,4.45,4.25,4.3,39010,23178
2022-11-16,UMESLTD,4.3,4.3,4.15,4.2,26477,22596
2022-11-17,UMESLTD,4.45,4.45,4.15,4.15,11345,7605
2022-11-18,UMESLTD,4.15,4.4,4.05,4.2,14483,4483
2022-11-21,UMESLTD,4.2,4.2,4.05,4.1,16319,13133
2022-11-22,UMESLTD,4.1,4.25,3.7,3.9,841603,769536
2022-11-23,UMESLTD,4.15,4.25,3.95,4.25,151066,117882
2022-11-24,UMESLTD,4.4,4.65,4.25,4.65,149663,127881
2022-11-25,UMESLTD,4.95,5.1,4.85,5.1,110709,99014
2022-11-28,UMESLTD,5.45,5.6,5.2,5.6,190477,153392
2022-11-29,UMESLTD,5.8,5.85,5.8,5.85,68400,61294
2022-11-30,UMESLTD,6.1,6.1,5.6,5.6,191080,172703
2022-12-01,UMESLTD,5.35,5.35,5.35,5.35,37440,37431
2022-12-02,UMESLTD,5.1,5.55,5.1,5.1,91857,61504
2022-12-05,UMESLTD,5.1,5.25,4.85,5.1,81216,48533
2022-12-06,UMESLTD,5.1,5.3,5.0,5.15,62923,43682
2022-12-07,UMESLTD,5.35,5.35,5.1,5.2,13048,10034
2022-12-08,UMESLTD,5.35,5.35,5.1,5.1,13278,9294
2022-12-09,UMESLTD,5.25,5.25,4.95,5.05,29057,19455
2022-12-12,UMESLTD,4.95,5.25,4.9,4.9,29753,20938
2022-12-13,UMESLTD,5.05,5.1,4.85,5.1,16144,13393
2022-12-14,UMESLTD,5.2,5.25,5.0,5.05,18595,11878
2022-12-15,UMESLTD,5.0,5.15,4.95,5.05,19345,13805
2022-12-16,UMESLTD,4.95,5.05,4.9,4.9,23592,18323
2022-12-19,UMESLTD,4.95,5.1,4.9,5.1,16850,13989
2022-12-20,UMESLTD,5.1,5.25,5.0,5.15,28507,21255
2022-12-21,UMESLTD,5.3,5.3,4.9,4.9,29711,24802
2022-12-22,UMESLTD,4.85,5.0,4.7,4.8,13572,11821
2022-12-23,UMESLTD,4.65,4.65,4.6,4.6,8419,8419
2022-12-26,UMESLTD,4.4,4.8,4.4,4.7,21295,18345
2022-12-27,UMESLTD,4.85,4.9,4.65,4.8,17591,13056
2022-12-28,UMESLTD,4.65,5.0,4.65,4.75,21439,13116
2022-12-29,UMESLTD,4.65,4.85,4.65,4.7,7468,6787
2022-12-30,UMESLTD,4.6,4.8,4.6,4.7,9609,8094
2023-01-02,UMESLTD,4.8,4.9,4.55,4.8,24711,15712
2023-01-03,UMESLTD,4.9,4.9,4.7,4.75,16633,7146
2023-01-04,UMESLTD,4.75,4.85,4.7,4.75,10186,8296
