Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,UNIVASTU,31.8,32.8,31.5,32.35,34921,33636
2020-08-27,UNIVASTU,33.35,33.7,32.0,32.45,207453,203839
2020-08-28,UNIVASTU,34.75,34.75,32.8,32.95,67939,64452
2020-08-31,UNIVASTU,33.95,33.95,26.55,29.35,8694,6378
2020-09-01,UNIVASTU,29.6,35.2,29.35,34.05,246639,222985
2020-09-02,UNIVASTU,35.7,38.5,35.0,36.15,385734,288832
2020-09-03,UNIVASTU,35.8,35.8,33.25,34.0,21650,15117
2020-09-04,UNIVASTU,35.45,35.45,32.55,33.1,11324,5334
2020-09-07,UNIVASTU,33.1,34.1,32.6,32.8,21084,19605
2020-09-08,UNIVASTU,33.95,33.95,26.5,31.75,22667,12232
2020-09-09,UNIVASTU,31.3,31.65,28.35,30.95,6544,4429
2020-09-10,UNIVASTU,30.95,32.5,30.2,30.6,6010,4133
2020-09-11,UNIVASTU,31.6,31.95,30.05,31.25,23032,21504
2020-09-14,UNIVASTU,31.3,32.05,29.25,30.85,5955,3347
2020-09-15,UNIVASTU,30.9,33.0,30.85,32.4,10063,8929
2020-09-16,UNIVASTU,33.0,34.0,31.3,32.5,7960,4145
2020-09-17,UNIVASTU,32.55,32.55,31.55,32.25,2545,2045
2020-09-18,UNIVASTU,32.2,34.45,31.0,32.2,4916,3515
2020-09-21,UNIVASTU,32.95,32.95,29.5,30.2,5068,3803
2020-09-22,UNIVASTU,30.0,36.2,28.3,34.1,28714,17141
2020-09-23,UNIVASTU,36.2,40.9,32.0,33.75,85011,52513
2020-09-24,UNIVASTU,33.0,34.95,31.0,34.1,16264,10767
2020-09-25,UNIVASTU,34.65,34.7,31.2,31.95,52393,50946
2020-09-28,UNIVASTU,32.9,33.85,32.15,32.25,4039,1966
2020-09-29,UNIVASTU,33.35,33.4,31.5,32.15,1353,1255
2020-09-30,UNIVASTU,32.0,32.1,31.05,31.75,1814,954
2020-10-01,UNIVASTU,31.8,32.6,31.0,31.35,1173,808
2020-10-05,UNIVASTU,31.0,32.5,31.0,31.45,1362,884
