Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,UNIVCABLES,143.0,146.15,140.0,140.9,26084
2020-08-21,UNIVCABLES,144.8,146.35,141.5,143.2,20820
2020-08-24,UNIVCABLES,141.6,171.8,141.6,171.8,196585
2020-08-25,UNIVCABLES,174.0,176.0,154.8,157.85,170431
2020-08-26,UNIVCABLES,160.25,166.95,158.55,161.1,46267
2020-08-27,UNIVCABLES,162.8,163.8,157.3,158.45,28780
2020-08-28,UNIVCABLES,161.1,161.7,153.55,156.2,33082
2020-08-31,UNIVCABLES,157.0,159.7,144.55,145.35,40887
2020-09-01,UNIVCABLES,150.0,150.0,139.5,144.2,10338
2020-09-02,UNIVCABLES,149.0,151.5,143.05,149.35,7387
2020-09-03,UNIVCABLES,152.9,155.0,149.2,153.95,14152
2020-09-04,UNIVCABLES,149.0,152.25,145.65,147.8,8113
2020-09-07,UNIVCABLES,152.0,152.2,144.45,145.65,16547
2020-09-08,UNIVCABLES,143.0,148.3,140.1,141.25,9944
2020-09-09,UNIVCABLES,137.5,140.0,135.1,138.5,9428
2020-09-10,UNIVCABLES,139.9,147.9,139.9,145.65,10904
2020-09-11,UNIVCABLES,148.45,148.45,141.4,144.35,3190
2020-09-14,UNIVCABLES,146.0,149.95,143.65,146.25,8315
2020-09-15,UNIVCABLES,150.0,152.0,145.1,148.25,10824
2020-09-16,UNIVCABLES,145.05,150.55,145.05,147.25,7948
2020-09-17,UNIVCABLES,147.1,148.7,145.0,145.4,4208
2020-09-18,UNIVCABLES,145.4,146.95,143.0,143.95,5065
2020-09-21,UNIVCABLES,147.55,147.55,132.0,134.3,20937
2020-09-22,UNIVCABLES,132.6,134.35,127.05,131.9,21377
2020-09-23,UNIVCABLES,137.8,141.0,133.0,137.7,11650
2020-09-24,UNIVCABLES,135.0,135.0,127.65,128.85,13614
2020-09-25,UNIVCABLES,130.0,135.4,128.0,131.5,17114
2020-09-28,UNIVCABLES,131.0,136.0,131.0,134.25,7286
2020-09-29,UNIVCABLES,135.15,135.55,132.0,133.1,4401
2020-09-30,UNIVCABLES,132.45,134.45,130.0,130.7,6230
2020-10-01,UNIVCABLES,134.45,134.7,131.05,132.3,4340
2020-10-05,UNIVCABLES,136.0,137.0,129.9,134.75,11022
2020-10-06,UNIVCABLES,134.05,137.2,133.0,134.8,5681
2020-10-07,UNIVCABLES,134.8,138.3,128.1,136.95,25380
2020-10-08,UNIVCABLES,143.0,143.0,133.4,136.4,24706
2020-10-09,UNIVCABLES,132.7,138.8,132.7,135.95,7516
2020-10-12,UNIVCABLES,134.0,136.75,131.75,132.45,5926
2020-10-13,UNIVCABLES,132.55,134.85,132.2,134.1,6534
2020-10-14,UNIVCABLES,135.2,135.5,131.8,132.45,8638
2020-10-15,UNIVCABLES,132.45,134.65,130.95,131.95,10879
2020-10-16,UNIVCABLES,134.0,134.0,131.15,132.85,5881
2020-10-19,UNIVCABLES,133.95,135.65,132.5,133.65,12526
2020-10-20,UNIVCABLES,132.95,143.7,130.65,138.1,20051
2020-10-21,UNIVCABLES,139.0,141.75,136.55,138.65,12688
2020-10-22,UNIVCABLES,139.95,143.0,135.25,137.3,6701
2020-10-23,UNIVCABLES,139.9,141.1,134.25,135.7,16664
2020-10-26,UNIVCABLES,136.0,137.3,133.85,135.25,5343
2020-10-27,UNIVCABLES,135.7,136.2,134.05,135.2,4655
2020-10-28,UNIVCABLES,139.25,139.25,131.9,133.15,13932
2020-10-29,UNIVCABLES,133.55,133.75,131.0,131.3,4746
2020-10-30,UNIVCABLES,133.05,133.95,131.0,131.5,2354
2020-11-02,UNIVCABLES,132.0,132.7,130.25,130.95,2364
2020-11-03,UNIVCABLES,130.95,133.1,129.5,130.1,2558
2020-11-04,UNIVCABLES,131.15,131.15,127.55,128.5,3044
2020-11-05,UNIVCABLES,129.15,136.55,129.15,133.15,8946
2020-11-06,UNIVCABLES,133.25,134.55,131.55,132.0,10258
2020-11-09,UNIVCABLES,134.0,135.75,132.5,134.0,6334
2020-11-10,UNIVCABLES,132.1,132.25,127.85,128.45,26642
2020-11-11,UNIVCABLES,132.9,132.9,126.0,128.5,7826
2020-11-12,UNIVCABLES,130.5,132.95,127.1,129.4,4323
2020-11-13,UNIVCABLES,128.6,132.25,128.6,129.25,7014
2020-11-14,UNIVCABLES,129.25,133.5,127.0,129.55,3558
2020-11-17,UNIVCABLES,133.0,133.0,128.55,130.45,8861
2020-11-18,UNIVCABLES,130.45,139.0,128.0,132.7,23105
2020-11-19,UNIVCABLES,134.55,135.0,131.0,131.25,9992
2020-11-20,UNIVCABLES,135.0,135.0,131.95,132.85,11968
2020-11-23,UNIVCABLES,137.0,139.0,135.2,137.75,24237
2020-11-24,UNIVCABLES,142.0,142.4,135.6,139.8,36661
2020-11-25,UNIVCABLES,141.7,148.0,135.5,141.9,41826
2020-11-26,UNIVCABLES,142.0,144.9,138.0,142.1,10296
2020-11-27,UNIVCABLES,142.1,144.0,140.0,141.2,11426
2020-12-01,UNIVCABLES,143.8,145.65,140.1,144.05,27620
2020-12-02,UNIVCABLES,145.3,148.8,142.25,143.3,16460
2020-12-03,UNIVCABLES,144.6,148.5,138.8,143.85,20584
2020-12-04,UNIVCABLES,145.4,147.85,141.0,144.9,32821
2020-12-07,UNIVCABLES,145.3,148.65,142.6,144.05,15490
2020-12-08,UNIVCABLES,145.8,147.75,139.15,140.3,39536
2020-12-09,UNIVCABLES,141.05,148.45,141.05,144.75,53920
2020-12-10,UNIVCABLES,143.95,152.6,140.05,149.85,53162
2020-12-11,UNIVCABLES,151.0,155.3,148.5,150.2,72701
2020-12-14,UNIVCABLES,151.65,153.0,145.55,146.45,26962
2020-12-15,UNIVCABLES,147.7,148.3,145.1,146.05,14985
2020-12-16,UNIVCABLES,147.5,148.5,144.6,146.3,15834
2020-12-17,UNIVCABLES,147.4,147.75,141.75,142.3,20369
2020-12-18,UNIVCABLES,145.65,146.0,139.5,144.4,13508
2020-12-21,UNIVCABLES,143.1,145.0,131.4,134.95,19681
2020-12-22,UNIVCABLES,133.0,136.8,125.25,133.5,15764
2020-12-23,UNIVCABLES,137.0,139.8,133.25,138.1,7399
2020-12-24,UNIVCABLES,140.0,142.75,136.0,137.9,8854
2020-12-28,UNIVCABLES,141.0,141.85,130.0,137.7,15430
2020-12-29,UNIVCABLES,142.0,142.15,136.15,139.45,12924
2020-12-30,UNIVCABLES,141.95,141.95,136.65,138.75,10768
2020-12-31,UNIVCABLES,142.0,156.35,138.05,147.85,114183
2021-01-01,UNIVCABLES,148.0,153.8,145.25,147.25,37121
2021-01-04,UNIVCABLES,149.15,152.4,144.6,148.3,33889
2021-01-05,UNIVCABLES,147.0,158.4,144.2,154.15,105069
2021-01-06,UNIVCABLES,154.85,165.3,150.7,158.3,164188
2021-01-07,UNIVCABLES,161.15,164.3,158.0,159.05,58293
2021-01-08,UNIVCABLES,160.65,162.0,153.1,155.25,33551
2021-01-11,UNIVCABLES,156.8,158.95,150.15,152.35,21207
2021-01-12,UNIVCABLES,157.2,157.2,149.2,150.5,28587
2021-01-13,UNIVCABLES,152.65,152.8,147.45,148.9,16995
2021-01-14,UNIVCABLES,149.05,149.8,141.6,143.2,51537
2021-01-15,UNIVCABLES,144.15,146.05,137.4,138.1,75581
2021-01-18,UNIVCABLES,138.0,139.95,129.65,132.5,37670
2021-01-19,UNIVCABLES,136.4,142.7,133.6,140.1,27268
2021-01-20,UNIVCABLES,141.6,142.5,137.3,138.75,16124
2021-01-21,UNIVCABLES,140.7,141.3,135.0,136.05,24923
2021-01-22,UNIVCABLES,137.85,138.9,132.0,133.85,19865
2021-01-25,UNIVCABLES,137.4,138.5,132.0,133.8,8291
2021-01-27,UNIVCABLES,138.2,138.2,129.5,130.55,16634
2021-01-28,UNIVCABLES,133.2,135.0,130.55,132.5,9615
2021-01-29,UNIVCABLES,134.0,134.95,131.05,132.85,9535
2021-02-01,UNIVCABLES,133.95,136.35,133.0,133.4,22829
2021-02-02,UNIVCABLES,135.0,138.85,135.0,138.55,19345
2021-02-03,UNIVCABLES,139.65,142.9,137.5,139.95,21788
2021-02-04,UNIVCABLES,141.9,142.75,139.0,139.6,13554
2021-02-05,UNIVCABLES,140.55,141.75,137.8,138.6,28897
2021-02-08,UNIVCABLES,139.9,139.9,135.15,135.6,26116
2021-02-09,UNIVCABLES,135.25,138.0,135.0,135.45,9610
2021-02-10,UNIVCABLES,136.5,139.8,135.0,138.6,10491
2021-02-11,UNIVCABLES,139.4,140.95,136.0,138.2,13906
2021-02-12,UNIVCABLES,139.45,140.5,137.55,138.65,17203
2021-02-15,UNIVCABLES,138.9,139.45,134.6,135.1,19020
2021-02-16,UNIVCABLES,136.85,136.85,132.8,133.45,20443
2021-02-17,UNIVCABLES,136.75,142.45,132.35,140.1,36215
2021-02-18,UNIVCABLES,141.0,148.35,140.0,142.4,72905
2021-02-19,UNIVCABLES,143.4,147.9,141.05,143.1,44357
2021-02-22,UNIVCABLES,143.05,149.0,139.05,142.45,41081
2021-02-23,UNIVCABLES,142.65,143.95,136.85,138.15,33130
2021-02-24,UNIVCABLES,141.4,143.0,138.0,138.8,13537
2021-02-25,UNIVCABLES,141.85,141.85,138.05,138.4,15401
2021-02-26,UNIVCABLES,141.0,141.9,134.8,136.0,16834
2021-03-01,UNIVCABLES,139.75,140.0,135.55,136.35,8912
2021-03-02,UNIVCABLES,136.5,138.45,134.9,137.35,43456
2021-03-03,UNIVCABLES,139.6,141.15,133.5,140.35,36623
2021-03-04,UNIVCABLES,141.65,142.15,137.05,139.85,38456
2021-03-05,UNIVCABLES,140.95,141.0,135.5,136.9,35342
2021-03-08,UNIVCABLES,139.0,164.25,136.9,159.65,367302
2021-03-09,UNIVCABLES,160.7,162.8,143.4,148.45,153232
2021-03-10,UNIVCABLES,149.0,151.45,144.1,145.05,36368
2021-03-12,UNIVCABLES,148.0,153.8,145.6,146.8,60456
2021-03-15,UNIVCABLES,148.2,152.4,144.4,147.55,45109
2021-03-16,UNIVCABLES,149.55,152.5,145.0,146.6,37002
2021-03-17,UNIVCABLES,145.25,149.8,143.65,145.85,44506
2021-03-18,UNIVCABLES,147.0,148.45,140.4,141.55,45650
2021-03-19,UNIVCABLES,143.2,143.2,137.15,140.35,22938
2021-03-22,UNIVCABLES,142.85,149.55,140.0,144.15,28850
2021-03-23,UNIVCABLES,146.5,148.0,144.35,146.95,22143
2021-03-24,UNIVCABLES,148.0,148.0,141.2,142.2,8583
2021-03-25,UNIVCABLES,142.0,142.0,137.0,138.8,51742
2021-03-26,UNIVCABLES,137.05,140.6,137.05,138.5,23860
2021-03-30,UNIVCABLES,139.0,142.5,135.0,138.1,12140
2021-03-31,UNIVCABLES,137.9,141.4,135.85,136.4,23785
2021-04-01,UNIVCABLES,137.0,141.0,137.0,139.0,11662
2021-04-05,UNIVCABLES,142.0,142.0,134.55,136.1,12738
2021-04-06,UNIVCABLES,137.45,140.0,136.1,137.9,6114
2021-04-07,UNIVCABLES,136.05,141.35,136.05,139.05,13172
2021-04-08,UNIVCABLES,141.35,145.0,139.0,143.6,22162
2021-04-09,UNIVCABLES,145.6,146.9,138.7,141.35,7766
2021-04-12,UNIVCABLES,144.8,144.8,135.4,136.2,26396
2021-04-13,UNIVCABLES,135.5,140.0,135.5,137.7,3149
2021-04-15,UNIVCABLES,139.95,139.95,135.0,137.0,9260
2021-04-16,UNIVCABLES,137.55,137.6,136.0,137.0,4799
2021-04-19,UNIVCABLES,136.75,136.75,128.65,134.45,7108
2021-04-20,UNIVCABLES,131.55,135.2,131.05,131.45,26050
2021-04-22,UNIVCABLES,133.05,134.75,132.05,134.15,22962
2021-04-23,UNIVCABLES,135.9,139.9,132.1,136.65,16057
2021-04-26,UNIVCABLES,135.05,138.95,134.1,136.05,6876
2021-04-27,UNIVCABLES,136.1,139.5,136.05,137.1,23280
2021-04-28,UNIVCABLES,137.05,143.6,137.05,141.2,33203
2021-04-29,UNIVCABLES,141.95,143.0,140.6,141.9,14106
2021-04-30,UNIVCABLES,140.45,145.1,139.0,144.05,31681
2021-05-03,UNIVCABLES,144.0,152.35,141.05,149.95,69234
2021-05-04,UNIVCABLES,151.0,154.35,145.9,147.7,53380
2021-05-05,UNIVCABLES,149.0,154.7,147.0,153.45,61267
2021-05-06,UNIVCABLES,151.3,167.5,149.65,165.5,301418
2021-05-07,UNIVCABLES,167.5,168.75,157.0,157.95,90374
2021-05-10,UNIVCABLES,159.2,162.7,155.0,156.25,51178
2021-05-11,UNIVCABLES,156.0,158.2,148.8,151.5,42044
2021-05-12,UNIVCABLES,153.0,156.3,150.5,151.35,22968
2021-05-14,UNIVCABLES,154.5,155.45,145.0,147.35,31934
2021-05-17,UNIVCABLES,149.95,159.4,147.3,154.3,49721
2021-05-18,UNIVCABLES,157.4,166.5,154.3,159.8,125045
2021-05-19,UNIVCABLES,160.8,179.3,159.0,175.95,395708
2021-05-20,UNIVCABLES,174.95,183.8,168.6,176.6,262336
2021-05-21,UNIVCABLES,178.9,189.0,175.6,182.85,296250
2021-05-24,UNIVCABLES,187.55,193.4,186.0,187.55,243630
2021-05-25,UNIVCABLES,187.55,189.2,181.1,182.2,71922
2021-05-26,UNIVCABLES,183.0,195.5,182.5,184.35,131194
2021-05-27,UNIVCABLES,187.0,188.7,176.1,178.35,53300
2021-05-28,UNIVCABLES,180.7,199.3,178.45,191.5,261844
2021-05-31,UNIVCABLES,196.0,217.7,195.0,211.5,456391
2021-06-01,UNIVCABLES,213.4,213.8,198.0,200.35,138217
2021-06-02,UNIVCABLES,201.0,203.4,195.95,198.45,62958
2021-06-03,UNIVCABLES,199.95,205.4,198.0,198.75,45405
2021-06-04,UNIVCABLES,206.95,206.95,199.15,199.9,57612
2021-06-07,UNIVCABLES,200.8,202.7,194.05,195.65,64235
2021-06-08,UNIVCABLES,196.5,203.0,192.3,199.15,68390
2021-06-09,UNIVCABLES,200.75,201.7,186.5,190.15,62180
