Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,25.45,32.4,25.2,28.8,7675477,5214929,67.94273502480694
2020-09-06,28.8,29.75,25.5,27.6,4041582,3251879,80.46054737971417
2020-09-13,27.1,28.5,25.55,26.9,5177403,4654670,89.90356748354338
2020-09-20,27.1,28.5,24.9,25.3,3513493,2919825,83.10319673327939
2020-09-27,25.5,25.6,23.05,25.0,1876773,1387028,73.90494215336645
2020-10-04,25.7,26.7,24.5,24.95,3606457,3035666,84.17308178081701
2020-10-11,24.85,25.7,21.4,22.4,3681336,2679728,72.79226889368425
2020-10-18,22.5,22.9,20.4,21.45,1690645,896834,53.04685489857421
2020-10-25,21.5,22.4,21.35,22.2,1062137,650330,61.22844793091663
2020-11-01,22.4,22.7,20.45,21.35,1220042,975124,79.92544518959184
2020-11-08,21.75,22.7,19.75,22.3,1090554,737907,67.66349946907718
2020-11-15,22.7,26.85,22.3,26.05,2433800,1542458,63.37653052839182
2020-11-22,26.05,27.4,25.0,27.05,1848954,1265126,68.42387641877515
2020-11-29,27.0,27.5,24.85,25.1,2507134,1772105,70.68250041681058
2020-12-06,25.5,26.8,24.65,26.0,3393639,2047722,60.34000670077165
2020-12-13,25.6,26.7,25.0,25.45,5761864,3823902,66.36571081858233
2020-12-20,25.9,31.85,25.45,28.5,15922852,9346367,58.69781996340857
2020-12-27,28.45,30.85,26.2,30.2,7406735,3760596,50.772654887747436
2021-01-03,30.6,38.4,30.0,37.1,19162007,9410740,49.1114526782085
2021-01-10,37.3,38.8,34.3,35.3,10840547,5511772,50.84403951202832
2021-01-17,35.3,35.5,32.35,32.95,4778866,2736579,57.26419196520681
2021-01-24,32.1,34.15,30.8,31.3,3223522,1873170,58.10942193042269
2021-01-31,31.6,31.65,28.25,29.8,1947167,1109066,56.957929134994586
2021-02-07,29.8,34.5,29.8,33.1,4259085,2810819,65.9958418298766
2021-02-14,33.4,34.5,30.0,30.1,5067125,2971080,58.63443274045933
2021-02-21,30.35,30.9,29.35,29.6,3039483,2010436,66.14401199151303
2021-02-28,29.95,32.6,28.3,30.2,4439895,2519803,56.7536619672312
2021-03-07,30.75,35.6,29.2,35.3,17733300,7247296,40.868287346404784
2021-03-14,36.25,37.7,32.25,32.8,12917967,5200994,40.26170681501199
2021-03-21,33.25,35.15,30.4,33.95,13228786,3759428,28.418541202495827
2021-03-28,34.3,35.8,31.3,32.4,6636599,3078110,46.38083452081405
2021-04-04,32.9,38.0,32.55,36.55,8139393,3386233,41.603016342864876
2021-04-11,36.55,42.5,34.75,40.7,32427730,10307724,31.78675781499353
2021-04-18,39.1,40.7,36.45,38.8,10866341,3920651,36.08069174343047
2021-04-25,37.8,38.85,36.2,38.25,6913619,2969484,42.951224243048394
2021-05-02,38.7,49.25,38.0,48.25,41128445,12932398,31.443926460142123
2021-05-09,48.7,58.25,48.35,54.55,46917705,15618297,33.28870625705157
2021-05-16,55.1,56.0,50.0,50.8,12334552,6551211,53.112678920158594
2021-05-23,51.3,57.9,50.6,53.6,23781131,11612171,48.82934709875657
2021-05-30,53.4,53.4,49.5,49.75,10285206,5585965,54.31067690817277
2021-06-06,49.9,52.0,48.15,49.8,7427176,3945264,53.11930133337355
2021-06-13,50.35,52.1,48.6,51.45,8879305,5260892,59.24891644109533
2021-06-20,51.85,58.9,48.65,53.0,23752631,10308665,43.400097446047134
2021-06-27,52.3,57.0,51.1,55.55,8498846,4117593,48.44884823186583
2021-07-04,56.15,60.9,54.1,54.5,14818854,7275236,49.09445764159631
2021-07-11,55.1,58.9,54.5,54.8,8274257,4904252,59.27120707031459
2021-07-18,55.4,57.5,53.0,55.95,10240883,6112284,59.68512676104199
2021-07-25,55.95,69.0,55.35,68.6,30892912,13519331,43.76191859155265
2021-08-01,68.6,71.9,63.65,67.3,23660424,9424814,39.8336648574007
2021-08-08,67.8,70.35,64.35,67.1,8896126,4885376,54.91576895381203
2021-08-15,67.5,74.5,61.55,71.5,19822100,9453115,47.68977555354882
2021-08-22,71.9,75.25,65.0,65.85,9639226,4557724,47.283090986765956
2021-08-29,67.3,69.35,61.25,68.6,5360828,2828192,52.75662640174241
2021-09-05,69.0,71.9,66.65,66.95,5172230,3015047,58.29298001055637
2021-09-12,66.55,68.65,64.55,65.5,2279412,1377772,60.44418472834222
2021-09-19,66.2,72.0,65.85,71.6,9399610,5700534,60.64649490776745
2021-09-26,70.9,80.45,68.5,78.4,16495918,8183357,49.60837584182948
2021-10-03,77.9,89.4,77.5,87.45,11822716,5745672,48.59857920971797
2021-10-10,89.9,96.0,89.2,91.45,10514745,6132802,58.325732102870774
2021-10-17,91.55,93.75,88.15,90.1,3578088,2104429,58.81434442081917
2021-10-24,90.85,93.45,86.15,86.95,4123324,2388722,57.93195004806802
2021-10-31,87.65,93.45,84.6,87.95,3952749,1931279,48.85913575590051
2021-11-07,86.35,93.5,86.35,92.1,2162928,1230540,56.89232373893167
2021-11-14,93.1,102.55,92.6,95.7,6831077,3951548,57.846632383151295
2021-11-21,95.7,95.7,80.15,89.4,6857718,4081814,59.52146180405785
2021-11-28,91.4,92.0,84.0,85.1,3785025,2596322,68.59457995653926
2021-12-05,85.1,86.7,80.85,85.7,2435369,1599690,65.68573386620261
2021-12-12,87.05,93.0,84.25,90.15,3097963,1833082,59.170558202276794
2021-12-19,90.6,97.25,89.0,91.05,3912262,2101178,53.70749709503095
2021-12-26,88.0,90.5,84.35,89.7,2312123,1522169,65.83425708753384
2022-01-02,91.7,92.3,87.9,90.1,2261474,1525107,67.43862631186562
2022-01-09,90.95,97.0,90.45,93.2,3089905,1929670,62.45078732194032
