Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,358.0,363.3,314.0,322.15,2744085,1022413,37.25879482596202
2020-09-06,322.15,350.0,275.1,320.7,2216214,877969,39.615714005957905
2020-09-13,325.0,332.1,292.05,304.8,816007,323351,39.62600811022454
2020-09-20,309.5,334.15,308.1,317.95,1086416,493804,45.45257065433499
2020-09-27,318.1,330.0,271.25,304.85,1019583,510838,50.1026400008631
2020-10-04,313.3,322.5,303.0,310.35,540013,201773,37.36447085533126
2020-10-11,313.9,335.0,303.05,313.85,1261181,482431,38.25232064231859
2020-10-18,317.8,320.0,301.1,306.75,727519,285320,39.21821973034381
2020-10-25,310.1,313.25,294.25,305.7,527449,261884,49.65105631065752
2020-11-01,307.1,307.15,283.35,287.35,305639,157536,51.543160395106646
2020-11-08,289.25,298.0,277.2,285.95,399273,188973,47.329270949951535
2020-11-15,286.5,317.0,284.1,297.25,1224906,618329,50.47971027980923
2020-11-22,297.25,365.0,295.5,355.9,3781057,1687234,44.62334209719663
2020-11-29,354.0,389.0,345.1,385.6,2356584,1179114,50.03488099724007
2020-12-06,386.7,444.0,386.7,439.6,1930010,907783,47.0351448956223
2020-12-13,439.95,443.8,396.1,406.75,835574,522853,62.57411073106631
2020-12-20,409.9,415.0,375.0,377.35,617724,466899,75.58375585212814
2020-12-27,378.0,393.95,346.0,380.1,1147439,890410,77.59976783079536
2021-01-03,381.0,404.8,379.95,400.4,1323028,1068301,80.74666598137001
2021-01-10,402.9,414.95,385.05,409.7,1120405,584282,52.149178198954836
2021-01-17,416.05,424.0,397.7,419.9,1106642,527869,47.70006921841029
2021-01-24,422.95,447.7,413.45,428.8,1007995,476621,47.28406390904717
2021-01-31,429.85,434.7,406.0,420.05,483553,339763,70.263859390801
2021-02-07,420.05,461.1,414.05,446.2,621206,293827,47.299446560400256
2021-02-14,450.0,477.65,390.15,394.55,1747216,851983,48.76231673702622
2021-02-21,401.0,412.1,381.5,407.0,955046,526038,55.07986002768453
2021-02-28,407.0,418.0,391.25,403.9,461014,195083,42.316068492496974
2021-03-07,410.9,424.6,402.75,410.05,447650,221016,49.37250083770803
2021-03-14,412.45,416.8,395.0,398.05,351764,193800,55.09375604098202
2021-03-21,399.0,406.7,371.0,385.1,760556,227393,29.89825864236164
2021-03-28,391.9,417.0,365.1,381.75,1307560,610945,46.72405090397381
2021-04-04,379.2,394.4,360.0,378.3,554609,261587,47.16602146737612
2021-04-11,376.3,384.4,370.0,374.75,279086,142681,51.12438459829587
2021-04-18,371.1,371.35,337.85,350.15,829057,574383,69.28148486774734
2021-04-25,340.0,376.0,336.05,370.6,282272,149337,52.9053537013944
2021-05-02,375.0,397.75,361.55,370.85,636228,348056,54.706174516054
2021-05-09,371.0,394.3,363.25,381.1,294278,128829,43.7779922386315
2021-05-16,381.05,398.8,372.1,374.45,432508,228473,52.82515005502788
2021-05-23,377.0,425.0,372.1,419.35,1782668,872871,48.96430518750547
2021-05-30,422.0,430.0,395.05,410.45,936943,404675,43.19099454289108
2021-06-06,414.9,443.7,408.0,434.15,976923,451720,46.239058758981
2021-06-13,405.0,405.0,373.55,374.95,3801877,2245518,59.06340473403006
2021-06-20,377.8,388.0,368.0,374.15,1145157,552518,48.24823146520521
2021-06-27,372.0,379.0,366.35,371.75,372075,191121,51.366256803063905
2021-07-04,375.0,382.0,365.2,376.05,653908,371151,56.75890186387076
2021-07-11,381.0,383.1,353.05,357.25,849735,574062,67.55776801002665
2021-07-18,357.25,361.8,348.75,351.25,660732,417815,63.23516947869938
2021-07-25,351.05,355.8,339.0,341.55,433984,230243,53.05333837192154
2021-08-01,342.8,347.0,328.2,339.6,814614,537623,65.99726987260223
2021-08-08,341.0,342.55,328.0,333.5,689060,443074,64.30122195454678
2021-08-15,335.9,343.2,306.7,308.6,963382,397720,41.283727534871936
2021-08-22,311.0,311.55,272.15,274.3,806806,387580,48.038809825410326
2021-08-29,279.0,302.4,271.0,292.4,687912,260041,37.80149205130889
2021-09-05,294.9,303.05,278.0,280.7,1087140,729922,67.14149051640084
2021-09-12,284.45,287.0,270.05,273.6,1069086,638697,59.74234065360504
2021-09-19,275.8,319.8,260.0,309.25,7099078,2194904,30.918155850661172
2021-09-26,305.2,307.95,289.5,290.55,1446167,805816,55.720812326653835
2021-10-03,292.8,306.8,283.1,299.6,2778880,1873973,67.43626928834638
2021-10-10,299.5,311.65,294.15,306.8,1577762,848442,53.77503070805356
2021-10-17,308.4,310.0,298.05,306.5,1335041,755803,56.61271826108711
2021-10-24,307.1,333.5,292.5,302.25,5401055,1966749,36.41416352916236
2021-10-31,305.95,306.7,285.2,294.25,786195,346392,44.05929826569744
2021-11-07,295.0,299.75,283.8,295.0,543404,275265,50.65568159233278
2021-11-14,296.6,299.0,277.25,280.0,1710028,961887,56.249780705345174
2021-11-21,280.05,318.0,275.0,314.75,4169193,1362180,32.67251000373454
2021-11-28,317.0,317.65,290.0,295.1,1309411,588575,44.94959947640581
2021-12-05,292.0,304.0,281.0,295.65,731657,321302,43.914293172893856
2021-12-12,295.9,337.5,284.05,332.5,3613655,995110,27.537493202865242
2021-12-19,332.5,351.9,315.55,330.75,3366951,1250372,37.13662598594396
2021-12-26,327.15,328.55,295.0,311.5,1102689,387861,35.17410620764331
2022-01-02,310.0,334.8,308.5,332.35,680804,301387,44.26927573868544
2022-01-09,342.7,345.0,335.7,340.6,380169,143975,37.871315125641495
