Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,VENKEYS,1353.85,1539.9,1351.3,1470.05,1074952,155809
2020-08-27,VENKEYS,1456.5,1483.9,1417.6,1429.75,332672,82218
2020-08-28,VENKEYS,1439.0,1550.0,1432.7,1503.7,759491,123856
2020-08-31,VENKEYS,1550.0,1567.0,1428.0,1488.9,523935,133911
2020-09-01,VENKEYS,1489.0,1530.0,1464.45,1500.9,132860,28448
2020-09-02,VENKEYS,1509.0,1520.25,1465.0,1487.55,111741,27619
2020-09-03,VENKEYS,1502.0,1617.85,1502.0,1534.0,525620,80977
2020-09-04,VENKEYS,1495.0,1574.0,1480.0,1520.05,228277,38999
2020-09-07,VENKEYS,1529.95,1577.0,1515.0,1536.05,202210,36156
2020-09-08,VENKEYS,1539.7,1558.0,1493.0,1503.1,139575,36524
2020-09-09,VENKEYS,1485.0,1494.55,1445.0,1466.35,137414,40648
2020-09-10,VENKEYS,1474.9,1508.0,1444.6,1455.35,157223,43685
2020-09-11,VENKEYS,1463.1,1482.55,1417.45,1423.05,133453,44372
2020-09-14,VENKEYS,1440.0,1485.8,1432.8,1462.1,215595,44357
2020-09-15,VENKEYS,1469.8,1483.45,1444.95,1455.45,93549,21928
2020-09-16,VENKEYS,1457.0,1505.0,1452.85,1459.1,165114,29804
2020-09-17,VENKEYS,1452.9,1475.0,1442.1,1449.2,64215,15652
2020-09-18,VENKEYS,1460.0,1482.0,1438.9,1444.35,91526,21557
2020-09-21,VENKEYS,1454.0,1457.85,1367.0,1378.9,98299,31760
2020-09-22,VENKEYS,1378.0,1389.3,1271.25,1321.7,120546,26985
2020-09-23,VENKEYS,1339.8,1358.45,1302.0,1323.75,79241,13560
2020-09-24,VENKEYS,1306.4,1320.0,1285.0,1290.4,57930,13712
2020-09-25,VENKEYS,1302.0,1416.0,1301.15,1388.3,91337,21640
2020-09-28,VENKEYS,1407.7,1469.0,1391.3,1432.5,162994,25712
2020-09-29,VENKEYS,1443.95,1468.0,1407.05,1423.25,82574,17911
2020-09-30,VENKEYS,1433.4,1438.9,1405.95,1411.4,47152,10675
2020-10-01,VENKEYS,1425.0,1474.0,1420.0,1456.4,79455,26972
2020-10-05,VENKEYS,1475.0,1504.0,1471.0,1478.7,147145,37758
2020-10-06,VENKEYS,1489.7,1588.0,1466.1,1543.05,500823,86935
2020-10-07,VENKEYS,1549.0,1549.0,1481.05,1510.0,132533,33398
