Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,120.85,138.0,119.9,125.0,246579,161689,65.57289955754545
2020-09-06,127.5,134.15,118.0,134.15,575485,381735,66.33274542342545
2020-09-13,136.05,152.0,132.75,145.15,384157,244173,63.56073168001625
2020-09-20,148.9,151.0,137.65,141.9,378467,202572,53.52434954698825
2020-09-27,148.0,153.05,134.0,152.9,475604,226084,47.53618556614326
2020-10-04,153.45,155.7,150.1,153.35,221936,81033,36.51187729795977
2020-10-11,154.75,164.8,150.1,164.65,498760,186987,37.49037613280937
2020-10-18,166.0,166.75,151.0,166.4,401449,196252,48.88591078816986
2020-10-25,168.0,170.1,160.0,164.5,491269,220727,44.92996708524251
2020-11-01,165.4,176.0,158.0,174.7,909987,411436,45.2133931583638
2020-11-08,178.4,182.6,167.05,178.1,767212,220557,28.747855872952975
2020-11-15,181.95,188.9,176.55,184.7,976964,281008,28.763393533436236
2020-11-22,189.0,189.4,182.1,183.0,155241,63318,40.78690552109301
2020-11-29,184.9,192.0,181.1,182.2,354382,126299,35.639225468562174
2020-12-06,181.7,190.4,176.0,186.85,488680,216880,44.380780879102886
2020-12-13,189.9,214.3,181.1,206.45,833374,299995,35.99764331500623
2020-12-20,206.45,221.0,205.05,214.45,550852,254735,46.243818666356844
2020-12-27,215.1,222.0,190.0,211.85,504112,134876,26.755165518773605
2021-01-03,215.0,223.45,190.0,216.5,609025,112563,18.482492508517712
2021-01-10,218.5,232.0,210.35,225.35,652989,207211,31.73269381260634
2021-01-17,226.5,236.8,220.0,220.6,591993,144582,24.422923919708513
2021-01-24,226.0,244.0,216.0,228.35,678384,208737,30.769741031628108
2021-01-31,229.8,236.0,219.5,222.95,156223,57406,36.74618974158735
2021-02-07,223.9,241.85,217.45,238.7,365693,96788,26.467009212645582
2021-02-14,243.5,267.0,240.15,261.65,822647,300828,36.56829721618142
2021-02-21,266.0,281.25,259.0,269.1,1235319,492670,39.88200618625634
2021-02-28,270.0,281.95,254.95,268.55,445484,177218,39.781002235770536
2021-03-07,274.0,321.0,270.7,304.75,1712155,544351,31.793324786599342
2021-03-14,312.9,322.0,284.4,285.65,1420595,372808,26.24308828343053
2021-03-21,292.95,298.0,251.0,262.35,994878,301476,30.302810997931406
2021-03-28,269.0,282.5,240.1,251.25,1257119,301396,23.975136800891562
2021-04-04,256.0,290.0,248.7,285.5,715305,196689,27.497221464969492
2021-04-11,280.0,292.0,269.0,273.05,744400,339819,45.650053734551314
2021-04-18,270.0,277.0,252.65,258.2,528531,174701,33.05406873012179
2021-04-25,254.0,262.0,242.0,244.2,641674,164973,25.70978409597397
2021-05-02,264.0,270.0,244.5,245.3,1160509,399745,34.44566134342775
2021-05-09,249.0,260.0,240.8,242.2,916846,275515,30.050302886198992
2021-05-16,243.5,270.0,237.0,241.7,930829,262535,28.204428525540138
2021-05-23,242.7,255.0,234.75,235.75,1432775,383104,26.73860166460191
2021-05-30,239.3,247.0,225.0,225.8,1348953,480067,35.588119081984324
2021-06-06,226.0,236.85,211.1,224.05,1577178,522691,33.14090102702421
2021-06-13,224.6,227.5,201.0,206.0,1414456,460955,32.58885394809029
2021-06-20,204.5,223.7,175.45,204.75,2146470,687305,32.02024719655993
2021-06-27,204.75,215.75,188.0,197.9,1584024,398200,25.138508002404002
2021-07-04,198.0,214.0,169.7,173.15,3025386,678953,22.4418636167418
2021-07-11,171.8,172.45,156.0,164.05,2428220,643148,26.48639744339475
2021-07-18,163.9,168.0,148.65,151.95,2894584,617859,21.34534703432341
2021-07-25,153.9,158.0,146.1,148.45,1413794,345781,24.457664978066113
2021-08-01,148.5,152.9,140.55,141.3,1074700,237621,22.110449427747277
2021-08-08,142.0,156.0,132.0,142.75,2200225,571532,25.976070629140203
2021-08-15,144.0,149.0,126.55,130.85,920201,252362,27.424660481786045
2021-08-22,131.5,136.8,110.0,113.7,1297965,504066,38.835099559695365
2021-08-29,116.6,124.55,100.05,109.35,2632847,649753,24.678722310867286
2021-09-05,108.85,114.0,96.4,101.05,1423480,353759,24.851701464017758
2021-09-12,101.3,105.0,97.1,98.45,832569,294317,35.350463445071824
2021-09-19,99.45,108.95,95.25,102.4,2221084,718507,32.34938435466646
2021-09-26,102.4,104.7,96.6,100.7,675819,305135,45.15040269658
2021-10-03,101.0,102.5,96.75,99.7,421783,199844,47.38076214546342
2021-10-10,101.0,108.0,98.9,106.4,636892,307924,48.3479145600824
2021-10-17,107.3,114.8,105.05,105.35,620340,325599,52.48718444723861
2021-10-24,105.0,106.25,98.0,99.6,342172,202476,59.17374887483488
2021-10-31,101.0,101.0,90.6,91.85,254784,167299,65.66307146445617
2021-11-07,92.0,96.4,91.45,96.15,104259,57772,55.41200280071744
2021-11-14,96.9,104.8,94.2,98.05,255744,159367,62.31504942442443
2021-11-21,100.9,100.9,93.25,93.6,110830,72714,65.60858973202201
2021-11-28,93.25,95.4,84.85,85.35,269188,171960,63.88100509680966
2021-12-05,84.5,86.0,79.6,82.2,317910,190444,59.90500456103929
2021-12-12,82.8,86.0,80.8,83.7,178510,112415,62.97406307769873
2021-12-19,84.6,116.15,84.45,109.2,2132943,739391,34.66529579083923
2021-12-26,108.0,108.0,97.35,99.85,311893,190478,61.07158544757336
2022-01-02,99.5,110.8,94.4,103.35,565691,237850,42.04592259731903
2022-01-09,104.7,110.0,101.05,108.25,278718,182011,65.30292266735553
