Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,VIKASWSP,6.75,6.9,6.7,6.85,170824,125462
2020-08-27,VIKASWSP,6.85,6.95,6.6,6.7,250065,206654
2020-08-28,VIKASWSP,6.75,6.8,6.65,6.8,156284,140129
2020-08-31,VIKASWSP,6.9,6.9,6.6,6.65,366749,273589
2020-09-01,VIKASWSP,6.65,6.85,6.2,6.4,141043,91843
2020-09-02,VIKASWSP,6.4,6.55,5.95,6.25,248094,153926
2020-09-03,VIKASWSP,6.45,6.55,6.25,6.35,220832,182964
2020-09-04,VIKASWSP,6.2,6.5,6.0,6.3,125019,77967
2020-09-07,VIKASWSP,6.35,6.4,6.05,6.2,197939,141355
2020-09-08,VIKASWSP,6.3,6.5,6.0,6.2,179082,90973
2020-09-09,VIKASWSP,6.05,6.3,5.95,6.0,92832,74974
2020-09-10,VIKASWSP,6.05,6.2,5.9,6.0,122297,88495
2020-09-11,VIKASWSP,6.15,6.3,5.95,6.05,160795,69993
2020-09-14,VIKASWSP,6.2,6.2,5.9,6.0,268492,178290
2020-09-15,VIKASWSP,6.0,6.1,5.95,6.0,78033,71480
2020-09-16,VIKASWSP,5.95,6.05,5.9,5.95,45930,34566
2020-09-17,VIKASWSP,5.95,6.0,5.75,5.9,84590,63456
2020-09-18,VIKASWSP,5.9,5.9,5.35,5.4,1141131,752538
2020-09-21,VIKASWSP,4.9,4.9,4.9,4.9,375417,374717
2020-09-22,VIKASWSP,4.45,4.45,4.45,4.45,152294,152294
2020-09-23,VIKASWSP,4.25,4.25,4.25,4.25,114078,114068
2020-09-24,VIKASWSP,4.05,4.05,4.05,4.05,83895,83895
2020-09-25,VIKASWSP,3.85,3.85,3.85,3.85,170802,170782
2020-09-28,VIKASWSP,3.7,4.0,3.7,4.0,1462523,837212
2020-09-29,VIKASWSP,4.2,4.2,4.2,4.2,74668,74575
2020-09-30,VIKASWSP,4.4,4.4,4.2,4.4,694790,541428
2020-10-01,VIKASWSP,4.55,4.6,4.2,4.2,1369777,821377
2020-10-05,VIKASWSP,4.1,4.1,4.0,4.0,474500,378191
2020-10-06,VIKASWSP,3.9,4.15,3.8,3.95,834041,472558
2020-10-07,VIKASWSP,3.95,4.05,3.9,3.95,209257,192361
2020-10-08,VIKASWSP,3.85,4.3,3.85,4.3,500074,335090
2020-10-09,VIKASWSP,4.45,4.6,4.0,4.1,904051,632953
2020-10-12,VIKASWSP,4.1,4.15,3.8,3.9,516642,401248
2020-10-13,VIKASWSP,4.0,4.0,3.8,3.95,378266,279243
2020-10-14,VIKASWSP,4.05,4.05,3.8,3.9,313863,220317
2020-10-15,VIKASWSP,3.9,3.95,3.8,3.85,238936,182117
2020-10-16,VIKASWSP,3.9,3.95,3.7,3.85,333389,210798
2020-10-19,VIKASWSP,3.95,3.95,3.8,3.8,131086,108989
2020-10-20,VIKASWSP,3.8,3.9,3.8,3.85,116649,93909
2020-10-21,VIKASWSP,3.95,4.1,3.85,3.95,249780,189742
2020-10-22,VIKASWSP,4.0,4.05,3.85,3.95,196110,129362
2020-10-23,VIKASWSP,4.05,4.05,3.85,3.95,200739,150453
2020-10-26,VIKASWSP,3.85,3.95,3.8,3.9,380887,246008
2020-10-27,VIKASWSP,3.85,3.95,3.75,3.8,227580,166159
2020-10-28,VIKASWSP,3.9,3.95,3.75,3.8,200060,152943
2020-10-29,VIKASWSP,3.9,3.9,3.75,3.75,172426,116354
2020-10-30,VIKASWSP,3.85,3.85,3.7,3.8,240418,202413
2020-11-02,VIKASWSP,3.85,3.9,3.75,3.85,189556,129511
2020-11-03,VIKASWSP,4.0,4.0,3.8,3.8,165404,141063
2020-11-04,VIKASWSP,3.8,3.85,3.75,3.85,89026,69981
2020-11-05,VIKASWSP,3.8,3.85,3.8,3.8,79064,64062
2020-11-06,VIKASWSP,3.8,3.85,3.75,3.75,87227,74453
2020-11-09,VIKASWSP,3.85,3.85,3.75,3.8,180373,144382
2020-11-10,VIKASWSP,3.75,3.8,3.7,3.75,227783,195748
2020-11-11,VIKASWSP,3.8,3.8,3.65,3.7,251114,177207
2020-11-12,VIKASWSP,3.7,3.9,3.7,3.85,275230,233164
2020-11-13,VIKASWSP,3.9,4.05,3.8,3.85,378282,246299
2020-11-14,VIKASWSP,3.95,4.0,3.85,3.9,83048,72352
2020-11-17,VIKASWSP,4.0,4.0,3.8,3.85,216660,134516
2020-11-18,VIKASWSP,3.9,4.2,3.8,4.2,868461,794610
2020-11-19,VIKASWSP,4.35,4.6,4.3,4.6,1452226,919568
2020-11-20,VIKASWSP,4.75,4.95,4.25,4.4,1679473,693022
2020-11-23,VIKASWSP,4.55,4.55,4.2,4.35,282929,211641
2020-11-24,VIKASWSP,4.4,4.45,4.1,4.2,357356,218462
2020-11-25,VIKASWSP,4.3,4.3,4.15,4.2,211063,166269
2020-11-26,VIKASWSP,4.25,4.25,4.1,4.15,206641,174709
2020-11-27,VIKASWSP,4.2,4.45,4.15,4.35,448090,282459
2020-12-01,VIKASWSP,4.5,4.6,4.2,4.4,363649,243561
2020-12-02,VIKASWSP,4.4,4.8,4.35,4.8,725503,565861
2020-12-03,VIKASWSP,4.95,5.25,4.9,5.25,509719,437246
2020-12-04,VIKASWSP,5.75,5.75,5.15,5.55,1516363,984103
2020-12-07,VIKASWSP,5.65,5.65,5.35,5.4,582529,423472
2020-12-08,VIKASWSP,5.5,5.5,5.2,5.25,412230,298694
2020-12-09,VIKASWSP,5.15,5.25,5.0,5.1,373102,307838
2020-12-10,VIKASWSP,5.2,5.2,4.85,4.95,374262,284887
2020-12-11,VIKASWSP,5.15,5.15,5.0,5.15,142564,111419
2020-12-14,VIKASWSP,5.25,5.4,5.25,5.3,335819,314072
2020-12-15,VIKASWSP,5.5,5.55,5.1,5.25,317172,233892
2020-12-16,VIKASWSP,5.45,5.45,5.0,5.05,431445,354985
2020-12-17,VIKASWSP,5.05,5.3,5.0,5.2,290678,211636
2020-12-18,VIKASWSP,5.25,5.3,4.95,5.05,354503,275276
2020-12-21,VIKASWSP,5.05,5.1,4.8,4.8,300440,264814
2020-12-22,VIKASWSP,4.9,4.9,4.6,4.6,284000,266749
2020-12-23,VIKASWSP,4.4,4.8,4.4,4.75,501526,365699
2020-12-24,VIKASWSP,4.85,4.95,4.8,4.95,281726,217986
2020-12-28,VIKASWSP,5.1,5.15,4.85,4.9,442884,305823
2020-12-29,VIKASWSP,5.05,5.05,4.75,4.9,160952,123276
2020-12-30,VIKASWSP,4.95,4.95,4.7,4.75,497327,361143
2020-12-31,VIKASWSP,4.7,4.95,4.65,4.95,473431,378441
2021-01-01,VIKASWSP,5.15,5.15,4.9,5.05,483692,421787
2021-01-04,VIKASWSP,5.15,5.2,4.85,4.9,950661,836999
2021-01-05,VIKASWSP,4.9,4.95,4.75,4.85,528736,430994
2021-01-06,VIKASWSP,4.85,5.0,4.8,4.95,624580,532709
2021-01-07,VIKASWSP,5.05,5.1,4.9,5.0,557183,449205
2021-01-08,VIKASWSP,4.95,5.05,4.85,4.95,426351,347180
2021-01-11,VIKASWSP,4.95,5.1,4.95,4.95,675657,584668
2021-01-12,VIKASWSP,5.0,5.05,4.75,4.85,503265,388849
2021-01-13,VIKASWSP,4.85,5.0,4.65,4.7,1036561,886287
2021-01-14,VIKASWSP,4.65,4.85,4.65,4.8,297714,206344
2021-01-15,VIKASWSP,4.9,4.9,4.7,4.7,441336,266989
2021-01-18,VIKASWSP,4.7,4.8,4.65,4.65,317269,229998
2021-01-19,VIKASWSP,4.7,4.8,4.5,4.65,342346,253782
2021-01-20,VIKASWSP,4.75,4.75,4.5,4.55,353109,261214
2021-01-21,VIKASWSP,4.65,4.7,4.5,4.55,446090,256174
2021-01-22,VIKASWSP,4.65,4.65,4.45,4.5,198089,155366
2021-01-25,VIKASWSP,4.4,4.45,4.3,4.3,353978,297879
2021-01-27,VIKASWSP,4.15,4.25,4.1,4.1,530410,422668
2021-01-28,VIKASWSP,4.0,4.05,3.95,4.05,324783,219578
2021-01-29,VIKASWSP,4.15,4.25,4.0,4.2,351376,237051
2021-02-01,VIKASWSP,4.25,4.3,4.05,4.1,324506,191223
2021-02-02,VIKASWSP,4.05,4.15,3.95,4.0,388229,326561
2021-02-03,VIKASWSP,4.05,4.05,3.8,3.85,1359286,1089803
2021-02-04,VIKASWSP,3.9,3.9,3.75,3.85,823493,552443
2021-02-05,VIKASWSP,3.9,4.0,3.85,3.95,461031,299523
2021-02-08,VIKASWSP,3.9,4.0,3.9,3.9,335182,249808
2021-02-09,VIKASWSP,3.95,3.95,3.8,3.9,502930,263775
2021-02-10,VIKASWSP,3.95,3.95,3.8,3.85,397917,222167
2021-02-11,VIKASWSP,3.9,3.9,3.85,3.85,243291,178009
2021-02-12,VIKASWSP,3.9,4.0,3.85,4.0,502186,366257
2021-02-15,VIKASWSP,3.9,4.2,3.9,4.2,583184,504736
2021-02-16,VIKASWSP,4.35,4.4,4.35,4.4,425731,389528
2021-02-17,VIKASWSP,4.55,4.6,4.35,4.6,999114,724847
2021-02-18,VIKASWSP,4.8,4.8,4.8,4.8,363694,345821
2021-02-19,VIKASWSP,5.0,5.0,4.9,5.0,1534107,1165520
2021-02-22,VIKASWSP,5.25,5.25,5.15,5.25,650945,551691
2021-02-23,VIKASWSP,5.5,5.5,5.0,5.0,1784140,1220202
2021-02-24,VIKASWSP,4.8,5.15,4.75,4.9,322352,268244
2021-02-25,VIKASWSP,5.1,5.1,4.9,5.1,264374,230084
2021-02-26,VIKASWSP,5.3,5.35,4.95,5.15,1186824,751614
2021-03-01,VIKASWSP,5.4,5.4,5.4,5.4,184715,184715
2021-03-02,VIKASWSP,5.65,5.65,5.35,5.65,977389,671749
2021-03-03,VIKASWSP,5.9,5.9,5.8,5.9,390551,241254
2021-03-04,VIKASWSP,6.15,6.15,6.15,6.15,139067,129057
2021-03-05,VIKASWSP,6.45,6.45,6.45,6.45,124853,124853
2021-03-08,VIKASWSP,6.75,6.75,6.75,6.75,115959,115949
2021-03-09,VIKASWSP,7.05,7.05,7.05,7.05,108009,108009
2021-03-10,VIKASWSP,7.15,7.4,6.7,6.7,2221499,1597518
2021-03-12,VIKASWSP,6.5,6.5,6.4,6.4,736500,682035
2021-03-15,VIKASWSP,6.7,6.7,6.7,6.7,81971,76981
2021-03-16,VIKASWSP,7.0,7.0,6.5,6.75,742500,431276
2021-03-17,VIKASWSP,6.8,7.05,6.5,6.9,777961,587571
2021-03-18,VIKASWSP,7.0,7.1,6.6,6.6,512702,356339
2021-03-19,VIKASWSP,6.7,6.7,6.3,6.3,424867,392805
2021-03-22,VIKASWSP,6.6,6.6,6.0,6.0,322283,289695
2021-03-23,VIKASWSP,5.85,6.3,5.7,6.25,882650,459445
2021-03-24,VIKASWSP,6.25,6.25,5.95,6.0,455633,384761
2021-03-25,VIKASWSP,6.15,6.15,5.7,5.7,234257,184165
2021-03-26,VIKASWSP,5.65,5.95,5.5,5.9,702981,556192
2021-03-30,VIKASWSP,6.1,6.15,6.1,6.15,231464,203214
2021-03-31,VIKASWSP,6.3,6.3,5.9,5.95,309886,232509
2021-04-01,VIKASWSP,6.2,6.2,5.95,6.05,525713,381239
2021-04-05,VIKASWSP,6.05,6.25,5.75,5.75,377259,287427
2021-04-06,VIKASWSP,5.65,5.65,5.5,5.5,174335,134296
2021-04-07,VIKASWSP,5.35,5.35,5.25,5.25,82995,62995
2021-04-08,VIKASWSP,5.25,5.75,4.75,5.75,921750,543853
