Date,Symbol,Open,High,Low,Close,Deliverable Volume
2020-08-20,VIPULLTD,15.0,15.45,13.45,14.7,8277
2020-08-21,VIPULLTD,14.7,15.2,13.55,15.0,22859
2020-08-24,VIPULLTD,15.45,15.5,14.6,15.4,9968
2020-08-25,VIPULLTD,15.95,15.95,14.75,15.45,10779
2020-08-26,VIPULLTD,15.5,15.9,15.0,15.7,8096
2020-08-27,VIPULLTD,16.45,16.45,15.05,15.9,5898
2020-08-28,VIPULLTD,16.7,16.7,15.25,15.5,4924
2020-08-31,VIPULLTD,16.7,16.7,15.3,15.8,11856
2020-09-01,VIPULLTD,15.5,16.5,15.05,15.15,2145
2020-09-02,VIPULLTD,15.05,15.4,15.05,15.35,2998
2020-09-03,VIPULLTD,16.25,16.25,14.85,15.2,8976
2020-09-04,VIPULLTD,15.2,15.2,14.5,14.85,1854
2020-09-07,VIPULLTD,14.85,15.9,13.4,13.85,10781
2020-09-08,VIPULLTD,13.95,14.7,13.1,13.75,7368
2020-09-09,VIPULLTD,13.75,14.1,12.8,13.1,8407
2020-09-10,VIPULLTD,13.95,13.95,13.1,13.55,4952
2020-09-11,VIPULLTD,13.9,13.95,13.35,13.9,1251
2020-09-14,VIPULLTD,14.1,14.9,13.6,14.2,6572
2020-09-15,VIPULLTD,14.9,14.9,13.6,13.8,5195
2020-09-16,VIPULLTD,14.0,14.45,13.0,14.35,4665
2020-09-17,VIPULLTD,14.9,14.9,13.4,13.8,4886
2020-09-18,VIPULLTD,14.5,14.5,13.5,13.8,3380
2020-09-21,VIPULLTD,13.8,14.1,13.25,13.35,6389
2020-09-22,VIPULLTD,13.25,13.75,12.9,13.0,2269
2020-09-23,VIPULLTD,13.5,13.5,13.0,13.1,272
2020-09-24,VIPULLTD,13.5,13.5,12.55,12.85,1824
2020-09-25,VIPULLTD,12.85,13.2,12.75,13.1,1032
2020-09-28,VIPULLTD,13.1,13.85,12.75,13.45,3555
2020-09-29,VIPULLTD,13.3,13.45,13.2,13.35,1312
2020-09-30,VIPULLTD,14.65,14.65,13.2,14.2,5171
2020-10-01,VIPULLTD,13.8,14.3,13.5,14.2,1372
2020-10-05,VIPULLTD,13.9,14.2,13.6,13.7,806
2020-10-06,VIPULLTD,13.8,14.15,13.2,13.4,21588
2020-10-07,VIPULLTD,13.3,13.6,13.2,13.2,16215
2020-10-08,VIPULLTD,13.4,13.6,13.05,13.45,3678
2020-10-09,VIPULLTD,13.5,13.55,13.1,13.35,2178
2020-10-12,VIPULLTD,13.2,13.45,13.0,13.15,1740
2020-10-13,VIPULLTD,13.05,13.3,13.05,13.05,1576
2020-10-14,VIPULLTD,13.0,13.25,13.0,13.2,3240
2020-10-15,VIPULLTD,13.1,13.25,12.75,12.8,7671
2020-10-16,VIPULLTD,12.75,13.0,12.75,12.9,1049
2020-10-19,VIPULLTD,12.9,12.95,12.55,12.7,2372
2020-10-20,VIPULLTD,12.7,13.2,12.7,12.9,919
2020-10-21,VIPULLTD,12.9,13.2,12.8,12.95,2860
2020-10-22,VIPULLTD,12.8,13.75,12.7,13.55,10762
2020-10-23,VIPULLTD,13.9,14.0,13.25,13.6,4912
2020-10-26,VIPULLTD,13.85,13.85,13.3,13.75,591
2020-10-27,VIPULLTD,13.55,13.65,12.8,13.15,4346
2020-10-28,VIPULLTD,13.35,13.4,12.95,13.05,357
2020-10-29,VIPULLTD,13.0,13.4,12.85,13.2,844
2020-10-30,VIPULLTD,13.35,13.8,13.0,13.3,1124
2020-11-02,VIPULLTD,13.45,13.45,12.95,13.0,3236
2020-11-03,VIPULLTD,13.05,13.25,13.0,13.25,1516
2020-11-04,VIPULLTD,13.2,13.5,13.15,13.2,1416
2020-11-05,VIPULLTD,13.1,13.1,13.0,13.0,5334
2020-11-06,VIPULLTD,13.15,13.15,13.0,13.15,765
2020-11-09,VIPULLTD,13.15,13.15,13.0,13.0,2923
2020-11-10,VIPULLTD,13.8,13.8,13.0,13.35,2035
2020-11-11,VIPULLTD,13.0,13.45,13.0,13.1,1151
2020-11-12,VIPULLTD,13.3,13.3,13.1,13.1,2817
2020-11-13,VIPULLTD,13.0,13.3,13.0,13.25,114
2020-11-14,VIPULLTD,13.5,13.75,13.0,13.2,953
2020-11-17,VIPULLTD,13.1,15.7,13.1,14.05,20450
2020-11-18,VIPULLTD,14.15,14.6,14.15,14.3,19172
2020-11-19,VIPULLTD,14.4,15.0,13.5,14.85,18536
2020-11-20,VIPULLTD,14.5,14.8,14.3,14.35,701
2020-11-23,VIPULLTD,15.65,15.65,14.2,14.75,2473
2020-11-24,VIPULLTD,15.0,15.4,14.2,15.25,7522
2020-11-25,VIPULLTD,15.75,15.75,14.5,14.6,6036
2020-11-26,VIPULLTD,14.55,15.05,13.85,14.5,7899
2020-11-27,VIPULLTD,14.5,15.4,14.5,15.3,6478
2020-12-01,VIPULLTD,15.3,16.4,15.1,15.85,23528
2020-12-02,VIPULLTD,16.5,17.6,16.0,17.0,33026
2020-12-03,VIPULLTD,17.0,18.0,17.0,17.6,28242
2020-12-04,VIPULLTD,17.9,18.5,16.5,17.75,10807
2020-12-07,VIPULLTD,17.0,18.5,15.55,16.65,16906
2020-12-08,VIPULLTD,17.4,18.35,16.0,17.3,22129
2020-12-09,VIPULLTD,18.0,18.45,16.25,17.1,16805
2020-12-10,VIPULLTD,16.8,17.5,16.65,16.7,5595
2020-12-11,VIPULLTD,17.25,17.6,16.6,17.25,17539
2020-12-14,VIPULLTD,17.85,17.85,16.8,17.2,2741
2020-12-15,VIPULLTD,17.5,17.5,16.8,16.95,5374
2020-12-16,VIPULLTD,16.8,17.3,16.3,17.1,11008
2020-12-17,VIPULLTD,17.2,20.5,16.6,20.45,107998
2020-12-18,VIPULLTD,22.65,24.5,22.0,24.5,140412
2020-12-21,VIPULLTD,25.0,26.6,22.05,22.05,133684
2020-12-22,VIPULLTD,21.15,21.45,20.95,20.95,27274
2020-12-23,VIPULLTD,20.2,21.9,20.1,21.45,37821
2020-12-24,VIPULLTD,21.8,22.3,20.8,20.95,16091
2020-12-28,VIPULLTD,20.75,21.7,20.25,20.6,19182
2020-12-29,VIPULLTD,21.05,21.3,19.8,20.0,23336
2020-12-30,VIPULLTD,20.0,20.0,19.0,19.25,34252
2020-12-31,VIPULLTD,19.5,20.2,18.6,20.2,24562
2021-01-01,VIPULLTD,20.9,21.2,20.7,21.2,28855
2021-01-04,VIPULLTD,22.95,23.2,21.2,22.9,59640
2021-01-05,VIPULLTD,22.8,22.8,21.8,22.25,19008
2021-01-06,VIPULLTD,22.7,22.75,21.5,21.8,12355
2021-01-07,VIPULLTD,22.5,22.5,21.25,21.45,11036
2021-01-08,VIPULLTD,22.65,22.65,21.3,21.85,22310
2021-01-11,VIPULLTD,21.8,22.25,20.35,21.15,17978
2021-01-12,VIPULLTD,21.2,22.5,20.85,22.05,37987
2021-01-13,VIPULLTD,22.5,23.7,21.65,21.9,28581
2021-01-14,VIPULLTD,22.35,22.75,21.8,21.85,4623
2021-01-15,VIPULLTD,21.8,22.0,20.3,20.5,45318
2021-01-18,VIPULLTD,20.5,21.0,19.8,20.1,12787
2021-01-19,VIPULLTD,20.0,22.1,19.3,19.6,72866
2021-01-20,VIPULLTD,20.3,20.3,19.45,19.7,20552
2021-01-21,VIPULLTD,19.7,19.9,18.25,18.4,64817
2021-01-22,VIPULLTD,18.4,19.4,18.2,18.95,23916
2021-01-25,VIPULLTD,18.85,19.55,17.65,18.3,10333
2021-01-27,VIPULLTD,18.3,18.85,18.3,18.7,6212
2021-01-28,VIPULLTD,19.35,19.35,18.3,18.95,2980
2021-01-29,VIPULLTD,19.3,19.3,18.05,18.25,4104
2021-02-01,VIPULLTD,17.9,19.3,17.9,18.95,5779
2021-02-02,VIPULLTD,18.75,19.95,18.6,18.9,119258
2021-02-03,VIPULLTD,18.65,19.9,18.1,19.5,116920
2021-02-04,VIPULLTD,20.5,20.5,19.0,19.15,107223
2021-02-05,VIPULLTD,19.9,19.9,18.05,19.2,16699
2021-02-08,VIPULLTD,19.2,19.7,18.8,19.3,10496
2021-02-09,VIPULLTD,18.6,21.2,18.6,21.2,260374
2021-02-10,VIPULLTD,21.5,23.3,21.5,22.65,80418
2021-02-11,VIPULLTD,22.7,23.65,22.15,22.85,28536
2021-02-12,VIPULLTD,23.35,23.35,22.4,22.65,13020
2021-02-15,VIPULLTD,23.15,23.3,21.5,21.85,30882
2021-02-16,VIPULLTD,22.0,23.5,21.65,23.0,15559
2021-02-17,VIPULLTD,23.25,24.5,22.35,23.75,17878
2021-02-18,VIPULLTD,23.75,23.75,22.6,23.15,8087
2021-02-19,VIPULLTD,23.1,24.35,22.1,22.65,48263
2021-02-22,VIPULLTD,22.75,23.3,22.0,22.65,26134
2021-02-23,VIPULLTD,22.55,23.45,22.55,23.25,8237
2021-02-24,VIPULLTD,24.35,25.55,22.95,24.45,30884
2021-02-25,VIPULLTD,24.9,26.85,24.9,26.15,143103
2021-02-26,VIPULLTD,25.85,28.75,24.7,28.75,77574
2021-03-01,VIPULLTD,30.15,30.15,29.35,30.15,16293
2021-03-02,VIPULLTD,31.65,31.65,31.65,31.65,10009
2021-03-03,VIPULLTD,33.2,33.2,33.2,33.2,13839
2021-03-04,VIPULLTD,34.85,34.85,34.85,34.85,20582
2021-03-05,VIPULLTD,36.55,36.55,34.2,36.55,80098
2021-03-08,VIPULLTD,37.95,38.35,35.0,35.95,380228
2021-03-09,VIPULLTD,35.95,37.7,34.4,34.65,56235
2021-03-10,VIPULLTD,34.05,36.25,32.95,35.3,89480
2021-04-27,VIPULLTD,27.2,29.15,26.6,28.75,7464
2021-04-28,VIPULLTD,29.9,30.0,27.5,27.55,13149
2021-04-29,VIPULLTD,27.8,28.65,27.35,27.5,7038
2021-04-30,VIPULLTD,27.55,28.0,26.65,26.95,5397
2021-05-03,VIPULLTD,27.55,28.25,26.6,27.15,2739
2021-05-04,VIPULLTD,26.7,27.55,25.8,26.0,14171
