Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,VISASTEEL,5.7,5.95,5.6,5.95,22085,14002
2020-08-27,VISASTEEL,6.2,6.2,5.95,6.2,25329,22235
2020-08-28,VISASTEEL,6.4,6.5,6.3,6.45,21540,18607
2020-08-31,VISASTEEL,6.5,6.5,6.15,6.15,25049,22818
2020-09-01,VISASTEEL,5.85,6.2,5.85,6.1,8058,6977
2020-09-02,VISASTEEL,5.8,6.1,5.8,5.8,10924,10665
2020-09-03,VISASTEEL,5.65,5.95,5.65,5.8,2549,1574
2020-09-04,VISASTEEL,5.8,5.8,5.6,5.65,11360,8718
2020-09-07,VISASTEEL,5.65,5.9,5.5,5.9,16288,15735
2020-09-08,VISASTEEL,5.9,6.15,5.8,6.0,13049,10062
2020-09-09,VISASTEEL,6.15,6.15,5.7,5.75,5411,3391
2020-09-10,VISASTEEL,6.0,6.0,5.7,5.95,6743,6488
2020-09-11,VISASTEEL,5.95,6.2,5.8,5.95,4189,3164
2020-09-14,VISASTEEL,6.15,6.15,5.75,5.95,914,908
2020-09-15,VISASTEEL,6.05,6.2,6.0,6.0,10796,9786
2020-09-16,VISASTEEL,6.3,6.3,6.3,6.3,27833,26333
2020-09-17,VISASTEEL,6.6,6.6,6.6,6.6,10871,10871
2020-09-18,VISASTEEL,6.9,6.9,6.9,6.9,34006,33506
2020-09-21,VISASTEEL,7.2,7.2,6.9,7.0,51405,49629
2020-09-22,VISASTEEL,7.3,7.3,6.7,6.7,11053,7902
2020-09-23,VISASTEEL,6.65,6.65,6.4,6.4,6260,6220
2020-11-10,VISASTEEL,5.5,5.85,5.5,5.65,10879,9396
2020-11-11,VISASTEEL,5.6,5.8,5.5,5.65,4480,3015
2020-11-12,VISASTEEL,5.5,5.7,5.4,5.4,29017,18755
2020-11-13,VISASTEEL,5.5,5.5,5.2,5.35,9540,7514
2020-11-14,VISASTEEL,5.2,5.55,5.2,5.4,3436,3196
2020-11-17,VISASTEEL,5.45,5.65,5.35,5.35,18603,16258
2020-11-18,VISASTEEL,5.5,5.6,5.3,5.45,20683,16998
2020-11-19,VISASTEEL,5.5,5.55,5.35,5.35,30209,25077
2020-11-20,VISASTEEL,5.45,5.45,5.25,5.45,9329,9319
2020-11-23,VISASTEEL,5.6,5.6,5.3,5.35,8927,7411
2020-11-24,VISASTEEL,5.3,5.45,5.15,5.25,21719,12757
2020-11-25,VISASTEEL,5.35,5.45,5.2,5.25,4316,3976
2020-11-26,VISASTEEL,5.2,5.5,5.2,5.5,12914,12224
2020-11-27,VISASTEEL,5.7,5.75,5.35,5.75,22208,19455
2020-12-01,VISASTEEL,5.9,5.95,5.55,5.85,14512,11294
2020-12-02,VISASTEEL,5.95,6.1,5.95,6.1,28887,22108
2020-12-03,VISASTEEL,6.35,6.4,6.1,6.3,21240,14756
2020-12-04,VISASTEEL,6.55,6.6,6.3,6.45,43571,37254
2020-12-07,VISASTEEL,6.45,6.75,6.15,6.15,114624,94576
2020-12-08,VISASTEEL,6.2,6.45,6.15,6.4,63627,54965
2020-12-09,VISASTEEL,6.4,6.7,6.25,6.7,47885,34410
2020-12-10,VISASTEEL,6.9,6.9,6.55,6.85,17975,13485
2020-12-11,VISASTEEL,6.95,7.15,6.85,6.95,28305,20239
2020-12-14,VISASTEEL,7.2,7.2,6.75,6.8,26004,23210
2020-12-15,VISASTEEL,7.05,7.1,6.6,6.85,22016,14496
2020-12-16,VISASTEEL,7.0,7.15,6.75,6.95,31514,20524
2020-12-17,VISASTEEL,7.1,7.1,6.75,6.75,23874,17741
2020-12-18,VISASTEEL,6.8,6.8,6.45,6.45,23603,18267
2020-12-21,VISASTEEL,6.45,6.65,6.15,6.2,37336,26051
2020-12-22,VISASTEEL,5.95,6.15,5.9,5.95,22043,15760
2020-12-23,VISASTEEL,6.2,6.2,6.0,6.2,31354,10395
2020-12-24,VISASTEEL,6.45,6.45,6.2,6.4,18539,15247
2020-12-28,VISASTEEL,6.2,6.7,6.2,6.4,75162,51024
2020-12-29,VISASTEEL,6.5,6.7,6.15,6.5,80298,33731
2020-12-30,VISASTEEL,6.3,6.7,6.3,6.55,58819,38744
2020-12-31,VISASTEEL,6.7,6.7,6.4,6.5,18921,12140
2021-01-01,VISASTEEL,6.5,6.7,6.35,6.55,26078,16490
2021-01-04,VISASTEEL,6.8,6.85,6.55,6.85,110603,96471
2021-01-05,VISASTEEL,7.15,7.15,7.0,7.15,55492,44739
2021-01-06,VISASTEEL,7.5,7.5,7.5,7.5,18438,18438
2021-01-07,VISASTEEL,7.85,7.85,7.7,7.85,103782,71321
2021-01-08,VISASTEEL,8.2,8.2,8.0,8.2,39755,30340
2021-01-11,VISASTEEL,8.6,8.6,7.85,8.45,137097,79111
2021-01-12,VISASTEEL,8.45,8.8,8.05,8.05,62401,47803
2021-01-13,VISASTEEL,8.05,8.15,7.65,7.65,46607,27765
2021-01-14,VISASTEEL,7.65,7.65,7.3,7.3,13084,11858
2021-01-15,VISASTEEL,7.2,7.65,6.95,7.6,80978,49424
2021-01-18,VISASTEEL,7.95,7.95,7.35,7.4,69163,46617
2021-01-19,VISASTEEL,7.5,7.75,7.3,7.6,36597,21656
2021-01-20,VISASTEEL,7.8,7.8,7.3,7.35,54057,32571
2021-01-21,VISASTEEL,7.7,7.7,7.15,7.2,16010,8577
2021-01-22,VISASTEEL,7.0,7.35,6.85,6.85,16893,12007
2021-01-25,VISASTEEL,6.85,7.1,6.55,6.6,26734,16426
2021-01-27,VISASTEEL,6.75,6.85,6.3,6.5,7013,4726
2021-01-28,VISASTEEL,6.75,6.8,6.45,6.7,7329,6773
2021-01-29,VISASTEEL,6.85,7.0,6.55,6.75,17433,14201
2021-02-01,VISASTEEL,6.75,7.05,6.65,6.8,17681,11901
2021-02-02,VISASTEEL,7.1,7.1,6.95,7.0,17283,11712
2021-02-03,VISASTEEL,7.0,7.35,6.95,7.2,30306,22483
2021-02-04,VISASTEEL,7.2,7.3,6.85,7.1,38191,31527
2021-02-05,VISASTEEL,7.0,7.2,6.75,6.75,31377,25277
2021-02-08,VISASTEEL,7.0,7.0,6.45,6.6,19746,13934
2021-02-09,VISASTEEL,6.8,6.9,6.5,6.8,18545,13581
2021-02-10,VISASTEEL,7.05,7.05,6.6,6.75,15870,12427
2021-02-11,VISASTEEL,7.0,7.0,6.45,6.45,59766,34572
2021-02-12,VISASTEEL,6.7,6.7,6.25,6.45,18131,13175
2021-02-15,VISASTEEL,6.65,6.65,6.2,6.25,36834,22014
2021-02-16,VISASTEEL,6.0,6.55,6.0,6.15,24081,13916
2021-02-17,VISASTEEL,6.1,6.45,6.0,6.1,25602,17152
2021-02-18,VISASTEEL,6.35,6.4,5.85,6.2,102521,38438
2021-02-19,VISASTEEL,6.4,6.4,5.95,6.0,18428,11853
2021-02-22,VISASTEEL,6.0,6.3,5.9,6.0,15785,10444
2021-02-23,VISASTEEL,6.0,6.15,5.9,5.95,10178,7618
2021-02-24,VISASTEEL,6.0,6.2,5.9,6.2,9945,8065
2021-02-25,VISASTEEL,6.35,6.5,6.1,6.35,39825,20585
2021-02-26,VISASTEEL,6.05,6.45,6.05,6.25,25083,14987
2021-03-01,VISASTEEL,6.15,6.45,6.1,6.3,18383,11562
2021-03-02,VISASTEEL,6.3,6.45,6.1,6.15,17163,15896
2021-03-03,VISASTEEL,6.35,6.4,6.0,6.25,45433,34916
2021-03-04,VISASTEEL,6.25,6.4,6.05,6.25,46572,32648
2021-03-05,VISASTEEL,6.15,6.4,6.15,6.3,16958,13352
2021-03-08,VISASTEEL,6.5,6.6,6.15,6.5,48818,36504
2021-03-09,VISASTEEL,6.5,6.8,6.5,6.75,46877,39451
2021-03-10,VISASTEEL,6.9,7.0,6.6,6.9,59682,42953
2021-03-12,VISASTEEL,6.9,7.2,6.8,7.15,29145,25077
2021-03-15,VISASTEEL,7.2,7.5,7.2,7.45,64545,53205
2021-03-16,VISASTEEL,7.45,7.8,7.25,7.75,92028,42509
2021-03-17,VISASTEEL,7.95,8.05,7.75,7.95,70644,44265
2021-03-18,VISASTEEL,8.0,8.25,7.6,7.6,38965,28759
2021-03-19,VISASTEEL,7.25,7.4,7.25,7.25,7620,7620
2021-03-22,VISASTEEL,7.2,7.4,6.9,6.9,16519,16518
2021-03-23,VISASTEEL,6.9,6.9,6.6,6.65,14188,11132
2021-03-24,VISASTEEL,6.65,6.95,6.45,6.95,26258,16331
2021-03-25,VISASTEEL,7.15,7.25,6.65,6.65,29497,26676
2021-03-26,VISASTEEL,6.9,6.9,6.35,6.4,46339,41148
2021-03-30,VISASTEEL,6.6,6.65,6.15,6.55,21229,14646
2021-03-31,VISASTEEL,6.7,6.7,6.25,6.5,8526,5731
2021-04-01,VISASTEEL,6.8,6.8,6.6,6.7,26305,23803
2021-04-05,VISASTEEL,6.75,6.95,6.4,6.75,41713,25920
2021-04-06,VISASTEEL,6.75,6.9,6.6,6.65,21588,15810
2021-04-07,VISASTEEL,6.8,6.8,6.55,6.7,9106,7095
2021-04-08,VISASTEEL,6.8,7.0,6.6,7.0,40383,34069
2021-04-09,VISASTEEL,7.35,7.35,7.1,7.35,42449,38670
2021-04-12,VISASTEEL,7.35,7.65,7.0,7.0,43088,27157
2021-04-13,VISASTEEL,6.7,7.3,6.65,6.65,78417,57586
