Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,VISHWARAJ,90.85,90.9,88.3,88.65,7784,5704
2020-08-27,VISHWARAJ,89.0,99.4,87.75,97.7,114266,56528
2020-08-28,VISHWARAJ,98.8,102.0,92.0,93.8,139799,47182
2020-08-31,VISHWARAJ,93.9,96.8,85.0,86.2,22184,14642
2020-09-01,VISHWARAJ,86.25,91.0,83.2,90.35,18128,14173
2020-09-02,VISHWARAJ,90.75,94.9,86.0,90.85,42361,25380
2020-09-03,VISHWARAJ,93.0,93.0,87.0,90.85,4526,3177
2020-09-04,VISHWARAJ,91.05,92.0,88.0,89.15,18232,9132
2020-09-07,VISHWARAJ,91.65,91.75,88.0,88.15,15356,11179
2020-09-08,VISHWARAJ,90.0,90.95,88.0,89.4,4073,3261
2020-09-09,VISHWARAJ,90.9,90.95,88.0,88.45,2060,1670
2020-09-10,VISHWARAJ,90.75,92.9,89.0,92.35,29930,21773
2020-09-11,VISHWARAJ,93.5,93.8,90.0,92.95,35251,27845
2020-09-14,VISHWARAJ,92.95,94.75,90.0,91.4,5602,4445
2020-09-15,VISHWARAJ,92.35,94.3,92.0,93.05,25277,24226
2020-09-16,VISHWARAJ,93.5,94.5,92.0,93.3,18013,9153
2020-09-17,VISHWARAJ,93.05,96.3,93.0,95.95,22837,17304
2020-09-18,VISHWARAJ,96.55,98.5,93.6,96.35,37938,23308
2020-09-21,VISHWARAJ,99.45,101.2,85.9,99.5,44609,17907
2020-09-22,VISHWARAJ,101.0,103.0,96.6,98.8,7002,3341
2020-09-23,VISHWARAJ,99.95,101.0,91.95,97.4,6364,3940
2020-09-24,VISHWARAJ,98.95,100.5,96.5,97.7,2098,1549
2020-09-25,VISHWARAJ,99.4,102.0,97.0,100.15,4786,3892
2020-09-28,VISHWARAJ,99.65,103.0,97.65,99.15,3422,2801
2020-09-29,VISHWARAJ,100.0,101.0,99.0,99.85,8509,6345
2020-09-30,VISHWARAJ,101.85,101.85,100.0,100.1,5250,4529
2020-10-01,VISHWARAJ,100.55,104.45,99.0,103.15,32068,30827
2020-10-05,VISHWARAJ,103.95,112.8,102.05,105.75,32117,13454
2020-10-06,VISHWARAJ,105.85,108.0,104.0,104.8,15514,14160
2020-10-07,VISHWARAJ,104.95,105.7,104.0,105.25,5711,5175
2020-10-08,VISHWARAJ,105.3,107.9,104.0,106.8,16573,13688
2020-10-09,VISHWARAJ,109.0,111.65,106.55,107.35,12154,10989
2020-10-12,VISHWARAJ,111.65,111.65,106.0,106.95,24146,21902
2020-10-13,VISHWARAJ,107.95,113.4,107.95,109.25,86958,82222
2020-10-14,VISHWARAJ,112.0,112.0,108.0,110.15,16144,6627
2020-10-15,VISHWARAJ,110.85,110.85,108.0,108.75,30125,27245
2020-10-16,VISHWARAJ,106.0,110.95,106.0,109.65,26772,15250
2020-10-19,VISHWARAJ,110.85,110.9,109.5,110.65,12043,10735
2020-10-20,VISHWARAJ,109.05,129.05,109.0,115.9,112221,29336
2020-10-21,VISHWARAJ,115.7,116.85,110.5,114.7,254213,138573
2020-10-22,VISHWARAJ,114.05,116.85,112.0,114.2,14002,8215
2020-10-23,VISHWARAJ,114.05,117.2,113.05,114.3,9566,6663
2020-10-26,VISHWARAJ,113.05,114.85,111.0,111.9,8230,7814
2020-10-27,VISHWARAJ,112.0,116.0,111.1,112.0,9336,8187
2020-10-28,VISHWARAJ,112.0,119.0,111.15,113.8,18736,5042
2020-10-29,VISHWARAJ,114.0,119.0,113.0,116.35,22799,20943
2020-10-30,VISHWARAJ,119.0,119.0,116.35,116.85,8064,7566
2020-11-02,VISHWARAJ,120.0,120.0,115.0,116.75,22245,17935
2020-11-03,VISHWARAJ,116.05,120.0,114.25,115.7,34788,30305
2020-11-04,VISHWARAJ,115.6,117.0,113.4,115.45,20052,12285
