Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,VSTIND,3480.0,3515.0,3438.35,3454.0,10557,6188
2020-08-27,VSTIND,3705.0,3807.0,3462.0,3492.35,70463,29949
2020-08-28,VSTIND,3518.0,3518.0,3460.0,3472.5,9082,4740
2020-08-31,VSTIND,3499.0,3499.85,3326.5,3395.4,15636,10095
2020-09-01,VSTIND,3366.0,3414.0,3360.0,3392.6,8733,6265
2020-09-02,VSTIND,3399.95,3408.9,3359.85,3373.85,4726,3280
2020-09-03,VSTIND,3374.0,3399.85,3350.0,3362.65,4048,2959
2020-09-04,VSTIND,3379.95,3379.95,3310.05,3322.85,6586,3971
2020-09-07,VSTIND,3340.0,3340.0,3271.0,3304.25,5614,3268
2020-09-08,VSTIND,3318.9,3352.55,3300.0,3309.45,8693,6412
2020-09-09,VSTIND,3310.0,3350.0,3291.0,3330.7,6351,4470
2020-09-10,VSTIND,3311.0,3425.0,3305.0,3374.45,6067,2809
2020-09-11,VSTIND,3371.0,3448.0,3348.85,3432.95,4830,2989
2020-09-14,VSTIND,3484.0,3585.0,3447.05,3541.2,17712,11321
2020-09-15,VSTIND,3590.0,3590.0,3506.0,3553.65,5094,3283
2020-09-16,VSTIND,3569.95,3577.15,3555.55,3561.7,7318,4676
2020-09-17,VSTIND,3560.0,3680.0,3515.0,3624.35,14657,9097
2020-09-18,VSTIND,3649.0,3720.0,3585.0,3684.75,8950,6421
2020-09-21,VSTIND,3685.25,3700.0,3541.25,3560.35,17669,12415
2020-09-22,VSTIND,3560.0,3560.05,3391.75,3470.6,15020,9902
2020-09-23,VSTIND,3471.4,3582.0,3425.0,3537.65,6818,3031
2020-09-24,VSTIND,3510.0,3510.05,3383.5,3447.7,6929,3358
2020-09-25,VSTIND,3432.4,3540.0,3397.55,3411.95,6464,3302
2020-09-28,VSTIND,3401.0,3414.2,3365.05,3387.05,5258,3022
2020-09-29,VSTIND,3387.1,3398.1,3302.0,3320.0,7253,3850
2020-09-30,VSTIND,3355.0,3376.75,3250.0,3267.65,9356,6777
2020-10-01,VSTIND,3290.0,3409.9,3284.75,3380.0,26957,23375
2020-10-05,VSTIND,3400.0,3440.0,3352.3,3373.8,20241,15988
2020-10-06,VSTIND,3361.1,3411.15,3350.0,3393.7,2522,1239
2020-10-07,VSTIND,3400.0,3400.0,3312.6,3329.2,3076,1748
2020-10-08,VSTIND,3325.0,3379.6,3320.0,3339.85,13564,12067
2020-10-09,VSTIND,3361.9,3380.0,3330.0,3331.75,30869,28043
2020-10-12,VSTIND,3360.0,3360.0,3290.0,3319.75,34378,31814
