Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,1640.0,1758.2,1624.0,1689.6,207762,105143,50.60742580452633
2020-09-06,1730.0,1860.0,1559.95,1815.3,291157,114026,39.16306322705619
2020-09-13,1838.0,1937.95,1764.8,1894.35,193564,88453,45.69703043954455
2020-09-20,1924.0,1924.0,1787.95,1856.85,111070,57223,51.51976231205546
2020-09-27,1887.95,1951.0,1650.0,1696.5,188498,78984,41.90177084106993
2020-10-04,1710.0,1739.0,1642.55,1655.7,125427,62861,50.117598284260964
2020-10-11,1728.0,1767.0,1655.0,1679.8,113048,51945,45.94950817351921
2020-10-18,1699.0,1699.0,1505.0,1540.95,116113,72689,62.60194810227968
2020-10-25,1550.0,1627.75,1506.95,1582.15,60188,27648,45.93606699009769
2020-11-01,1582.15,1599.95,1509.0,1568.0,30655,13035,42.52161148262926
2020-11-08,1561.9,1743.95,1552.25,1686.15,73358,34851,47.50811090814908
2020-11-15,1710.8,1990.0,1686.15,1944.35,299838,139712,46.595828414010235
2020-11-22,1945.0,2009.8,1912.0,1935.2,74249,41645,56.08829748548801
2020-11-29,1935.2,1975.95,1880.0,1922.3,68224,35936,52.67354596622889
2020-12-06,1949.0,1975.0,1885.0,1932.85,159869,87463,54.709168131407594
2020-12-13,1960.0,1960.0,1836.0,1903.35,117549,80540,68.51610817616483
2020-12-20,1915.0,1925.0,1852.65,1906.95,54696,32557,59.523548339915166
2020-12-27,1924.9,1924.9,1762.0,1854.35,49187,28338,57.61278386565556
2021-01-03,1870.0,1989.7,1840.0,1954.25,89608,37230,41.54762967592179
2021-01-10,1990.0,2039.9,1935.0,1967.95,140590,73492,52.27398819261683
2021-01-17,1970.0,1996.9,1866.0,1915.1,56902,35637,62.628730097360375
2021-01-24,1915.15,1915.15,1828.05,1836.9,45271,25812,57.01663316471913
2021-01-31,1845.0,1861.25,1797.0,1802.15,30656,18133,59.149921711899786
2021-02-07,1800.0,1909.9,1785.0,1885.7,73507,40169,54.64649625205763
2021-02-14,1900.0,2049.0,1825.0,1878.15,269528,141401,52.46245288059126
2021-02-21,1910.0,1910.0,1812.25,1816.6,57781,37862,65.5267302400443
2021-02-28,1816.6,1867.0,1690.5,1840.75,53141,34850,65.58024877213451
2021-03-07,1850.0,1975.0,1842.25,1940.85,135369,64120,47.36682696924702
2021-03-14,1950.0,1973.0,1880.0,1898.3,53352,35856,67.20647773279353
2021-03-21,1907.8,1912.0,1787.15,1820.45,45483,26929,59.2067365828991
2021-03-28,1829.0,1840.0,1647.85,1817.5,78198,46786,59.83017468477455
2021-04-04,1824.0,1874.7,1765.0,1833.7,35359,14159,40.04355326790916
2021-04-11,1872.0,1872.0,1795.2,1851.85,41084,23712,57.715899133482615
2021-04-18,1842.0,1858.45,1755.1,1780.55,32969,18308,55.53095331978525
2021-04-25,1761.15,1826.3,1727.0,1747.1,37304,21847,58.564765172635646
2021-05-02,1747.1,1884.0,1741.95,1820.1,61178,24722,40.4099512896793
2021-05-09,1847.9,1870.0,1786.0,1812.9,41186,24396,59.23372019618317
2021-05-16,1833.0,1842.0,1720.0,1743.35,37170,23747,63.8875437180522
2021-05-23,1828.0,1918.85,1756.05,1828.05,91957,49016,53.30317430973173
2021-05-30,1836.95,1960.05,1836.95,1910.65,87546,50803,58.0300641948233
2021-06-06,1905.1,2300.0,1900.0,2133.8,358754,144038,40.14951749666903
2021-06-13,2150.0,2184.7,2015.2,2112.4,127358,63720,50.03219271659417
2021-06-20,2122.0,2190.0,2054.55,2138.1,144566,58232,40.280563894691696
