Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,VTL,1770.0,1779.05,1623.8,1656.75,79281,32532
2021-08-24,VTL,1641.05,1728.0,1637.05,1721.3,51011,15141
2021-08-25,VTL,1730.0,1795.55,1730.0,1776.6,70974,26830
2021-08-26,VTL,1777.0,1777.0,1737.65,1750.5,53448,23783
2021-08-27,VTL,1730.0,1790.0,1730.0,1753.65,32343,14520
2021-08-30,VTL,1768.0,1822.0,1750.0,1762.7,79691,30572
2021-08-31,VTL,1778.0,1850.0,1763.2,1842.1,126008,46490
2021-09-01,VTL,1848.0,1848.0,1790.0,1820.5,41959,19182
2021-09-02,VTL,1829.65,1879.0,1829.65,1868.05,75767,27256
2021-09-03,VTL,1874.0,1962.0,1842.1,1929.2,210277,98970
2021-09-06,VTL,1995.0,2010.0,1961.05,1980.65,219577,85750
2021-09-07,VTL,1998.0,2024.0,1943.6,1989.75,159421,61860
2021-09-08,VTL,2001.0,2024.0,1980.0,1988.05,150903,67251
2021-09-09,VTL,1998.8,1998.8,1925.0,1945.8,104010,51054
2021-09-13,VTL,1944.0,1972.1,1901.35,1922.3,55281,27355
2021-09-14,VTL,1934.9,1950.0,1894.1,1914.2,46611,22561
2021-09-15,VTL,1927.0,1929.85,1881.45,1889.3,58776,35241
2021-09-16,VTL,1881.0,1943.45,1859.35,1868.8,61141,30976
2021-09-17,VTL,1859.95,1920.05,1831.0,1911.9,135927,96088
2021-09-20,VTL,1888.8,1940.0,1835.35,1851.05,61123,27033
2021-09-21,VTL,1847.0,1859.0,1752.45,1801.9,103190,46920
2021-09-22,VTL,1805.0,1837.95,1780.0,1808.05,67649,26106
2021-09-23,VTL,1818.0,1841.05,1792.0,1815.05,57186,33382
2021-09-24,VTL,1817.0,1830.0,1780.0,1800.75,37080,21555
2021-09-27,VTL,1790.0,1824.3,1790.0,1815.3,47380,25780
2021-09-28,VTL,1824.0,1853.4,1800.0,1813.0,33776,20560
2021-09-29,VTL,1818.0,1818.0,1771.75,1785.1,26414,13437
2021-09-30,VTL,1792.0,1875.0,1790.0,1852.4,76426,28689
2021-10-01,VTL,1841.0,1867.75,1829.35,1838.25,31060,13080
2021-10-04,VTL,1847.0,1890.0,1830.0,1859.15,36146,18527
2021-10-05,VTL,1862.0,1915.0,1851.05,1893.25,67148,27393
2021-10-06,VTL,1898.9,1975.0,1893.75,1938.25,142474,72087
2021-10-07,VTL,1955.6,1964.45,1912.8,1931.15,41936,20882
2021-10-08,VTL,1938.0,1975.0,1910.3,1941.45,50308,26685
2021-10-11,VTL,1948.95,1995.0,1925.0,1953.3,171054,52613
2021-10-12,VTL,1958.8,2115.0,1936.05,2103.2,683304,215795
2021-10-13,VTL,2140.0,2147.85,2022.0,2040.6,225984,97320
2021-10-14,VTL,2050.0,2080.55,2020.0,2033.05,80287,38893
2021-10-18,VTL,2058.0,2081.0,2021.75,2033.95,63887,31006
2021-10-19,VTL,2050.0,2075.0,1885.0,1920.7,128657,54058
2021-10-20,VTL,1922.0,1922.0,1835.0,1867.25,85109,44614
2021-10-21,VTL,1870.0,1906.0,1842.0,1863.6,127713,75638
2021-10-22,VTL,1855.0,1877.05,1776.85,1798.25,59815,32837
2021-10-25,VTL,1811.0,1861.6,1773.0,1799.2,121838,70784
2021-10-26,VTL,1800.0,1863.1,1800.0,1811.8,74649,39437
2021-10-27,VTL,1839.0,2070.0,1831.8,1991.85,1047681,244007
2021-10-28,VTL,1999.8,2052.0,1961.0,1970.05,438164,219688
2021-10-29,VTL,1985.0,2049.95,1935.3,1946.05,238446,126242
2021-11-01,VTL,1967.5,2025.0,1955.85,2009.75,122504,60968
2021-11-02,VTL,2001.0,2048.65,1978.0,1993.8,158341,81249
2021-11-03,VTL,2002.0,2119.0,2001.7,2090.95,367843,144496
2021-11-04,VTL,2091.0,2136.0,2091.0,2109.8,37396,20955
2021-11-08,VTL,2135.0,2167.35,2062.15,2121.85,168621,81836
2021-11-09,VTL,2146.0,2150.0,2066.95,2082.75,176949,103011
2021-11-10,VTL,2078.7,2099.75,2033.25,2072.9,71922,34265
2021-11-11,VTL,2074.0,2079.45,1966.5,1980.95,97165,53355
2021-11-12,VTL,1995.0,2030.0,1990.5,2022.6,90364,31677
2021-11-15,VTL,2032.75,2055.65,1970.15,1985.35,63965,34749
2021-11-16,VTL,1990.05,2100.0,1990.05,2087.8,173937,75375
2021-11-17,VTL,2087.0,2105.0,2021.0,2035.15,93338,64552
2021-11-18,VTL,2034.9,2050.35,1990.0,1999.7,39639,18884
2021-11-22,VTL,1981.0,1999.95,1855.0,1887.3,72482,38340
2021-11-23,VTL,1890.85,1938.0,1863.9,1921.35,64687,24210
2021-11-24,VTL,1914.5,1998.0,1913.95,1949.6,92884,56278
2021-11-25,VTL,2060.0,2066.55,1980.0,1987.8,208824,98286
2021-11-26,VTL,1979.9,2035.0,1916.15,1936.55,165406,86403
2021-11-29,VTL,1928.8,1987.0,1846.1,1980.55,164268,101762
2021-11-30,VTL,1982.0,2082.95,1958.0,2031.95,385260,298005
2021-12-01,VTL,2068.0,2068.0,1950.2,1961.25,101006,66443
2021-12-02,VTL,1950.0,1999.9,1950.0,1965.3,46299,17716
2021-12-03,VTL,1968.9,1985.0,1943.3,1951.5,42224,21922
2021-12-06,VTL,1965.95,1977.7,1908.0,1915.5,29646,12324
2021-12-07,VTL,1930.0,1949.85,1920.0,1938.9,73219,58069
2021-12-08,VTL,1945.5,1995.0,1945.5,1982.25,46813,22659
2021-12-09,VTL,1995.0,2016.55,1975.0,1981.35,31650,15852
2021-12-10,VTL,1989.95,1999.5,1952.1,1970.7,22492,11002
2021-12-13,VTL,1989.85,2015.0,1970.7,1982.65,356784,327356
2021-12-14,VTL,1985.9,2167.9,1964.75,2150.2,485223,137721
2021-12-15,VTL,2164.0,2323.25,2163.2,2275.5,918234,145466
