Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,WATERBASE,113.45,115.9,108.4,109.7,142405,44894
2021-08-24,WATERBASE,111.5,115.0,110.55,113.4,159218,40607
2021-08-25,WATERBASE,114.85,117.7,114.0,115.0,166109,49899
2021-08-26,WATERBASE,116.5,118.35,114.0,114.5,114452,44263
2021-08-27,WATERBASE,115.7,115.9,112.8,114.0,105141,40411
2021-08-30,WATERBASE,115.4,116.2,114.0,115.5,99895,45854
2021-08-31,WATERBASE,115.2,117.8,115.2,115.8,103385,42933
2021-09-01,WATERBASE,116.2,117.0,114.3,115.7,83969,26338
2021-09-02,WATERBASE,116.45,117.6,115.15,115.75,85096,32854
2021-09-03,WATERBASE,116.5,116.9,115.0,115.2,75924,36112
2021-09-06,WATERBASE,116.95,117.75,115.35,115.9,74420,29584
2021-09-07,WATERBASE,116.65,116.7,114.05,114.65,62107,33860
2021-09-08,WATERBASE,115.75,115.75,114.25,114.6,56140,22948
2021-09-09,WATERBASE,115.1,116.8,114.6,115.35,95838,44607
2021-09-13,WATERBASE,116.5,117.35,115.35,116.1,101013,41870
2021-09-14,WATERBASE,116.9,119.7,116.0,117.45,164928,61359
2021-09-15,WATERBASE,118.65,120.4,117.25,118.0,166275,60376
2021-09-16,WATERBASE,118.35,119.1,116.25,117.0,49826,24899
2021-09-17,WATERBASE,117.3,119.4,115.05,116.0,143130,58582
2021-09-20,WATERBASE,115.15,118.7,114.0,114.85,80871,38638
2021-09-21,WATERBASE,115.15,115.3,111.45,113.8,78731,38953
2021-09-22,WATERBASE,113.85,115.4,113.5,114.4,78266,40387
2021-09-23,WATERBASE,115.0,116.8,115.0,115.3,96716,45926
2021-09-24,WATERBASE,115.9,116.25,114.05,114.55,52207,29033
2021-09-27,WATERBASE,115.9,115.9,113.35,113.8,60836,36198
2021-09-28,WATERBASE,114.9,114.9,113.3,113.75,44542,27321
2021-09-29,WATERBASE,113.9,115.4,113.0,114.05,88742,44212
2021-09-30,WATERBASE,114.35,115.4,113.5,113.85,66262,34691
2021-10-01,WATERBASE,113.5,114.7,113.35,114.05,70770,32850
2021-10-04,WATERBASE,114.3,116.0,114.3,114.8,84624,48907
2021-10-05,WATERBASE,114.3,121.45,114.3,120.5,564746,231885
2021-10-06,WATERBASE,121.45,121.75,117.0,117.7,181989,92707
2021-10-07,WATERBASE,118.5,120.6,117.45,118.4,106153,45375
2021-10-08,WATERBASE,119.2,120.15,118.05,118.8,91267,49561
2021-10-11,WATERBASE,119.2,119.7,117.5,117.95,82837,41703
2021-10-12,WATERBASE,118.55,119.0,116.75,117.25,72915,33783
2021-10-13,WATERBASE,117.95,122.0,116.8,119.05,391066,105554
2021-10-14,WATERBASE,119.5,120.2,117.1,117.5,117607,60453
2021-10-18,WATERBASE,118.3,118.85,116.55,116.85,142867,67928
2021-10-19,WATERBASE,117.05,117.65,114.6,114.95,114870,63464
2021-10-20,WATERBASE,114.8,114.9,112.55,113.45,84357,50878
2021-10-21,WATERBASE,114.3,114.35,112.1,112.65,49685,29347
2021-10-22,WATERBASE,113.5,117.5,112.8,114.35,141292,68787
2021-10-25,WATERBASE,115.15,116.0,112.0,113.05,64395,36710
2021-10-26,WATERBASE,113.95,114.6,113.2,113.65,29934,15752
2021-10-27,WATERBASE,114.2,114.55,112.8,113.05,55369,24502
2021-10-28,WATERBASE,113.85,113.85,111.55,111.8,53593,30197
2021-10-29,WATERBASE,113.0,113.05,110.0,110.75,98573,45417
2021-11-01,WATERBASE,110.7,112.45,110.7,111.4,38194,19932
2021-11-02,WATERBASE,112.2,112.7,111.05,111.6,43209,24228
2021-11-03,WATERBASE,112.35,113.25,109.0,109.55,114043,67977
2021-11-04,WATERBASE,110.35,112.5,110.0,112.0,18933,12223
2021-11-08,WATERBASE,112.0,115.3,111.2,113.7,94002,38493
2021-11-09,WATERBASE,113.8,115.0,113.55,114.1,58882,33959
2021-11-10,WATERBASE,114.0,116.0,113.3,113.65,82609,42202
2021-11-11,WATERBASE,113.65,115.8,113.05,113.4,52232,25309
2021-11-12,WATERBASE,114.5,114.5,112.5,113.0,39244,21648
2021-11-15,WATERBASE,111.35,112.0,106.0,107.25,229996,142964
2021-11-16,WATERBASE,109.5,109.5,106.65,107.35,61078,36951
2021-11-17,WATERBASE,107.85,114.0,106.55,108.6,189805,58333
2021-11-18,WATERBASE,109.7,110.2,106.15,106.7,67982,38510
2021-11-22,WATERBASE,108.35,108.35,103.95,104.85,57957,36508
2021-11-23,WATERBASE,105.9,106.75,103.05,105.7,48058,26067
2021-11-24,WATERBASE,106.2,107.25,104.2,104.5,80638,46110
2021-11-25,WATERBASE,105.85,105.85,103.95,104.35,26542,14823
2021-11-26,WATERBASE,104.25,104.25,102.05,102.6,56548,29006
2021-11-29,WATERBASE,103.9,103.9,95.9,97.4,110744,63480
2021-11-30,WATERBASE,97.5,110.0,97.5,100.25,236369,43426
2021-12-01,WATERBASE,102.2,102.2,99.7,100.85,31677,13751
2021-12-02,WATERBASE,100.95,108.4,100.0,104.3,394488,69966
2021-12-03,WATERBASE,103.7,106.9,103.7,104.9,182054,47766
2021-12-06,WATERBASE,105.5,105.5,101.0,101.5,54152,25561
2021-12-07,WATERBASE,102.85,104.9,102.0,103.1,61575,22438
2021-12-08,WATERBASE,104.5,104.85,102.6,103.6,47530,24767
2021-12-09,WATERBASE,104.0,106.5,103.2,104.7,71406,32325
2021-12-10,WATERBASE,105.0,106.45,104.65,105.25,129464,52947
2021-12-13,WATERBASE,105.35,108.8,105.35,106.75,115501,66136
2021-12-14,WATERBASE,105.9,107.5,104.05,105.25,66547,24576
2021-12-15,WATERBASE,105.85,106.4,103.9,104.15,38320,22300
2021-12-16,WATERBASE,105.0,105.3,101.9,102.8,54566,30859
2021-12-17,WATERBASE,103.6,103.6,101.05,101.15,40535,20157
2021-12-20,WATERBASE,100.1,101.25,96.0,96.9,85182,43854
2021-12-21,WATERBASE,99.0,101.0,97.85,98.95,60160,25431
2021-12-22,WATERBASE,99.35,103.05,99.35,100.75,94199,21571
2021-12-23,WATERBASE,101.05,102.3,100.35,101.35,48022,24027
2021-12-24,WATERBASE,102.0,102.0,99.1,100.05,34315,13961
2021-12-27,WATERBASE,100.8,100.95,98.4,100.0,33706,14903
2021-12-28,WATERBASE,100.1,103.0,99.6,101.2,77455,25575
2021-12-29,WATERBASE,101.95,102.4,100.8,101.8,33054,17708
2021-12-30,WATERBASE,101.5,103.65,100.5,101.6,57548,22220
2021-12-31,WATERBASE,102.3,104.75,102.0,103.3,88830,37255
2022-01-03,WATERBASE,102.5,104.2,102.5,103.4,45947,20543
2022-01-04,WATERBASE,104.05,105.15,102.9,104.1,61441,31082
2022-01-05,WATERBASE,104.8,106.5,103.2,104.85,89345,41584
2022-01-06,WATERBASE,104.0,106.1,103.5,104.35,70347,41338
2022-01-07,WATERBASE,104.0,105.35,103.3,103.9,44459,26472
2022-01-10,WATERBASE,104.7,108.85,103.65,107.1,229548,89522
2022-01-11,WATERBASE,107.2,109.65,106.05,107.45,136017,56321
2022-01-12,WATERBASE,108.0,116.1,107.6,111.4,873827,252830
2022-01-13,WATERBASE,111.5,111.9,108.0,108.8,187544,68371
2022-01-14,WATERBASE,108.55,112.0,107.6,110.15,193013,61875
2022-01-17,WATERBASE,110.8,113.0,109.0,109.35,116490,56812
2022-01-18,WATERBASE,110.2,110.5,107.1,107.75,95315,42838
2022-01-19,WATERBASE,107.35,109.55,105.0,107.25,81078,27728
2022-01-20,WATERBASE,107.25,108.8,106.35,107.2,39707,17207
2022-01-21,WATERBASE,107.2,107.85,104.0,104.65,54773,28290
2022-01-24,WATERBASE,105.0,105.05,99.85,100.9,91547,19795
2022-01-25,WATERBASE,100.0,102.85,99.35,102.0,49067,21316
2022-01-27,WATERBASE,100.8,105.0,100.2,101.85,140679,41337
2022-01-28,WATERBASE,102.7,105.9,102.0,102.8,83384,33451
2022-01-31,WATERBASE,103.0,104.65,102.9,103.4,41939,18794
2022-02-01,WATERBASE,103.45,108.0,103.4,103.85,136193,35589
2022-02-02,WATERBASE,104.6,104.75,103.4,103.8,59491,32132
2022-02-03,WATERBASE,103.5,110.0,103.5,108.8,212237,93269
2022-02-04,WATERBASE,107.8,108.25,105.6,106.35,80422,37004
2022-02-07,WATERBASE,106.45,106.45,104.0,104.2,39308,18258
2022-02-08,WATERBASE,104.85,106.0,102.0,103.05,47065,19701
2022-02-09,WATERBASE,103.3,104.85,100.25,102.15,66071,37013
2022-02-10,WATERBASE,100.5,101.95,99.1,100.35,80926,52206
2022-02-11,WATERBASE,101.2,106.8,100.0,104.15,552943,101977
2022-02-14,WATERBASE,101.0,102.85,97.3,98.95,122099,39900
2022-02-15,WATERBASE,99.7,100.95,96.0,98.75,87143,35354
2022-02-16,WATERBASE,99.55,101.0,99.1,99.65,50586,26815
2022-02-17,WATERBASE,100.5,100.7,97.65,97.95,55989,30228
2022-02-18,WATERBASE,97.5,97.95,95.9,96.1,51454,33697
2022-02-21,WATERBASE,97.45,97.45,92.1,92.55,57176,35421
2022-02-22,WATERBASE,92.0,92.25,90.0,91.15,54038,27444
2022-02-23,WATERBASE,92.55,93.85,92.05,92.3,36603,18191
2022-02-24,WATERBASE,90.95,90.95,81.5,82.65,111963,62682
2022-02-25,WATERBASE,85.0,98.4,85.0,87.8,70248,35603
2022-02-28,WATERBASE,86.0,95.6,83.45,94.9,132735,66746
2022-03-02,WATERBASE,93.4,98.8,91.1,94.35,105512,29597
2022-03-03,WATERBASE,95.8,96.75,93.6,94.5,31717,15245
2022-03-04,WATERBASE,93.05,94.25,91.4,91.8,37848,19607
2022-03-07,WATERBASE,90.05,90.9,89.0,89.4,40745,22014
2022-03-08,WATERBASE,91.0,92.1,88.05,90.3,29586,13658
2022-03-09,WATERBASE,92.15,93.3,90.0,91.85,49095,28116
