Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,WESTLIFE,382.5,382.5,370.8,373.1,170917,101863
2020-08-27,WESTLIFE,374.0,381.95,369.35,371.85,392822,67778
2020-08-28,WESTLIFE,373.0,378.75,371.75,374.75,205777,127478
2020-08-31,WESTLIFE,377.9,379.8,348.2,370.35,290956,161938
2020-09-01,WESTLIFE,370.35,372.65,355.0,368.6,102357,27838
2020-09-02,WESTLIFE,368.15,370.0,355.55,364.4,94308,36527
2020-09-03,WESTLIFE,367.9,385.0,364.55,375.05,248905,167416
2020-09-04,WESTLIFE,366.0,382.65,366.0,370.05,99259,32248
2020-09-07,WESTLIFE,372.7,374.0,367.15,371.05,51943,30477
2020-09-08,WESTLIFE,372.9,377.35,361.0,364.85,48083,16184
2020-09-09,WESTLIFE,363.85,369.0,360.65,366.95,53577,27002
2020-09-10,WESTLIFE,367.1,378.35,330.0,361.5,99657,44560
2020-09-11,WESTLIFE,365.45,383.8,365.45,381.15,593625,277263
2020-09-14,WESTLIFE,387.0,413.0,386.1,409.35,775374,362657
2020-09-15,WESTLIFE,410.9,413.5,394.0,395.5,234960,156459
2020-09-16,WESTLIFE,398.0,405.8,392.0,403.85,84065,35073
2020-09-17,WESTLIFE,402.65,411.25,393.0,395.85,72664,28370
2020-09-18,WESTLIFE,402.8,402.8,387.25,392.45,161945,105109
2020-09-21,WESTLIFE,395.0,398.75,361.3,366.0,247910,172165
2020-09-22,WESTLIFE,368.0,373.15,353.05,365.8,121253,63758
2020-09-23,WESTLIFE,367.95,372.95,360.9,369.8,57748,27075
2020-09-24,WESTLIFE,364.0,369.5,355.1,365.95,75099,37331
2020-09-25,WESTLIFE,365.05,377.0,365.05,373.6,267335,217935
2020-09-28,WESTLIFE,382.9,410.0,377.1,399.3,329559,82258
2020-09-29,WESTLIFE,402.9,406.5,388.0,393.2,624034,514869
2020-09-30,WESTLIFE,397.85,400.85,380.25,395.3,272896,220867
2020-10-01,WESTLIFE,405.05,409.0,391.2,395.3,125650,49112
2020-10-05,WESTLIFE,396.2,400.75,388.05,390.85,46721,19359
2020-10-06,WESTLIFE,390.15,396.35,390.0,393.3,41828,11812
2020-10-07,WESTLIFE,394.55,396.3,388.5,389.9,24649,13389
2020-10-08,WESTLIFE,392.3,392.3,389.25,390.0,46252,36684
2020-10-09,WESTLIFE,396.3,403.4,390.0,392.9,147213,31464
2020-10-12,WESTLIFE,390.0,394.15,389.0,392.6,74526,50405
2020-10-13,WESTLIFE,394.0,396.6,389.0,390.2,97018,51551
2020-10-14,WESTLIFE,393.55,393.55,369.45,381.0,128616,63106
2020-10-15,WESTLIFE,381.05,389.3,372.0,375.25,42473,16544
2020-10-16,WESTLIFE,377.0,384.75,376.25,379.85,42283,18045
2020-10-19,WESTLIFE,377.0,382.7,368.1,369.15,50185,32043
2020-10-20,WESTLIFE,371.3,376.5,363.45,373.85,77861,37177
2020-10-21,WESTLIFE,374.4,377.0,371.45,375.05,46777,26900
2020-10-22,WESTLIFE,375.05,376.2,368.7,370.45,105320,72696
2020-10-23,WESTLIFE,376.0,376.0,366.25,368.0,101737,64986
2020-10-26,WESTLIFE,366.1,370.0,362.05,364.95,59251,40597
2020-10-27,WESTLIFE,365.1,375.05,359.95,373.8,289510,256302
2020-10-28,WESTLIFE,375.0,376.8,368.0,370.2,36832,19416
2020-10-29,WESTLIFE,363.8,374.0,361.55,371.8,74484,53920
2020-10-30,WESTLIFE,366.0,386.95,365.8,378.2,48895,18950
2020-11-02,WESTLIFE,378.2,378.2,370.0,370.35,24478,11893
2020-11-03,WESTLIFE,372.0,376.85,369.85,372.3,290116,268881
2020-11-04,WESTLIFE,370.3,374.05,365.0,369.35,23280,10673
2020-11-05,WESTLIFE,371.1,375.0,370.5,372.6,28018,15629
2020-11-06,WESTLIFE,374.7,387.0,368.05,371.55,174988,94450
2020-11-09,WESTLIFE,377.4,377.4,365.5,366.9,216315,146507
2020-11-10,WESTLIFE,375.0,386.6,369.35,384.15,656313,564354
2020-11-11,WESTLIFE,385.5,390.0,373.9,379.9,625964,551692
2020-11-12,WESTLIFE,379.9,385.0,366.1,368.7,373517,229149
2020-11-13,WESTLIFE,370.35,378.65,368.25,369.4,140619,67176
2020-11-14,WESTLIFE,372.35,374.7,370.05,373.0,25272,18119
2020-11-17,WESTLIFE,374.0,384.0,372.1,381.7,157603,101976
2020-11-18,WESTLIFE,383.9,389.9,382.1,383.45,141541,64363
2020-11-19,WESTLIFE,383.0,389.0,375.45,378.9,131351,77040
2020-11-20,WESTLIFE,380.0,386.9,378.1,382.5,143404,49009
2020-11-23,WESTLIFE,380.0,389.0,380.0,384.3,72772,35356
2020-11-24,WESTLIFE,385.0,389.45,382.25,387.7,89984,54784
2020-11-25,WESTLIFE,389.0,419.0,383.35,409.85,703302,232284
2020-11-26,WESTLIFE,415.0,425.0,402.95,424.5,548222,260274
2020-11-27,WESTLIFE,430.0,440.65,425.0,435.55,788165,426129
2020-12-01,WESTLIFE,437.0,448.95,430.35,437.9,256168,120165
2020-12-02,WESTLIFE,441.0,446.6,418.0,426.55,215144,88876
2020-12-03,WESTLIFE,429.8,440.0,426.0,437.3,180010,114444
2020-12-04,WESTLIFE,438.0,441.55,426.05,429.5,112148,53203
2020-12-07,WESTLIFE,431.5,445.8,423.3,439.35,165673,78873
2020-12-08,WESTLIFE,445.0,445.0,431.0,439.6,190865,146436
2020-12-09,WESTLIFE,442.7,442.7,429.0,431.1,67161,35868
2020-12-10,WESTLIFE,430.15,430.2,416.55,428.65,83406,39290
2020-12-11,WESTLIFE,429.35,442.0,428.0,437.5,223821,113641
2020-12-14,WESTLIFE,444.0,450.0,423.0,425.6,394789,132232
2020-12-15,WESTLIFE,428.8,432.75,416.0,418.1,182527,100666
2020-12-16,WESTLIFE,421.0,492.0,417.0,469.7,3654581,616599
2020-12-17,WESTLIFE,479.9,487.0,427.45,437.45,2187146,615789
2020-12-18,WESTLIFE,436.85,444.05,420.55,428.6,517967,132790
2020-12-21,WESTLIFE,428.85,435.6,401.4,405.6,573391,263230
2020-12-22,WESTLIFE,403.0,486.7,386.1,418.55,560345,178084
2020-12-23,WESTLIFE,424.0,437.8,422.6,429.4,246318,75151
2020-12-24,WESTLIFE,430.1,438.5,421.55,430.8,184626,64260
2020-12-28,WESTLIFE,441.0,447.9,434.15,444.75,336651,122666
2020-12-29,WESTLIFE,447.9,448.4,432.5,437.5,133301,76588
2020-12-30,WESTLIFE,436.95,459.0,427.1,452.5,713401,377013
2020-12-31,WESTLIFE,446.25,462.0,441.05,456.4,303914,94058
2021-01-01,WESTLIFE,457.9,457.9,444.5,448.15,105595,39410
2021-01-04,WESTLIFE,451.15,457.0,436.0,441.35,185451,85136
2021-01-05,WESTLIFE,430.05,442.85,430.05,434.6,131705,54525
2021-01-06,WESTLIFE,434.6,440.0,430.0,432.7,218171,94662
2021-01-07,WESTLIFE,434.85,447.0,432.9,445.2,272778,150597
2021-01-08,WESTLIFE,448.7,456.0,436.6,452.85,161969,86413
2021-01-11,WESTLIFE,459.9,459.9,449.3,450.15,147872,111167
2021-01-12,WESTLIFE,440.0,454.2,440.0,450.15,91512,53626
2021-01-13,WESTLIFE,445.7,479.8,445.7,469.1,402568,147503
2021-01-14,WESTLIFE,470.0,480.8,468.0,470.2,180332,81178
2021-01-15,WESTLIFE,473.95,473.95,458.0,465.8,88384,45191
2021-01-18,WESTLIFE,470.0,472.9,462.55,464.75,70168,36721
2021-01-19,WESTLIFE,468.45,480.0,467.45,470.55,78691,35939
2021-01-20,WESTLIFE,465.0,475.8,465.0,471.9,59770,24680
2021-01-21,WESTLIFE,479.0,479.0,446.05,459.85,485296,102142
2021-01-22,WESTLIFE,454.8,475.4,446.55,470.1,151455,58835
2021-01-25,WESTLIFE,473.35,474.9,442.55,454.1,125204,54250
2021-01-27,WESTLIFE,456.35,463.9,454.1,459.45,96227,61521
2021-01-28,WESTLIFE,456.0,463.8,441.3,446.25,105584,73136
2021-01-29,WESTLIFE,450.65,470.0,437.0,465.0,172922,119923
2021-02-01,WESTLIFE,460.4,471.3,450.6,455.45,70641,34595
2021-02-02,WESTLIFE,459.9,465.05,448.0,449.05,98178,48401
2021-02-03,WESTLIFE,449.05,457.95,445.0,447.5,101157,38799
2021-02-04,WESTLIFE,453.0,475.0,446.55,465.3,180287,48846
2021-02-05,WESTLIFE,460.15,469.7,453.0,455.6,52857,21261
2021-02-08,WESTLIFE,456.0,470.7,453.4,456.55,84320,43758
2021-02-09,WESTLIFE,462.4,464.0,450.1,451.45,96501,71692
2021-02-10,WESTLIFE,453.8,471.1,448.45,462.35,83818,31499
2021-02-11,WESTLIFE,468.9,469.75,455.85,461.6,92470,43676
2021-02-12,WESTLIFE,461.65,466.1,456.0,457.55,27103,13604
2021-02-15,WESTLIFE,458.2,467.8,454.0,459.55,65086,41701
2021-02-16,WESTLIFE,462.0,466.5,449.8,456.45,44738,15842
2021-02-17,WESTLIFE,457.0,464.75,446.0,449.75,45813,20469
2021-02-18,WESTLIFE,449.75,457.85,445.35,450.05,68551,22904
2021-02-19,WESTLIFE,452.4,454.9,440.1,444.6,31722,15071
2021-02-22,WESTLIFE,448.2,456.0,446.2,454.3,148606,94263
2021-02-23,WESTLIFE,455.0,498.75,453.55,486.65,698308,218144
2021-02-24,WESTLIFE,489.0,522.5,471.0,485.2,829151,205873
2021-02-25,WESTLIFE,488.0,502.0,487.05,495.2,116623,43749
2021-02-26,WESTLIFE,481.45,506.5,473.15,501.6,192103,89251
2021-03-01,WESTLIFE,515.0,527.7,511.65,518.35,453583,197202
2021-03-02,WESTLIFE,523.8,535.0,510.0,516.05,268205,105696
2021-03-03,WESTLIFE,518.7,524.6,505.0,510.95,168516,94990
2021-03-04,WESTLIFE,508.5,522.65,507.0,516.0,165551,96167
2021-03-05,WESTLIFE,515.95,518.35,491.95,500.5,161411,100937
2021-03-08,WESTLIFE,499.5,519.9,498.05,516.25,138419,65921
2021-03-09,WESTLIFE,518.0,527.0,510.9,520.9,219817,107092
2021-03-10,WESTLIFE,521.0,526.85,518.9,524.3,108068,66389
2021-03-12,WESTLIFE,526.85,531.4,508.0,516.4,227801,138106
2021-03-15,WESTLIFE,511.7,527.1,509.0,523.65,186589,97964
2021-03-16,WESTLIFE,522.95,534.45,511.2,516.9,345672,218016
2021-03-17,WESTLIFE,521.0,522.0,506.65,507.5,75272,42593
2021-03-18,WESTLIFE,495.5,514.1,495.5,504.85,166383,113030
2021-03-19,WESTLIFE,502.85,502.85,451.0,469.75,2199394,1870922
2021-03-22,WESTLIFE,459.0,467.95,450.1,465.65,330440,191552
2021-03-23,WESTLIFE,465.15,465.65,453.2,460.35,311734,251055
2021-03-24,WESTLIFE,459.85,460.1,454.2,459.05,58968,27043
2021-03-25,WESTLIFE,461.5,464.1,438.5,451.5,576399,536902
2021-03-26,WESTLIFE,459.5,460.1,445.25,459.55,118745,78883
2021-03-30,WESTLIFE,455.0,460.0,447.15,460.0,329976,268175
2021-03-31,WESTLIFE,459.8,462.8,441.05,459.7,315774,113097
2021-04-01,WESTLIFE,459.7,465.0,446.3,456.0,575508,526296
2021-04-05,WESTLIFE,454.0,455.45,438.2,439.7,191666,120623
2021-04-06,WESTLIFE,431.05,436.9,417.65,422.3,515897,314187
