Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-11-15,279.8,294.0,250.0,273.6,251611,166392,66.13065406520383
2020-11-22,276.85,277.0,236.0,247.6,306078,195338,63.819679950862195
2020-11-29,255.9,261.0,236.45,251.15,173074,113756,65.72679894149324
2020-12-06,248.0,249.95,237.0,242.95,135634,80646,59.45854284323989
2020-12-13,249.7,315.0,243.0,280.3,445153,265131,59.55952223168214
2020-12-20,287.0,292.2,271.0,272.65,142293,91506,64.30815289578545
2020-12-27,272.65,290.0,238.05,276.6,176633,105719,59.8523492212667
2021-01-03,283.0,387.3,271.2,350.5,691821,375657,54.299739383453236
2021-01-10,345.0,358.7,320.9,329.15,477337,284237,59.546400132401224
2021-01-17,334.5,334.5,306.4,313.45,215974,124299,57.552760980488394
2021-01-24,319.95,322.95,298.0,306.65,180065,104229,57.884097409268875
2021-01-31,314.6,329.4,291.0,318.4,105728,68117,64.42664194915254
2021-02-07,318.4,334.0,280.8,282.6,274587,173478,63.17779064558774
2021-02-14,291.0,315.15,281.9,303.85,228566,133814,58.5450154441168
2021-02-21,303.85,314.0,291.0,296.45,158174,84912,53.68265328056444
2021-02-28,304.9,304.9,280.15,286.55,129392,70937,54.82332756275504
2021-03-07,296.0,305.0,280.15,282.1,119677,68180,56.97001094613
2021-03-14,289.0,289.0,267.6,272.3,115536,66187,57.28690624567234
2021-03-21,275.65,299.9,258.45,270.3,174798,96904,55.437705236902026
2021-03-28,266.0,279.85,253.3,261.7,134730,80001,59.37875751503006
2021-04-04,262.5,268.8,251.65,266.5,102810,61568,59.88522517264857
2021-04-11,269.0,330.55,255.6,320.35,362116,210296,58.074208264754944
2021-04-18,320.0,321.0,289.0,300.95,155359,85960,55.32991329758816
2021-04-25,288.0,303.5,273.2,282.15,178775,95832,53.604810516011746
2021-05-02,291.0,305.0,280.0,283.25,125060,61009,48.78378378378378
2021-05-09,281.0,323.2,276.65,296.65,208580,121568,58.28363217949947
2021-05-16,302.5,313.8,287.5,298.35,170201,85826,50.426260715271944
2021-05-23,305.0,350.0,292.95,334.3,383473,228456,59.575511183316685
2021-05-30,300.9,313.9,280.0,283.3,418546,249456,59.600617375390044
2021-06-06,289.0,298.9,281.0,289.35,138666,81521,58.78946533396795
2021-06-13,296.0,300.0,286.2,288.95,118635,75136,63.3337547941164
2021-06-20,291.9,292.6,260.25,271.35,156813,99494,63.447545802962765
2021-06-27,271.35,354.3,266.95,304.8,857858,325452,37.93774727285868
2021-07-04,309.4,346.95,295.55,339.9,383422,169266,44.146136632744074
2021-07-11,340.0,484.0,340.0,439.75,1668501,469255,28.124346344413336
2021-07-18,446.85,513.0,438.1,451.05,669613,308121,46.01478764599851
2021-07-25,441.15,469.0,441.15,452.4,48129,25610,53.211161669679406
2021-08-01,,,,,0,0,
2021-08-08,,,,,0,0,
2021-08-15,,,,,0,0,
2021-08-22,,,,,0,0,
2021-08-29,,,,,0,0,
2021-09-05,,,,,0,0,
2021-09-12,,,,,0,0,
2021-09-19,,,,,0,0,
2021-09-26,,,,,0,0,
2021-10-03,,,,,0,0,
2021-10-10,,,,,0,0,
2021-10-17,418.2,428.4,395.85,398.55,63708,43358,68.05738682740001
2021-10-24,415.0,425.0,383.0,386.85,81482,52464,64.38722662673965
2021-10-31,398.95,420.3,375.3,402.3,71343,46898,65.73595167010077
2021-11-07,410.35,477.6,402.3,474.7,125436,93041,74.17408080614815
2021-11-14,475.0,495.0,438.15,442.85,144015,85084,59.07995694892894
2021-11-21,420.75,440.0,395.0,400.65,140513,80283,57.13563869535203
2021-11-28,403.1,410.95,378.3,386.75,87515,55064,62.91949951436897
2021-12-05,386.0,394.0,369.0,389.35,49592,31525,63.56872076141313
2021-12-12,383.65,398.9,369.9,387.0,85147,53462,62.787884482130906
2021-12-19,387.0,413.4,359.0,361.25,112720,74215,65.84013484740952
2021-12-26,366.95,393.15,347.25,379.8,97937,61764,63.0650316019482
2022-01-02,371.9,416.6,371.9,398.8,175341,106131,60.528341916608206
2022-01-09,403.75,407.0,385.05,398.65,28493,18782,65.9179447583617
