Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct,ADL,OBV
2020-08-30,14.75,15.4,14.35,15.0,686301107,272178153,39.658708141935136,9.442549557603598,39.658708141935136
2020-09-06,15.35,15.6,13.95,14.25,708956654,295939423,41.74295019734733,-17.121146022526485,-2.08424205541219
2020-09-13,14.25,14.55,13.3,14.55,537892248,223576382,41.565273125111105,24.44412710258462,39.481031069698915
2020-09-20,14.95,15.25,13.65,14.0,665804348,253913844,38.13640520112674,2.9923991769508156,1.344625868572173
2020-09-27,14.0,14.05,12.75,13.35,527740008,189403682,35.88958182605705,0.23166211340792842,-34.54495595748487
2020-10-04,13.5,13.85,13.1,13.3,224396725,75189461,33.5073789512748,-15.405114730520218,-68.05233490875968
2020-10-11,13.45,13.65,13.0,13.15,210491945,85600542,40.666896778401664,-37.30267453427493,-108.71923168716134
2020-10-18,13.2,13.35,12.5,12.65,326807424,109637338,33.54799491947894,-59.01020065864362,-142.2672266066403
2020-10-25,12.85,13.3,12.65,13.3,298692410,129316672,43.29426114309366,-15.715939515549962,-98.97296546354664
2020-11-01,13.95,13.95,12.15,12.4,494468994,209648260,42.39866655825138,-46.33719869650929,-141.371632021798
2020-11-08,12.45,12.5,12.2,12.3,259502904,109638813,42.24955147322744,-60.4203825209181,-183.62118349502543
2020-11-15,12.35,14.9,12.25,14.55,1041942067,512340335,49.17167194095063,-24.23745411153932,-134.4495115540748
2020-11-22,14.65,14.85,14.05,14.55,784684705,390133298,49.71847871050322,-11.807834433913433,-134.4495115540748
2020-11-29,14.65,14.9,13.85,14.7,1857544275,1106375539,59.56119344719253,25.063380557205647,-74.88831810688228
2020-12-06,15.4,15.9,14.85,15.35,997743064,460514754,46.155645738470405,22.865492664897502,-28.732672368411876
2020-12-13,15.65,20.75,15.5,19.45,2351514875,903144213,38.40691048148271,42.25183795555067,9.674238113070835
2020-12-20,19.4,19.45,17.55,18.9,1248963324,491361007,39.341508077782436,58.816683461985335,-29.6672699647116
2020-12-27,18.95,19.0,17.05,17.55,794574386,329481721,41.466441255255866,38.61508387609146,-71.13371121996747
2021-01-03,17.8,18.45,17.45,18.0,603245680,238559437,39.545983487192146,42.569682224810734,-31.58772773277532
2021-01-10,18.4,18.6,17.75,18.05,925564527,439201935,47.452330138836444,28.613114536917685,15.864602406061124
2021-01-17,18.3,18.55,17.15,17.6,1095293696,428235711,39.09779747330893,14.649615439307475,-23.233195067247806
2021-01-24,18.1,18.1,16.75,17.0,986260759,411137594,41.686500273707026,-11.597440288582149,-64.91969534095483
2021-01-31,17.4,17.5,15.0,15.75,1047143472,378554506,36.151159427750315,-26.057904059682276,-101.07085476870515
2021-02-07,16.0,17.45,15.45,16.9,820933691,310165014,37.78198134640816,-9.05601245379863,-63.28887342229699
