Date,Open,High,Low,Close,Volume,Deliverable Volume,DeliverablePct
2020-08-30,43.65,46.0,41.25,43.4,4579,2790,60.930334134090415
2020-09-06,43.0,46.5,41.1,42.05,4340,3606,83.08755760368663
2020-09-13,44.8,44.8,39.55,41.4,6111,3751,61.38111602029128
2020-09-20,41.0,43.9,39.5,41.55,3771,1222,32.40519756032882
2020-09-27,41.55,42.9,37.25,42.3,2464,1786,72.48376623376623
2020-10-04,41.2,41.9,39.45,39.65,496,442,89.11290322580645
2020-10-11,41.6,45.5,40.05,44.2,4142,2138,51.61757605021728
2020-10-18,41.7,44.05,39.75,42.15,1141,874,76.59947414548641
2020-10-25,45.8,45.8,39.75,41.2,2629,1925,73.22175732217573
2020-11-01,40.25,44.95,40.25,43.0,1801,1251,69.46141032759579
2020-11-08,45.1,45.5,40.05,42.0,5705,2079,36.441717791411044
2020-11-15,40.35,45.4,40.3,42.9,7658,2993,39.08331156960042
2020-11-22,41.55,44.4,41.25,42.7,2324,1477,63.55421686746988
2020-11-29,42.6,46.7,40.5,45.4,4566,3829,83.85895751204555
2020-12-06,47.5,48.65,45.0,45.05,13436,6272,46.680559690384044
2020-12-13,45.0,84.3,41.3,84.3,90672,55139,60.811496382565736
2020-12-20,88.9,99.75,79.15,90.25,87659,46864,53.46170957916472
2020-12-27,,,,,0,0,
2021-01-03,,,,,0,0,
2021-01-10,,,,,0,0,
2021-01-17,,,,,0,0,
2021-01-24,,,,,0,0,
2021-01-31,,,,,0,0,
2021-02-07,73.55,73.55,66.05,67.0,7979,6249,78.31808497305427
2021-02-14,68.95,71.95,62.5,69.9,12229,8541,69.84217842832611
2021-02-21,75.9,85.6,68.45,69.35,50560,23679,46.83346518987342
2021-02-28,66.6,72.8,66.6,68.45,8833,5117,57.93048794294124
2021-03-07,67.2,76.15,67.0,70.15,20850,10849,52.03357314148681
2021-03-14,69.35,74.35,67.0,70.15,7548,4630,61.34075251722311
2021-03-21,69.0,72.9,65.0,65.25,7236,4883,67.48203427307905
2021-03-28,67.95,70.75,64.0,67.55,5241,4011,76.53119633657698
2021-04-04,71.8,71.8,65.8,67.85,1745,957,54.842406876790825
2021-04-11,67.5,77.95,58.5,68.25,12756,7251,56.84383819379115
2021-04-18,69.9,70.3,62.6,67.1,10910,4645,42.5756186984418
2021-04-25,66.0,70.5,63.2,67.85,17498,5955,34.032460852668876
2021-05-02,69.95,72.85,64.3,69.65,8532,2946,34.52883263009846
2021-05-09,72.85,72.85,65.3,66.45,7211,4332,60.074885591457495
2021-05-16,66.5,72.5,65.5,66.45,7683,4214,54.84836652349343
2021-05-23,68.0,106.3,65.55,106.3,150688,58576,38.872372053514546
2021-05-30,110.2,116.3,95.4,100.5,160032,82524,51.56718656268746
2021-06-06,99.55,102.0,96.1,99.7,13941,7981,57.24840398823614
2021-06-13,,,,,0,0,
2021-06-20,,,,,0,0,
2021-06-27,,,,,0,0,
2021-07-04,,,,,0,0,
2021-07-11,,,,,0,0,
2021-07-18,,,,,0,0,
2021-07-25,89.45,90.0,83.5,84.65,5474,4161,76.01388381439533
2021-08-01,87.2,88.85,79.0,83.55,9824,6517,66.33754071661238
2021-08-08,82.0,91.8,79.65,80.5,15885,9176,57.76518728360088
2021-08-15,80.5,93.6,73.35,83.8,10696,6875,64.27636499626028
2021-08-22,86.95,88.75,75.65,82.0,14181,4327,30.512657781538678
2021-08-29,79.1,87.0,75.6,82.75,16796,7665,45.63586568230531
2021-09-05,85.3,86.75,79.15,83.95,15469,6226,40.24823841230849
2021-09-12,85.25,86.8,80.55,84.6,11369,4721,41.525200105550184
2021-09-19,85.25,88.1,82.45,86.65,8103,5656,69.80130815747255
2021-09-26,88.95,88.95,83.25,87.15,5125,3576,69.77560975609755
2021-10-03,84.35,89.45,82.3,87.75,16268,11705,71.9510695844603
2021-10-10,87.95,111.9,86.05,97.45,56287,40343,71.67374349316894
2021-10-17,102.0,102.0,92.45,94.0,16811,9466,56.30836951995717
2021-10-24,93.05,96.45,85.0,86.2,11794,8660,73.42716635577412
2021-10-31,85.95,89.7,78.6,82.9,16776,10183,60.6998092513114
2021-11-07,83.95,89.3,81.9,85.95,2887,2107,72.98233460339453
2021-11-14,85.0,95.0,83.55,91.2,24076,10055,41.763581990363846
2021-11-21,93.05,93.05,85.25,86.5,5901,4278,72.49618708693441
2021-11-28,83.55,92.95,83.55,88.0,12117,5211,43.005694478831394
2021-12-05,88.0,91.55,77.65,83.5,10092,6633,65.72532699167658
2021-12-12,85.9,89.1,82.6,84.2,4776,2308,48.324958123953095
2021-12-19,87.95,90.0,82.4,87.0,8081,5259,65.07857938373964
2021-12-26,83.0,91.5,83.0,87.1,6738,2689,39.907984565152866
2022-01-02,87.3,93.15,85.15,90.4,9721,5954,61.248842711655186
2022-01-09,94.8,94.9,90.5,93.35,3812,3151,82.66002098635886
