Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2021-08-23,ZOMATO,137.8,137.8,124.75,127.25,68470861,25948763
2021-08-24,ZOMATO,127.25,127.95,120.5,125.0,56713556,27172159
2021-08-25,ZOMATO,126.0,128.5,123.1,124.25,51078811,20265331
2021-08-26,ZOMATO,125.25,127.15,124.35,125.85,20645403,6423467
2021-08-27,ZOMATO,126.6,129.5,124.1,124.7,22227595,6061056
2021-08-30,ZOMATO,127.85,135.45,127.55,133.55,45239080,17691734
2021-08-31,ZOMATO,134.0,135.2,131.35,134.55,24640924,7389468
2021-09-01,ZOMATO,134.55,135.1,130.7,132.6,16162269,5779757
2021-09-02,ZOMATO,132.0,138.5,131.5,137.6,27882466,9277305
2021-09-03,ZOMATO,135.95,151.4,135.6,149.75,113381518,22627095
2021-09-06,ZOMATO,149.25,149.35,143.25,144.05,34811620,8961442
2021-09-07,ZOMATO,144.9,146.85,138.55,140.05,30421931,8052396
2021-09-08,ZOMATO,141.0,143.6,139.05,141.25,28133284,7718618
2021-09-09,ZOMATO,141.4,142.9,140.0,141.6,18970691,5353869
2021-09-13,ZOMATO,143.25,144.25,142.0,143.15,17426798,6447766
2021-09-14,ZOMATO,145.15,152.75,136.2,144.1,112358935,20799720
2021-09-15,ZOMATO,142.95,145.0,140.75,142.65,38892545,24806008
2021-09-16,ZOMATO,143.0,144.0,141.5,142.05,17634206,9258503
2021-09-17,ZOMATO,142.55,146.9,137.15,137.9,23264091,8670925
2021-09-20,ZOMATO,137.7,140.85,133.25,134.3,19799941,6195536
2021-09-21,ZOMATO,137.2,138.0,131.0,133.45,19330196,6608863
2021-09-22,ZOMATO,135.4,135.4,131.3,132.1,16923375,9077487
2021-09-23,ZOMATO,134.5,140.4,133.05,137.3,31779169,14476350
2021-09-24,ZOMATO,137.55,139.5,136.05,136.65,13099391,5384633
2021-09-27,ZOMATO,139.85,144.75,138.0,143.7,26041244,11294427
2021-09-28,ZOMATO,143.9,143.9,137.65,139.0,13489232,4135333
2021-09-29,ZOMATO,138.0,139.5,136.5,138.5,10801439,4422367
2021-09-30,ZOMATO,139.2,139.2,136.15,136.6,7825751,3789693
2021-10-01,ZOMATO,137.3,140.5,137.0,138.0,11940576,4322764
2021-10-04,ZOMATO,139.1,140.0,138.0,139.1,11995299,5928936
2021-10-05,ZOMATO,138.75,138.8,137.15,137.95,10912142,6319193
2021-10-06,ZOMATO,138.75,139.2,133.7,134.95,9988184,5350579
2021-10-07,ZOMATO,136.75,138.45,136.05,137.1,7317664,3061810
2021-10-08,ZOMATO,138.0,138.0,135.7,136.15,6207969,3570538
2021-10-11,ZOMATO,137.5,137.5,136.15,136.85,4395523,2280681
2021-10-12,ZOMATO,137.3,137.75,135.5,136.6,5600652,3151018
2021-10-13,ZOMATO,137.25,137.4,134.35,135.45,6351349,3637672
2021-10-14,ZOMATO,135.9,137.3,133.7,135.0,8688177,4826204
2021-10-18,ZOMATO,136.0,146.15,135.9,144.05,31446800,13576024
2021-10-19,ZOMATO,144.9,145.1,137.25,138.55,14688308,6523265
2021-10-20,ZOMATO,138.5,140.4,133.85,137.9,12607297,5966308
2021-10-21,ZOMATO,139.75,139.9,135.8,138.15,5951873,2281120
2021-10-22,ZOMATO,138.95,142.0,135.8,137.75,11468458,4152139
2021-10-25,ZOMATO,138.0,138.95,131.55,132.7,13530512,7209394
2021-10-26,ZOMATO,133.0,137.35,133.0,135.45,6445894,2817308
2021-10-27,ZOMATO,136.2,139.25,134.5,134.8,8982174,5883489
2021-10-28,ZOMATO,135.35,136.5,131.5,135.6,11936370,6732757
2021-10-29,ZOMATO,135.0,135.0,130.5,131.55,12925877,6602269
2021-11-01,ZOMATO,133.6,134.3,132.0,132.65,6200243,3063502
2021-11-02,ZOMATO,132.7,133.6,131.75,132.45,7367792,4091267
2021-11-03,ZOMATO,132.9,132.9,127.5,128.35,15919925,7858064
2021-11-04,ZOMATO,130.0,132.4,130.0,131.35,4101820,2811502
2021-11-08,ZOMATO,132.95,133.6,130.6,131.15,17645794,10575849
2021-11-09,ZOMATO,133.0,138.9,131.65,137.65,26457361,12697460
2021-11-10,ZOMATO,136.5,139.15,135.0,136.05,16816048,7051661
2021-11-11,ZOMATO,142.0,144.0,132.6,140.9,83582039,23104866
2021-11-12,ZOMATO,142.0,155.2,142.0,153.0,140547798,52470993
2021-11-15,ZOMATO,149.0,163.3,142.35,160.3,121197599,34139706
2021-11-16,ZOMATO,161.15,169.0,153.8,157.6,109342731,26384729
2021-11-17,ZOMATO,155.95,162.25,154.25,156.55,44505156,16058565
2021-11-18,ZOMATO,158.9,161.85,152.5,154.7,46802082,13335309
2021-11-22,ZOMATO,158.25,158.25,136.8,149.75,79417849,19142708
2021-11-23,ZOMATO,150.0,152.0,144.25,148.7,38236588,11728381
2021-11-24,ZOMATO,151.1,156.4,149.6,155.5,53749976,20585342
2021-11-25,ZOMATO,157.0,161.3,154.05,159.75,48900473,15880823
2021-11-26,ZOMATO,158.45,158.45,146.25,148.15,35968151,12196422
2021-11-29,ZOMATO,148.8,153.9,137.5,149.1,43972445,13579009
2021-11-30,ZOMATO,149.95,158.0,145.3,152.55,258130152,152554585
2021-12-01,ZOMATO,153.0,157.9,149.45,151.4,32604856,9279555
2021-12-02,ZOMATO,151.6,153.8,147.8,150.65,23508261,8234838
2021-12-03,ZOMATO,152.1,152.8,143.85,144.9,26452896,10477363
2021-12-06,ZOMATO,146.6,146.85,135.3,138.55,33244501,12168675
2021-12-07,ZOMATO,141.35,143.8,138.65,139.8,36835410,12600595
2021-12-08,ZOMATO,141.0,148.6,140.25,147.6,37324365,9766201
2021-12-09,ZOMATO,148.65,148.65,145.3,146.25,18377899,3594628
2021-12-10,ZOMATO,144.1,146.4,139.75,140.55,27881031,9072100
2021-12-13,ZOMATO,142.2,144.45,141.9,142.65,20318225,7044624
2021-12-14,ZOMATO,144.7,144.95,140.0,140.65,19474412,5877651
2021-12-15,ZOMATO,140.5,142.0,140.0,140.6,12791660,4359892
2021-12-16,ZOMATO,141.9,142.85,137.4,138.4,17182101,5609957
2021-12-17,ZOMATO,138.95,141.0,132.35,135.35,95386202,52023293
2021-12-20,ZOMATO,135.3,135.75,124.6,126.55,36064413,13429087
2021-12-21,ZOMATO,128.85,132.85,128.6,131.6,20442777,6112818
2021-12-22,ZOMATO,133.05,139.75,133.0,138.65,19425711,5667170
2021-12-23,ZOMATO,140.05,140.75,132.1,133.0,21934786,6655136
2021-12-24,ZOMATO,134.5,134.5,129.6,131.45,17625584,2909756
2021-12-27,ZOMATO,131.35,133.85,128.0,132.75,13934154,1578597
2021-12-28,ZOMATO,133.7,134.0,131.65,132.85,11170275,2451568
2021-12-29,ZOMATO,132.7,137.7,131.55,137.1,18914246,4637529
2021-12-30,ZOMATO,137.05,137.05,133.3,133.95,8369208,2141855
2021-12-31,ZOMATO,133.85,138.4,133.4,137.4,11452243,3721522
